crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	6.500203	4808	0.000000
281474976710655.000000	6.022344	4809	5096413184.000000
281474976710655.000000	6.464497	4810	5097441792.000000
281474976710655.000000	6.600208	4811	5098496000.000000
281474976710655.000000	6.700892	4812	5099524096.000000
281474976710655.000000	6.697249	4813	5100578816.000000
281474976710655.000000	6.933887	4814	5101613568.000000
281474976710655.000000	6.922087	4815	5102655488.000000
281474976710655.000000	6.702284	4816	5103697920.000000
281474976710655.000000	6.615296	4817	5104741376.000000
281474976710655.000000	6.735276	4818	5105781760.000000
281474976710655.000000	6.872994	4819	5106824192.000000
281474976710655.000000	7.070424	4820	5107866112.000000
281474976710655.000000	6.862558	4821	5108909056.000000
281474976710655.000000	7.165696	4822	5109948928.000000
281474976710655.000000	7.207909	4823	5110993408.000000
281474976710655.000000	7.276605	4824	5112030720.000000
281474976710655.000000	7.199786	4825	5113078784.000000
281474976710655.000000	7.328108	4826	5114111488.000000
281474976710655.000000	7.286380	4827	5115166720.000000
281474976710655.000000	7.396668	4828	5116189184.000000
281474976710655.000000	7.395403	4829	5117254144.000000
281474976710655.000000	7.645804	4830	5118270464.000000
281474976710655.000000	7.460336	4831	5119340032.000000
281474976710655.000000	7.924365	4832	5120350720.000000
281474976710655.000000	7.734467	4833	5121425408.000000
281474976710655.000000	7.864690	4834	5122433024.000000
281474976710655.000000	7.709452	4835	5123511296.000000
281474976710655.000000	8.130533	4836	5124516864.000000
281474976710655.000000	7.763492	4837	5125595136.000000
281474976710655.000000	8.180049	4838	5126600704.000000
281474976710655.000000	8.017753	4839	5127675392.000000
281474976710655.000000	8.526594	4840	5128685056.000000
281474976710655.000000	8.095211	4841	5129755136.000000
281474976710655.000000	8.515770	4842	5130770944.000000
281474976710655.000000	8.131392	4843	5131840000.000000
281474976710655.000000	8.544343	4844	5132854272.000000
281474976710655.000000	8.215209	4845	5133922304.000000
281474976710655.000000	8.854615	4846	5134939136.000000
281474976710655.000000	8.553696	4847	5136007168.000000
281474976710655.000000	8.699865	4848	5137024000.000000
281474976710655.000000	8.605247	4849	5138087936.000000
281474976710655.000000	9.329031	4850	5139109376.000000
281474976710655.000000	8.747814	4851	5140173824.000000
281474976710655.000000	9.084597	4852	5141190656.000000
281474976710655.000000	8.952999	4853	5142258176.000000
281474976710655.000000	9.331728	4854	5143272448.000000
281474976710655.000000	9.055437	4855	5144342016.000000
281474976710655.000000	9.597650	4856	5145356800.000000
281474976710655.000000	9.061684	4857	5146426368.000000
281474976710655.000000	9.745536	4858	5147438592.000000
281474976710655.000000	9.419608	4859	5148512768.000000
281474976710655.000000	9.873142	4860	5149521408.000000
281474976710655.000000	9.466482	4861	5150595584.000000
281474976710655.000000	10.073863	4862	5151605760.000000
281474976710655.000000	9.605417	4863	5152677888.000000
281474976710655.000000	9.826621	4864	5153690112.000000
281474976710655.000000	9.779796	4865	5154759680.000000
281474976710655.000000	9.907966	4866	5155776000.000000
281474976710655.000000	10.171905	4867	5156840448.000000
281474976710655.000000	9.940920	4868	5157863424.000000
281474976710655.000000	10.138704	4869	5158921216.000000
281474976710655.000000	10.121734	4870	5159951872.000000
281474976710655.000000	10.466545	4871	5161001984.000000
281474976710655.000000	10.178810	4872	5162037760.000000
281474976710655.000000	10.731157	4873	5163084288.000000
281474976710655.000000	10.387985	4874	5164123136.000000
281474976710655.000000	10.678626	4875	5165165568.000000
281474976710655.000000	10.654737	4876	5166208000.000000
281474976710655.000000	10.852251	4877	5167249920.000000
281474976710655.000000	10.815630	4878	5168291840.000000
281474976710655.000000	11.139434	4879	5169332224.000000
281474976710655.000000	10.948141	4880	5170375680.000000
281474976710655.000000	10.960211	4881	5171416064.000000
281474976710655.000000	10.968657	4882	5172457984.000000
281474976710655.000000	11.607132	4883	5173500928.000000
281474976710655.000000	11.214071	4884	5174541312.000000
281474976710655.000000	11.544771	4885	5175584256.000000
281474976710655.000000	11.493373	4886	5176626176.000000
281474976710655.000000	11.654233	4887	5177668608.000000
281474976710655.000000	11.405987	4888	5178709504.000000
281474976710655.000000	11.791223	4889	5179750912.000000
281474976710655.000000	11.687718	4890	5180793344.000000
281474976710655.000000	11.683129	4891	5181834752.000000
281474976710655.000000	12.451881	4892	5182877184.000000
281474976710655.000000	11.799468	4893	5183918592.000000
281474976710655.000000	12.367138	4894	5184961536.000000
281474976710655.000000	12.333728	4895	5186000896.000000
281474976710655.000000	12.294620	4896	5187045888.000000
281474976710655.000000	12.121019	4897	5188083712.000000
281474976710655.000000	12.666764	4898	5189129728.000000
281474976710655.000000	12.075994	4899	5190168064.000000
281474976710655.000000	12.664970	4900	5191212544.000000
281474976710655.000000	12.619208	4901	5192252928.000000
281474976710655.000000	12.983528	4902	5193294848.000000
281474976710655.000000	12.765221	4903	5194338304.000000
281474976710655.000000	13.169809	4904	5195375616.000000
281474976710655.000000	13.094261	4905	5196424704.000000
281474976710655.000000	12.894605	4906	5197457920.000000
281474976710655.000000	13.220847	4907	5198509056.000000
281474976710655.000000	13.258849	4908	5199539200.000000
281474976710655.000000	13.463887	4909	5200595968.000000
281474976710655.000000	13.432510	4910	5201620992.000000
281474976710655.000000	14.265593	4911	5202681344.000000
281474976710655.000000	13.429315	4912	5203702784.000000
281474976710655.000000	13.938803	4913	5204767232.000000
281474976710655.000000	14.144729	4914	5205785600.000000
281474976710655.000000	13.691250	4915	5206852096.000000
281474976710655.000000	14.400703	4916	5207868416.000000
281474976710655.000000	13.912605	4917	5208934912.000000
281474976710655.000000	13.990879	4918	5209952256.000000
281474976710655.000000	14.466687	4919	5211019264.000000
281474976710655.000000	15.521749	4920	5212036096.000000
281474976710655.000000	14.398742	4921	5213102080.000000
281474976710655.000000	15.048403	4922	5214120960.000000
281474976710655.000000	14.364798	4923	5215185920.000000
281474976710655.000000	14.990185	4924	5216205312.000000
281474976710655.000000	15.931846	4925	5217268736.000000
281474976710655.000000	15.559258	4926	5218288640.000000
281474976710655.000000	15.190361	4927	5219352576.000000
281474976710655.000000	15.409612	4928	5220372992.000000
281474976710655.000000	15.071377	4929	5221435904.000000
281474976710655.000000	16.369976	4930	5222456832.000000
281474976710655.000000	15.743321	4931	5223519232.000000
281474976710655.000000	15.049989	4932	5224539136.000000
281474976710655.000000	16.883030	4933	0.000000
