time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
5096.423464	47.114525	0.019645	2.398354	201
5097.447107	27.575356	0.019633	1.404545	202
5098.502367	25.958611	0.019642	1.321608	203
5099.529403	26.810463	0.019644	1.364814	204
5100.583916	27.647543	0.019669	1.405641	205
5101.619097	27.723227	0.019621	1.412902	206
5102.661060	27.959717	0.019615	1.425408	207
5103.704796	29.855864	0.019613	1.522245	208
5104.747373	28.517866	0.019654	1.450967	209
5105.786193	28.141340	0.019632	1.433450	210
5106.828980	28.737000	0.019644	1.462857	211
5107.872066	30.177950	0.019638	1.536713	212
5108.914480	29.663189	0.019612	1.512524	213
5109.954783	30.671286	0.019740	1.553748	214
5110.998157	30.041983	0.019620	1.531180	215
5112.038071	31.429260	0.019665	1.598267	216
5113.083767	30.103830	0.019589	1.536781	217
5114.116564	31.897192	0.019654	1.622960	218
5115.172952	30.473877	0.019577	1.556621	219
5116.195361	32.189346	0.019620	1.640641	220
5117.259230	29.189060	0.019650	1.485415	221
5118.275902	32.532078	0.019645	1.655996	222
5119.344980	30.815462	0.019661	1.567327	223
5120.356393	49.360939	0.019605	2.517786	224
5121.430699	30.853176	0.019574	1.576260	225
5122.439758	34.205299	0.019602	1.744963	226
5123.517922	31.737673	0.019608	1.618615	227
5124.521859	33.586109	0.019597	1.713803	228
5125.599629	31.389769	0.019597	1.601784	229
5126.606599	34.200764	0.019632	1.742128	230
5127.680912	32.130219	0.019602	1.639157	231
5128.692089	35.738720	0.019637	1.819976	232
5129.760613	31.600758	0.019643	1.608714	233
5130.775685	35.374352	0.019627	1.802296	234
5131.846304	33.822105	0.019610	1.724730	235
5132.858527	35.576172	0.019607	1.814508	236
5133.928565	33.283882	0.019611	1.697167	237
5134.943565	36.452740	0.019638	1.856236	238
5136.012897	33.391716	0.019538	1.709027	239
5137.029298	36.568832	0.019599	1.865826	240
5138.093295	34.601494	0.019603	1.765081	241
5139.113915	37.327740	0.019597	1.904791	242
5140.180287	35.255524	0.019572	1.801364	243
5141.195945	37.563946	0.019600	1.916548	244
5142.264857	35.226410	0.019555	1.801380	245
5143.277902	37.867165	0.019595	1.932478	246
5144.346902	35.802792	0.019650	1.822063	247
5145.362097	38.230404	0.019601	1.950464	248
5146.431018	36.049744	0.019596	1.839659	249
5147.444013	39.089046	0.019606	1.993738	250
5148.518093	35.812168	0.019596	1.827550	251
5149.526697	39.445599	0.019625	2.009987	252
5150.601005	37.273598	0.019593	1.902408	253
5151.611089	40.225681	0.019594	2.052946	254
5152.683207	37.825584	0.019594	1.930424	255
5153.691850	39.132835	0.019594	1.997146	0
5154.765138	38.483044	0.019596	1.963861	1
5155.782421	40.872864	0.019597	2.085702	2
5156.845488	39.519135	0.019639	2.012308	3
5157.870250	41.643745	0.019580	2.126865	4
5158.927287	40.673698	0.019621	2.072925	5
5159.956995	41.862640	0.019603	2.135527	6
5161.007382	40.614346	0.019603	2.071851	7
5162.037425	40.254646	0.019602	2.053584	8
5163.090326	41.593174	0.019622	2.119752	9
5164.128718	41.985020	0.019586	2.143601	10
5165.171257	41.689095	0.019599	2.127128	11
5166.214673	42.801109	0.019583	2.185576	12
5167.255089	42.026966	0.019573	2.147226	13
5168.297710	43.430202	0.019628	2.212716	14
5169.338191	43.079128	0.019629	2.194722	15
5170.380825	43.583847	0.019596	2.224161	16
5171.421010	41.483200	0.019633	2.112933	17
5172.463017	42.290764	0.019684	2.148469	18
5173.505084	43.440346	0.019606	2.215637	19
5174.548631	44.857883	0.019611	2.287390	20
5175.588808	43.503040	0.019556	2.224567	21
5176.630825	45.616570	0.019645	2.322012	22
5177.674108	44.667648	0.019593	2.279824	23
5178.714711	45.406914	0.019621	2.314205	24
5179.755452	44.307205	0.019578	2.263158	25
5180.797970	44.991425	0.019585	2.297245	26
5181.840568	45.577400	0.019620	2.323031	27
5182.881674	45.780281	0.019627	2.332469	28
5183.924825	44.169037	0.019602	2.253237	29
5184.965756	45.918167	0.019575	2.345804	30
5186.005587	46.380592	0.019648	2.360567	31
5187.052623	47.052776	0.019584	2.402566	32
5188.089323	46.829105	0.019592	2.390207	33
5189.135664	47.602169	0.019635	2.424306	34
5190.173823	47.435963	0.019625	2.417114	35
5191.217852	47.912750	0.019621	2.441895	36
5192.258517	47.684750	0.019589	2.434287	37
5193.301154	48.809814	0.019625	2.487097	38
