crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	1.077831	4521	0.000000
281474976710655.000000	1.085119	4522	0.000000
281474976710655.000000	1.194305	4523	0.000000
281474976710655.000000	1.165949	4524	6008646656.000000
281474976710655.000000	1.106529	4525	6009717248.000000
281474976710655.000000	1.130133	4526	6010731520.000000
281474976710655.000000	1.134809	4527	6011800064.000000
281474976710655.000000	1.151861	4528	6012814336.000000
281474976710655.000000	1.109301	4529	6013887488.000000
281474976710655.000000	1.125731	4530	6014898688.000000
281474976710655.000000	1.189615	4531	6015968768.000000
281474976710655.000000	1.173878	4532	6016980480.000000
281474976710655.000000	1.143675	4533	6018052096.000000
281474976710655.000000	1.191645	4534	6019064320.000000
281474976710655.000000	1.154787	4535	6020137984.000000
281474976710655.000000	1.164536	4536	6021149184.000000
281474976710655.000000	1.183519	4537	6022221312.000000
281474976710655.000000	1.180357	4538	6023233536.000000
281474976710655.000000	1.185313	4539	6024303616.000000
281474976710655.000000	1.194581	4540	6025316352.000000
281474976710655.000000	1.202356	4541	6026387456.000000
281474976710655.000000	1.231715	4542	6027401728.000000
281474976710655.000000	1.165380	4543	6028471296.000000
281474976710655.000000	1.190125	4544	6029488128.000000
281474976710655.000000	1.238578	4545	6030552064.000000
281474976710655.000000	1.233277	4546	6031571968.000000
281474976710655.000000	1.194806	4547	6032636416.000000
281474976710655.000000	1.235381	4548	6033656320.000000
281474976710655.000000	1.212504	4549	6034718720.000000
281474976710655.000000	1.248711	4550	6035740160.000000
281474976710655.000000	1.256389	4551	6036803584.000000
281474976710655.000000	1.277147	4552	6037824000.000000
281474976710655.000000	1.241743	4553	6038886400.000000
281474976710655.000000	1.242751	4554	6039907328.000000
281474976710655.000000	1.250158	4555	6040970752.000000
281474976710655.000000	1.258604	4556	6041991680.000000
281474976710655.000000	1.250739	4557	6043055616.000000
281474976710655.000000	1.281000	4558	6044073472.000000
281474976710655.000000	1.272545	4559	6045140480.000000
281474976710655.000000	1.303025	4560	6046155776.000000
281474976710655.000000	1.262681	4561	6047227392.000000
281474976710655.000000	1.305049	4562	6048237568.000000
281474976710655.000000	1.294521	4563	6049310720.000000
281474976710655.000000	1.286951	4564	6050320896.000000
281474976710655.000000	1.302232	4565	6051394048.000000
281474976710655.000000	1.323215	4566	6052404224.000000
281474976710655.000000	1.270956	4567	6053480448.000000
281474976710655.000000	1.338258	4568	6054486528.000000
281474976710655.000000	1.332585	4569	6055563776.000000
281474976710655.000000	1.314937	4570	6056568832.000000
281474976710655.000000	1.330705	4571	6057648128.000000
281474976710655.000000	1.352901	4572	6058652672.000000
281474976710655.000000	1.329815	4573	6059730944.000000
281474976710655.000000	1.327014	4574	6060735488.000000
281474976710655.000000	1.314422	4575	6061817344.000000
281474976710655.000000	1.363566	4576	6062817792.000000
281474976710655.000000	1.325770	4577	6063900672.000000
281474976710655.000000	1.338634	4578	6064904192.000000
281474976710655.000000	1.395093	4579	6065982976.000000
281474976710655.000000	1.375930	4580	6066987520.000000
281474976710655.000000	1.354961	4581	6068066304.000000
281474976710655.000000	1.404343	4582	6069072896.000000
281474976710655.000000	1.378018	4583	6070148096.000000
281474976710655.000000	1.391148	4584	6071157248.000000
281474976710655.000000	1.378246	4585	6072230400.000000
281474976710655.000000	1.398211	4586	6073243136.000000
281474976710655.000000	1.407550	4587	6074312704.000000
281474976710655.000000	1.413490	4588	6075326464.000000
281474976710655.000000	1.386847	4589	6076395008.000000
281474976710655.000000	1.409908	4590	6077412864.000000
281474976710655.000000	1.409359	4591	6078477312.000000
281474976710655.000000	1.405011	4592	6079497216.000000
281474976710655.000000	1.398784	4593	6080559104.000000
281474976710655.000000	1.420961	4594	6081581568.000000
281474976710655.000000	1.431126	4595	6082642944.000000
281474976710655.000000	1.445825	4596	6083666432.000000
281474976710655.000000	1.423213	4597	6084725760.000000
281474976710655.000000	1.442056	4598	6085750784.000000
281474976710655.000000	1.438260	4599	6086809600.000000
281474976710655.000000	1.455533	4600	6087833600.000000
281474976710655.000000	1.414229	4601	6088893440.000000
281474976710655.000000	1.442774	4602	6089916928.000000
281474976710655.000000	1.453747	4603	6090976256.000000
281474976710655.000000	1.461450	4604	6092000768.000000
281474976710655.000000	1.471455	4605	6093059584.000000
281474976710655.000000	1.480742	4606	6094084608.000000
281474976710655.000000	1.473860	4607	6095144960.000000
281474976710655.000000	1.493150	4608	6096167424.000000
281474976710655.000000	1.503380	4609	6097228800.000000
281474976710655.000000	1.515711	4610	6098249728.000000
281474976710655.000000	1.482839	4611	6099313152.000000
281474976710655.000000	1.498159	4612	6100332032.000000
281474976710655.000000	1.497710	4613	6101397504.000000
281474976710655.000000	1.519631	4614	6102416384.000000
281474976710655.000000	1.504686	4615	6103479808.000000
281474976710655.000000	1.491965	4616	6104500224.000000
281474976710655.000000	1.513511	4617	6105563648.000000
281474976710655.000000	1.530600	4618	6106584064.000000
281474976710655.000000	1.534493	4619	6107646976.000000
281474976710655.000000	1.558500	4620	6108666880.000000
281474976710655.000000	1.526231	4621	6109730304.000000
281474976710655.000000	1.556780	4622	6110751744.000000
281474976710655.000000	1.518739	4623	6111813120.000000
281474976710655.000000	1.526034	4624	6112836096.000000
281474976710655.000000	1.535921	4625	6113895936.000000
281474976710655.000000	1.540546	4626	6114920448.000000
281474976710655.000000	1.531477	4627	6115979776.000000
281474976710655.000000	1.563573	4628	6117004288.000000
281474976710655.000000	1.534014	4629	6118062080.000000
281474976710655.000000	1.571794	4630	6119086592.000000
281474976710655.000000	1.565323	4631	6120146944.000000
281474976710655.000000	1.560038	4632	6121170944.000000
281474976710655.000000	1.541899	4633	6122230272.000000
281474976710655.000000	1.573630	4634	6123253760.000000
281474976710655.000000	1.586536	4635	6124313600.000000
281474976710655.000000	1.570522	4636	6125337088.000000
281474976710655.000000	1.550521	4637	6126397952.000000
281474976710655.000000	1.569989	4638	6127419904.000000
281474976710655.000000	1.577076	4639	6128483840.000000
281474976710655.000000	1.584737	4640	6129502208.000000
281474976710655.000000	1.589198	4641	6130566656.000000
281474976710655.000000	1.618860	4642	6131585024.000000
281474976710655.000000	1.612715	4643	6132652544.000000
281474976710655.000000	1.641340	4644	6133665792.000000
281474976710655.000000	1.606359	4645	6134736384.000000
281474976710655.000000	1.614515	4646	6135749632.000000
281474976710655.000000	1.570335	4647	6136820736.000000
281474976710655.000000	1.632691	4648	6137832448.000000
281474976710655.000000	1.632805	4649	6138905088.000000
281474976710655.000000	1.641928	4650	6139914752.000000
281474976710655.000000	1.630957	4651	6140988928.000000
281474976710655.000000	1.627894	4652	6141998592.000000
281474976710655.000000	1.655185	4653	6143071744.000000
281474976710655.000000	1.622561	4654	6144082432.000000
281474976710655.000000	1.631175	4655	6145155072.000000
281474976710655.000000	1.655993	4656	6146165248.000000
281474976710655.000000	1.636858	4657	6147239424.000000
281474976710655.000000	1.642050	4658	6148248576.000000
281474976710655.000000	1.652285	4659	6149322240.000000
281474976710655.000000	1.642121	4660	6150332928.000000
281474976710655.000000	1.648138	4661	6151405056.000000
281474976710655.000000	1.675636	4662	6152416768.000000
281474976710655.000000	1.665949	4663	6153487872.000000
281474976710655.000000	1.652571	4664	6154501632.000000
281474976710655.000000	1.664047	4665	6155570176.000000
281474976710655.000000	1.673160	4666	6156585984.000000
281474976710655.000000	1.674114	4667	6157652480.000000
281474976710655.000000	1.670298	4668	6158670336.000000
281474976710655.000000	1.668555	4669	6159734784.000000
281474976710655.000000	1.696220	4670	6160754176.000000
281474976710655.000000	1.731123	4671	6161816576.000000
281474976710655.000000	1.683255	4672	6162840064.000000
281474976710655.000000	1.678746	4673	6163898368.000000
281474976710655.000000	1.697366	4674	6164923904.000000
281474976710655.000000	1.664054	4675	6165981184.000000
281474976710655.000000	1.664356	4676	6167007744.000000
281474976710655.000000	1.676845	4677	6168064000.000000
281474976710655.000000	1.693963	4678	6169092096.000000
