num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
4519	6002.174774	37.940117	1.578080	0.516288	1.012192
4521	6004.255579	37.863397	1.566358	0.516209	1.148359
4523	6006.339610	37.878479	1.534082	0.516882	1.053849
4525	6008.418388	38.012579	1.559431	0.513417	1.212750
4527	6010.502524	38.105145	1.554405	0.525182	1.112518
4529	6012.585336	41.233485	0.116166	0.518090	1.045986
4531	6014.669631	38.098139	1.366303	0.512868	1.209759
4533	6016.751813	38.316991	1.324002	0.513268	1.214990
4535	6018.835395	38.211476	2.106018	0.517435	1.161173
4537	6020.920333	38.521906	3.835509	0.520974	1.096978
4539	6023.004513	38.391018	2.928660	0.512074	1.217558
4541	6025.087640	38.634339	2.465316	0.518722	1.156230
4543	6027.172616	39.622583	1.337326	0.525100	1.203066
4545	6029.258583	39.270888	1.654841	0.504307	1.200662
4547	6031.343092	39.249376	1.932634	0.517822	1.241363
4549	6033.427561	39.597416	1.199658	0.523513	1.204776
4551	6035.511196	39.714699	1.157674	0.524434	1.238728
4553	6037.595250	39.911642	1.079469	0.517001	1.304979
4555	6039.678365	39.775904	1.594495	0.513085	1.190017
4557	6041.762667	40.042466	1.057445	0.518179	1.213913
4559	6043.844803	39.771903	1.602121	0.512384	1.264534
4561	6045.927019	40.360785	1.023779	0.518096	1.221919
4563	6048.008884	40.053090	2.714565	0.511660	1.293521
4565	6050.092175	40.609359	0.977202	0.517492	1.279958
4567	6052.175497	40.727328	0.954637	0.517326	1.262830
4569	6054.257904	40.708451	1.873064	0.511134	1.251803
4571	6056.340190	40.709161	2.586902	0.511952	1.369590
4573	6058.423709	41.264822	0.861230	0.524250	1.315812
4575	6060.506716	41.083289	0.711006	0.523591	1.318119
4577	6062.588706	41.195360	0.776978	0.525998	1.351787
4579	6064.674786	41.256447	0.662619	0.524465	1.298980
4581	6066.758400	41.747866	0.769856	0.518868	1.490168
4583	6068.843551	41.481456	2.049650	0.516916	1.340341
4585	6070.928548	42.437342	0.814967	0.533108	1.364000
4587	6073.013767	40.629832	-1.397913	0.532324	1.348336
4589	6075.097766	41.625745	2.935654	0.518662	1.426287
4591	6077.183566	42.266212	1.519884	0.515560	1.350333
4593	6079.268589	42.821876	0.666393	0.535417	1.402791
4595	6081.352636	42.387172	1.279366	0.507997	1.412528
4597	6083.437475	42.429522	0.616246	0.520218	1.512693
4599	6085.521936	43.063060	0.543547	0.533456	1.424837
4601	6087.604782	44.068548	-1.372071	0.533616	1.455648
4603	6089.688182	42.770384	0.502358	0.519709	1.430132
4605	6091.771860	43.530111	0.479717	0.532358	1.441294
4607	6093.855667	43.344602	0.482366	0.520371	1.530926
4609	6095.938421	43.088331	1.916917	0.517598	1.472834
4611	6098.020633	43.277330	0.355411	0.520160	1.526646
4613	6100.103192	43.068308	1.729116	0.521117	1.492269
4615	6102.187315	43.526558	0.288830	0.520587	1.503334
4617	6104.271387	43.621648	3.566164	0.526171	1.489599
4619	6106.355152	43.684740	0.247684	0.521229	1.534692
4621	6108.438237	43.814805	0.231077	0.521807	1.574813
4623	6110.523102	43.849908	1.723960	0.522464	1.497877
4625	6112.607293	43.616355	2.951258	0.524132	1.524610
4627	6114.691684	44.376901	2.062483	0.518222	1.532129
4629	6116.775575	44.281907	1.634938	0.518129	1.540171
4631	6118.857590	45.476524	0.217432	0.533694	1.490233
4633	6120.941938	45.289193	-2.304784	0.539051	1.591241
4635	6123.024697	44.848398	0.175635	0.530678	1.510689
4637	6125.108086	45.294795	-3.865624	0.541765	1.526909
4639	6127.190788	44.861958	0.096235	0.524599	1.547502
4641	6129.273332	44.682710	1.645318	0.517352	1.540062
4643	6131.355972	44.567684	1.702780	0.517883	1.572662
4645	6133.437100	45.130801	0.040936	0.524092	1.607351
4647	6135.520653	46.390792	4.265916	0.511278	1.639541
4649	6137.603625	45.984514	0.010470	0.534643	1.603766
4651	6139.686100	45.776185	-1.925836	0.532146	1.614221
4653	6141.769901	46.198685	-0.015075	0.535321	1.690894
4655	6143.853418	45.811250	-2.265549	0.534453	1.650439
4657	6145.936462	45.776210	3.285657	0.523741	1.638514
4659	6148.019794	45.977223	-0.104442	0.530765	1.560592
4661	6150.103979	45.719157	-0.233428	0.531478	1.638060
4663	6152.187823	46.357794	-1.982767	0.531807	1.646894
4665	6154.272683	46.499574	3.058822	0.530523	1.616656
4667	6156.357016	46.891922	-0.163888	0.536745	1.581792
4669	6158.441421	46.404073	0.367331	0.511918	1.667537
4671	6160.525102	46.171687	1.667844	0.520518	1.754147
4673	6162.610836	46.100528	2.090035	0.518104	1.721650
4675	6164.695182	46.366492	-0.204783	0.525604	1.641322
4677	6166.779122	46.377104	2.236609	0.517965	1.627082
