time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
6008.650850	24.541481	0.014698	1.669695	172
6009.721382	21.574873	0.014720	1.465644	173
6010.736925	22.907009	0.014701	1.558150	174
6011.800971	23.764004	0.014641	1.623165	175
6012.819038	24.992605	0.014682	1.702215	176
6013.893471	20.009258	0.014679	1.363164	177
6014.899106	22.758480	0.014672	1.551106	178
6015.972347	22.578371	0.014669	1.539173	179
6016.984289	23.550768	0.014645	1.608095	180
6018.056172	22.644194	0.014713	1.539090	181
6019.068265	23.937225	0.014691	1.629370	182
6020.142151	22.448263	0.014683	1.528828	183
6021.153829	23.721333	0.014665	1.617511	184
6022.225975	20.898659	0.014666	1.424982	185
6023.237938	22.453154	0.014638	1.533899	186
6024.308014	22.113264	0.014678	1.506587	187
6025.320355	23.222425	0.014696	1.580241	188
6026.392080	22.712891	0.014709	1.544162	189
6027.407801	24.143183	0.014665	1.646310	190
6028.476138	21.323082	0.014657	1.454838	191
6029.492439	22.500793	0.014675	1.533262	192
6030.556781	22.674936	0.014669	1.545744	193
6031.576783	23.778366	0.014655	1.622547	194
6032.640081	21.730274	0.014673	1.480954	195
6033.661431	22.806282	0.014687	1.552804	196
6034.722277	23.073566	0.014661	1.573777	197
6035.745524	23.587109	0.014685	1.606211	198
6036.810138	21.469145	0.014666	1.463827	199
6037.828396	23.503109	0.014663	1.602907	200
6038.891151	22.639664	0.014661	1.544225	201
6039.911518	23.875946	0.014677	1.626803	202
6040.976851	21.194811	0.014667	1.445106	203
6041.995626	23.003969	0.014654	1.569825	204
6043.059060	21.642004	0.014653	1.476979	205
6044.079080	22.895123	0.014680	1.559665	206
6045.144031	22.398178	0.014663	1.527503	207
6046.159795	23.952610	0.014691	1.630378	208
6047.231640	21.378962	0.014676	1.456689	209
6048.241783	23.900148	0.014664	1.629842	210
6049.314294	21.528961	0.014659	1.468635	211
6050.325591	67.577141	0.014653	4.611940	212
6051.399544	21.760431	0.014679	1.482393	213
6052.408136	23.615395	0.014650	1.611935	214
6053.484276	21.670570	0.014706	1.473592	215
6054.490631	23.683666	0.014697	1.611492	216
6055.568363	21.444881	0.014654	1.463446	217
6056.572803	23.642239	0.014634	1.615589	218
6057.651702	21.487015	0.014648	1.466862	219
6058.656282	23.119673	0.014649	1.578189	220
6059.735612	22.186081	0.014651	1.514285	221
6060.738998	23.755661	0.014652	1.621324	222
6061.822173	21.252256	0.014618	1.453825	223
6062.823866	23.651659	0.014654	1.614007	224
6063.904763	21.375942	0.014715	1.452644	225
6064.910236	22.761513	0.014656	1.553081	226
6065.990795	21.867514	0.014667	1.490963	227
6066.991703	23.226158	0.014622	1.588422	228
6068.070098	21.770557	0.014682	1.482765	229
6069.077541	23.588840	0.014651	1.610035	230
6070.152088	21.464216	0.014687	1.461476	231
6071.163347	23.042803	0.014661	1.571759	232
6072.234252	21.590656	0.014696	1.469136	233
6073.251713	22.111643	0.014655	1.508830	234
6074.316741	21.994211	0.014689	1.497363	235
6075.330681	23.427807	0.014672	1.596816	236
6076.399260	21.903170	0.014661	1.494025	237
6077.417293	22.962975	0.014644	1.568086	238
6078.481483	21.613226	0.014660	1.474310	239
6079.503028	22.719028	0.014660	1.549689	240
6080.563828	22.006626	0.014647	1.502478	241
6081.585696	22.775955	0.014603	1.559649	242
6082.644767	22.074314	0.014646	1.507204	243
6083.670402	22.923594	0.014700	1.559432	244
6084.730365	21.277342	0.014656	1.451737	245
6085.755879	22.539904	0.014682	1.535218	246
6086.814116	22.269230	0.014655	1.519601	247
6087.837484	22.730747	0.014678	1.548638	248
6088.898923	21.787167	0.014674	1.484773	249
6089.921569	22.521889	0.014642	1.538153	250
6090.980165	22.333836	0.014699	1.519373	251
6092.004375	22.745909	0.014613	1.556502	252
6093.065587	22.268751	0.014660	1.518971	253
6094.089115	22.287800	0.014669	1.519355	254
6095.148343	22.657928	0.014622	1.549582	255
6096.171721	21.789125	0.014649	1.487374	0
6097.234459	21.893467	0.014654	1.494073	1
6098.253870	22.811108	0.014665	1.555477	2
6099.316410	22.038757	0.014638	1.505583	3
6100.336583	22.381447	0.014645	1.528225	4
6101.401213	21.942303	0.014650	1.497815	5
6102.420787	22.543295	0.014646	1.539191	6
6103.483712	22.115120	0.014644	1.510221	7
6104.503198	22.576708	0.014679	1.537984	8
6105.569657	20.730028	0.014657	1.414304	9
6106.591871	22.232199	0.014655	1.517051	10
6107.650586	22.012510	0.014654	1.502121	11
6108.671858	22.486773	0.014636	1.536392	12
6109.734949	21.809748	0.014641	1.489627	13
6110.758934	22.004379	0.014669	1.500051	14
6111.817630	21.563065	0.014650	1.471904	15
6112.839497	22.012255	0.014651	1.502419	16
6113.899974	21.821613	0.014626	1.492020	17
6114.924593	22.042004	0.014667	1.502809	18
6115.984373	21.797367	0.014642	1.488655	19
6117.008909	21.746386	0.014647	1.484678	20
6118.066882	21.943218	0.014638	1.499028	21
6119.092679	21.808437	0.014647	1.488921	22
6120.151536	21.511581	0.014643	1.469110	23
6121.174910	21.746038	0.014673	1.482007	24
6122.236302	21.325283	0.014643	1.456350	25
6123.259072	21.815529	0.014665	1.487567	26
6124.317116	21.896809	0.014648	1.494890	27
6125.341743	21.574322	0.014595	1.478169	28
6126.406566	20.789522	0.014625	1.421469	29
6127.428414	20.769238	0.014640	1.418674	30
6128.488519	21.207972	0.014641	1.448520	31
6129.506733	21.525000	0.014693	1.464955	32
6130.571918	20.733372	0.014654	1.414822	33
6131.589047	22.172712	0.014679	1.510483	34
6132.658551	21.054623	0.014653	1.436929	35
6133.670662	155.202530	0.014634	10.605929	36
6134.741194	20.633770	0.014583	1.414897	37
6135.753743	21.646133	0.014671	1.475419	38
6136.825476	20.884565	0.014639	1.426632	39
6137.836164	21.832161	0.014633	1.491983	40
6138.909700	20.868574	0.014683	1.421290	41
6139.919518	21.795086	0.014633	1.489420	42
6140.993608	20.723326	0.014638	1.415746	43
6142.002280	21.800352	0.014638	1.489266	44
6143.075955	20.895123	0.014651	1.426170	45
6144.087638	21.284740	0.014686	1.449350	46
6145.159800	20.719452	0.014636	1.415670	47
6146.169889	22.870970	0.014643	1.561930	48
6147.247705	20.185690	0.014642	1.378624	49
6148.256679	20.990736	0.014626	1.435211	50
6149.326375	20.682726	0.014632	1.413533	51
6150.338052	21.306326	0.014672	1.452161	52
6151.408823	20.837566	0.014687	1.418741	53
6152.420686	21.574461	0.014678	1.469819	54
6153.492332	20.328691	0.014614	1.391074	55
6154.506317	21.188583	0.014635	1.447755	56
6155.574513	20.839493	0.014643	1.423165	57
6156.592068	20.938835	0.014649	1.429338	58
6157.653993	20.861248	0.014642	1.424714	59
6158.674939	20.862442	0.014633	1.425721	60
6159.739460	20.647398	0.014603	1.413958	61
6160.758053	21.411200	0.014672	1.459284	62
6161.821482	21.036285	0.014631	1.437817	63
6162.844037	21.041250	0.014606	1.440552	64
6163.904026	20.751793	0.014641	1.417363	65
6164.928749	20.758978	0.014649	1.417078	66
6165.984773	20.582193	0.014638	1.406119	67
6167.011311	20.772446	0.014631	1.419801	68
6168.069334	20.514801	0.014665	1.398899	69
6169.095996	20.683321	0.014673	1.409593	70
