time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
7817.882501	18.796520	0.014715	1.277365	231
7818.898019	21.126888	0.014646	1.442520	232
7819.966025	19.645525	0.014692	1.337137	233
7820.987311	21.332853	0.014642	1.457012	234
7822.049249	18.705269	0.014656	1.276290	235
7823.065822	21.467287	0.014704	1.460003	236
7824.137237	19.358057	0.014655	1.320935	237
7825.149829	22.189177	0.014694	1.510126	238
7826.221698	18.985052	0.014670	1.294182	239
7827.231800	21.791494	0.014667	1.485713	240
7828.307283	19.666882	0.014666	1.341008	241
7829.310468	21.940502	0.014692	1.493321	242
7830.396088	19.406204	0.014656	1.324155	243
7831.392198	22.476040	0.014646	1.534610	244
7832.487497	18.965807	0.014646	1.294984	245
7833.474674	22.702297	0.014668	1.547723	246
7834.569333	19.096401	0.014638	1.304546	247
7835.556583	21.810461	0.014693	1.484389	248
7836.654518	19.477978	0.014690	1.325965	249
7837.639282	22.410215	0.014689	1.525599	250
7838.738605	18.991840	0.014676	1.294092	251
7839.723086	22.855770	0.014661	1.558962	252
7840.824774	18.874147	0.014649	1.288449	253
7841.808079	23.217569	0.014707	1.578684	254
7842.907390	19.477419	0.014659	1.328691	255
7843.892368	22.177990	0.014622	1.516766	0
7844.988715	19.604647	0.014641	1.339037	1
7845.976566	23.042669	0.014668	1.570978	2
7847.077033	19.351328	0.014622	1.323456	3
7848.064953	22.700951	0.014645	1.550118	4
7849.157555	19.288425	0.014652	1.316468	5
7850.149720	22.825878	0.014679	1.554953	6
7851.236969	20.183544	0.014671	1.375783	7
7852.234986	22.350615	0.014681	1.522430	8
7853.318740	20.278370	0.014660	1.383234	9
7854.323169	22.934032	0.014618	1.568856	10
7855.398684	20.020344	0.014648	1.366767	11
7856.411017	22.456995	0.014684	1.529309	12
7857.480879	20.524897	0.014655	1.400491	13
7858.497008	22.057072	0.014652	1.505374	14
7859.564610	20.376799	0.014614	1.394324	15
7860.580683	22.610123	0.014646	1.543796	16
7861.648213	20.879995	0.014646	1.425634	17
7862.667744	22.679390	0.014686	1.544314	18
7863.730635	20.863583	0.014682	1.420990	19
7864.748600	22.841248	0.014661	1.558013	20
7865.817145	20.365475	0.014673	1.387983	21
7866.833709	22.517113	0.014665	1.535396	22
7867.903768	20.173002	0.014642	1.377753	23
7868.914225	22.569181	0.014662	1.539269	24
7869.988315	20.508865	0.014687	1.396413	25
7870.996367	22.648190	0.014675	1.543285	26
7872.075809	20.318745	0.014634	1.388498	27
7873.078849	23.209902	0.014645	1.584794	28
7874.160811	20.314489	0.014650	1.386670	29
7875.161576	23.116665	0.014643	1.578695	30
7876.245715	19.945518	0.014638	1.362542	31
7877.241996	23.433620	0.014649	1.599661	32
7878.331004	20.494545	0.014640	1.399936	33
7879.324376	23.646818	0.014633	1.615970	34
7880.415218	20.393192	0.014646	1.392433	35
7881.407096	23.627718	0.014631	1.614866	36
7882.499131	20.496708	0.014632	1.400842	37
7883.491069	23.687469	0.014683	1.613274	38
7884.583162	20.501995	0.014687	1.395952	39
7885.576670	23.113924	0.014613	1.581713	40
7886.667318	20.349691	0.014608	1.393097	41
7887.660887	23.500093	0.014641	1.605129	42
7888.750975	20.597300	0.014687	1.402371	43
7889.744841	23.537680	0.014608	1.611253	44
7890.833422	20.547342	0.014647	1.402874	45
7891.831499	23.632940	0.014639	1.614354	46
7892.914061	21.319174	0.014642	1.456029	47
7893.919068	23.710735	0.014689	1.614162	48
7894.996274	21.309694	0.014692	1.450416	49
7896.004604	23.277531	0.014608	1.593440	50
7897.077315	21.035666	0.014637	1.437115	51
7898.091042	23.158331	0.014652	1.580552	52
7899.153231	21.795887	0.014634	1.489435	53
7900.176650	23.270191	0.014661	1.587188	54
7901.239748	20.970013	0.014703	1.426286	55
7902.261772	23.311798	0.014665	1.589659	56
7903.322672	21.801672	0.014644	1.488828	57
7904.350364	22.600147	0.014633	1.544435	58
7905.406345	21.892689	0.014653	1.494099	59
7906.430433	22.926687	0.014666	1.563223	60
7907.492511	22.027195	0.014641	1.504468	61
7908.514768	22.985739	0.014645	1.569548	62
7909.576996	21.707996	0.014641	1.482640	63
7910.595467	22.902681	0.014635	1.564956	64
7911.662619	21.574457	0.014642	1.473436	65
7912.676972	23.143820	0.014647	1.580158	66
7913.748442	21.911676	0.014645	1.496176	67
7914.759158	23.357227	0.014724	1.586375	68
7915.833439	21.638405	0.014650	1.477025	69
7916.840923	23.068525	0.014639	1.575842	70
7917.917590	21.526934	0.014582	1.476250	71
7918.923826	23.377474	0.014630	1.597862	72
7920.003774	21.782400	0.014664	1.485472	73
7921.006911	23.576065	0.014632	1.611247	74
7922.086637	22.008057	0.014646	1.502675	75
