num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
4045	4288.109447	36.334799	0.256850	0.422542	9.710823
4047	4290.193199	36.243985	0.249003	0.423230	8.466028
4049	4292.276301	36.175614	0.223354	0.422789	9.211536
4051	4294.360148	38.291652	4.940126	0.371137	8.912350
4053	4296.450291	36.910817	1.684583	0.453182	11.261626
4055	4298.538749	36.421830	0.289798	0.415568	10.923284
4057	4300.629563	39.361396	0.074946	0.447768	10.913039
4059	4302.717263	38.891679	1.931445	0.429769	9.107119
4061	4304.796875	37.573869	2.535100	0.463429	10.857297
4063	4306.877463	37.822130	2.154593	0.467632	10.188707
4065	4308.956180	39.490324	0.144296	0.418428	12.043020
4067	4311.038103	39.332132	2.501487	0.470970	11.156974
4069	4313.126724	40.029054	0.127257	0.413699	11.703734
4071	4315.215978	40.153021	2.149153	0.460737	12.118840
4073	4317.304221	42.697111	0.014498	0.447414	11.963266
4075	4319.392452	40.873191	-0.066731	0.402124	12.729730
4077	4321.477032	41.760587	0.135492	0.409466	12.799770
4079	4323.564171	42.138597	2.099357	0.439449	12.485607
4081	4325.648806	41.638162	2.192293	0.471017	12.136862
4083	4327.731781	42.962391	0.215700	0.407996	12.938281
4085	4329.816953	43.425890	0.093970	0.406434	15.022635
4087	4331.901884	43.817125	0.076671	0.411663	13.044542
4089	4333.984638	43.785352	-0.311080	0.396259	13.569721
4091	4336.067267	43.545990	2.088147	0.468947	14.881939
4093	4338.147844	45.157023	0.139686	0.402364	14.369725
4095	4340.229703	45.424427	-0.105388	0.406775	14.668403
4097	4342.311485	45.616686	-0.393322	0.431257	14.892041
4099	4344.396273	45.989898	-0.234013	0.392485	15.095860
4101	4346.484733	46.391109	-0.120686	0.408681	16.342755
4103	4348.573526	46.491360	0.408082	0.408131	16.187642
4105	4350.661987	48.726850	-0.135964	0.444273	15.226542
4107	4352.747619	47.834097	-0.590671	0.387037	15.773483
4109	4354.831695	47.934433	-0.087134	0.397387	15.728524
4111	4356.913943	47.082333	2.391526	0.472909	16.017452
4113	4358.995013	50.646805	-0.321786	0.447464	17.247814
4115	4361.077738	49.120180	2.012449	0.398810	16.913594
4117	4363.161032	49.453853	0.037733	0.394699	16.809655
4119	4365.244014	48.589730	2.264254	0.467224	17.179233
4121	4367.327753	51.594645	-0.373689	0.451571	17.778272
4123	4369.413260	49.815731	1.747987	0.396181	17.582982
4125	4371.497444	49.410700	3.361392	0.469650	17.667815
4127	4373.583958	49.331581	2.631532	0.465671	17.947212
4129	4375.670352	49.930865	3.327552	0.467537	18.989867
4131	4377.756366	51.542983	-0.042077	0.390474	18.043997
4133	4379.842586	51.847322	-0.032442	0.389391	19.058715
4135	4381.927938	52.404774	-0.029090	0.388316	19.206799
4137	4384.012286	53.178593	-0.354362	0.397452	19.182727
4139	4386.093866	54.142461	-0.707220	0.379412	19.236271
4141	4388.174655	54.032325	-0.289638	0.402838	19.488844
4143	4390.255409	53.999759	-0.563449	0.444176	20.086287
4145	4392.337967	53.932764	-0.537551	0.446920	20.916971
4147	4394.421626	53.409446	0.808944	0.399823	19.973096
4149	4396.507549	56.642028	-0.713254	0.449417	20.242803
4151	4398.594432	55.102670	-0.897000	0.440642	20.150578
4153	4400.679846	55.780171	-0.931818	0.373864	20.691222
4155	4402.765363	55.671602	-0.408125	0.399225	22.563020
4157	4404.849928	55.880032	-0.844445	0.438985	21.647414
4159	4406.935309	55.735609	1.740919	0.427516	21.501069
4161	4409.020312	56.688367	-0.292823	0.385568	21.755478
4163	4411.103308	53.928545	2.641398	0.469171	22.412521
4165	4413.186914	54.225865	2.422672	0.467498	22.926992
4167	4415.269656	60.140288	-0.991259	0.449768	22.046064
4169	4417.351815	57.225068	1.669206	0.411704	21.849105
4171	4419.434387	56.290769	2.244816	0.463467	22.757976
