crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	9.334863	4047	0.000000
281474976710655.000000	9.833360	4048	0.000000
281474976710655.000000	9.114619	4049	4293516032.000000
281474976710655.000000	8.962555	4050	4294529024.000000
281474976710655.000000	11.018984	4051	4295596032.000000
281474976710655.000000	8.318902	4052	4296619520.000000
281474976710655.000000	10.412158	4053	4297676800.000000
281474976710655.000000	10.878819	4054	4298707968.000000
281474976710655.000000	10.431788	4055	4299755008.000000
281474976710655.000000	9.619313	4056	4300798976.000000
281474976710655.000000	9.439518	4057	4301837312.000000
281474976710655.000000	10.403788	4058	4302886912.000000
281474976710655.000000	10.646116	4059	4303925248.000000
281474976710655.000000	10.346894	4060	4304965120.000000
281474976710655.000000	9.991688	4061	4306015232.000000
281474976710655.000000	10.474098	4062	4307046400.000000
281474976710655.000000	11.770834	4063	4308105728.000000
281474976710655.000000	11.924334	4064	4309124608.000000
281474976710655.000000	10.791979	4065	4310193152.000000
281474976710655.000000	10.262115	4066	4311206912.000000
281474976710655.000000	11.582497	4067	4312277504.000000
281474976710655.000000	11.189472	4068	4313296384.000000
281474976710655.000000	11.838346	4069	4314358272.000000
281474976710655.000000	12.004149	4070	4315385344.000000
281474976710655.000000	11.560442	4071	4316440064.000000
281474976710655.000000	11.195231	4072	4317473792.000000
281474976710655.000000	12.621681	4073	4318520320.000000
281474976710655.000000	13.027174	4074	4319561728.000000
281474976710655.000000	12.549336	4075	4320604672.000000
281474976710655.000000	13.067251	4076	4321646080.000000
281474976710655.000000	12.762793	4077	4322686976.000000
281474976710655.000000	12.211447	4078	4323733504.000000
281474976710655.000000	12.339092	4079	4324771840.000000
281474976710655.000000	13.656371	4080	4325817856.000000
281474976710655.000000	13.252828	4081	4326855680.000000
281474976710655.000000	13.709366	4082	4327900672.000000
281474976710655.000000	14.879052	4083	4328941056.000000
281474976710655.000000	13.059533	4084	4329986048.000000
281474976710655.000000	12.633729	4085	4331025920.000000
281474976710655.000000	13.016931	4086	4332070912.000000
281474976710655.000000	13.456489	4087	4333112320.000000
281474976710655.000000	14.152219	4088	4334153728.000000
281474976710655.000000	14.918206	4089	4335198720.000000
281474976710655.000000	14.322741	4090	4336236032.000000
281474976710655.000000	14.106780	4091	4337286144.000000
281474976710655.000000	14.991337	4092	4338316800.000000
281474976710655.000000	14.824404	4093	4339374080.000000
281474976710655.000000	13.873175	4094	4340398592.000000
281474976710655.000000	14.592705	4095	4341462016.000000
281474976710655.000000	14.489779	4096	4342480384.000000
281474976710655.000000	15.179465	4097	4343546368.000000
281474976710655.000000	14.923013	4098	4344565248.000000
281474976710655.000000	15.662560	4099	4345629696.000000
281474976710655.000000	15.601896	4100	4346654208.000000
281474976710655.000000	16.467258	4101	4347709952.000000
281474976710655.000000	15.096099	4102	4348743168.000000
281474976710655.000000	15.466097	4103	4349790208.000000
281474976710655.000000	15.846071	4104	4350831616.000000
281474976710655.000000	15.754809	4105	4351871488.000000
281474976710655.000000	16.146498	4106	4352916480.000000
281474976710655.000000	15.552139	4107	4353955328.000000
281474976710655.000000	15.993800	4108	4355000832.000000
281474976710655.000000	15.667953	4109	4356042752.000000
281474976710655.000000	15.702229	4110	4357083136.000000
281474976710655.000000	17.088087	4111	4358129664.000000
281474976710655.000000	17.144270	4112	4359163904.000000
281474976710655.000000	16.981171	4113	4360217088.000000
281474976710655.000000	16.737299	4114	4361246720.000000
281474976710655.000000	16.908466	4115	4362303488.000000
281474976710655.000000	17.390400	4116	4363330048.000000
281474976710655.000000	17.507442	4117	4364388352.000000
281474976710655.000000	17.445240	4118	4365412864.000000
281474976710655.000000	17.355984	4119	4366472704.000000
281474976710655.000000	17.442974	4120	4367496704.000000
281474976710655.000000	17.230600	4121	4368557056.000000
281474976710655.000000	16.992392	4122	4369582080.000000
281474976710655.000000	17.504560	4123	4370641408.000000
281474976710655.000000	17.105406	4124	4371666432.000000
