crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	8.201373	3122	0.000000
281474976710655.000000	7.922762	3123	0.000000
281474976710655.000000	8.181067	3124	3306125568.000000
281474976710655.000000	8.519627	3125	3307168000.000000
281474976710655.000000	8.191668	3126	3308209152.000000
281474976710655.000000	8.343614	3127	3309252352.000000
281474976710655.000000	8.563312	3128	3310296064.000000
281474976710655.000000	8.777797	3129	3311336192.000000
281474976710655.000000	8.762500	3130	3312378880.000000
281474976710655.000000	8.377584	3131	3313422592.000000
281474976710655.000000	9.010909	3132	3314463744.000000
281474976710655.000000	9.041842	3133	3315504640.000000
281474976710655.000000	8.965988	3134	3316550144.000000
281474976710655.000000	9.315129	3135	3317588736.000000
281474976710655.000000	9.505106	3136	3318631680.000000
281474976710655.000000	9.282446	3137	3319673600.000000
281474976710655.000000	8.961409	3138	3320718336.000000
281474976710655.000000	9.481262	3139	3321759232.000000
281474976710655.000000	9.560099	3140	3322801408.000000
281474976710655.000000	9.297796	3141	3323842816.000000
281474976710655.000000	9.641731	3142	3324887296.000000
281474976710655.000000	9.857219	3143	3325925888.000000
281474976710655.000000	9.904218	3144	3326972928.000000
281474976710655.000000	9.673633	3145	3328008192.000000
281474976710655.000000	10.186511	3146	3329058816.000000
281474976710655.000000	10.353711	3147	3330092288.000000
281474976710655.000000	10.195865	3148	3331146240.000000
281474976710655.000000	10.045501	3149	3332173824.000000
281474976710655.000000	10.389757	3150	3333231616.000000
281474976710655.000000	10.431114	3151	3334257408.000000
281474976710655.000000	10.982260	3152	3335318528.000000
281474976710655.000000	10.898885	3153	3336337408.000000
281474976710655.000000	11.530076	3154	3337403136.000000
281474976710655.000000	10.979647	3155	3338421760.000000
281474976710655.000000	10.866431	3156	3339489024.000000
281474976710655.000000	10.871931	3157	3340504832.000000
281474976710655.000000	11.239985	3158	3341574400.000000
281474976710655.000000	11.561385	3159	3342589184.000000
281474976710655.000000	11.329728	3160	3343659008.000000
281474976710655.000000	11.177870	3161	3344672256.000000
281474976710655.000000	11.677187	3162	3345743872.000000
281474976710655.000000	11.253778	3163	3346755584.000000
281474976710655.000000	11.577338	3164	3347830016.000000
281474976710655.000000	11.957276	3165	3348840704.000000
281474976710655.000000	11.893361	3166	3349912576.000000
281474976710655.000000	11.848320	3167	3350924288.000000
281474976710655.000000	11.808615	3168	3351997184.000000
281474976710655.000000	11.525729	3169	3353009920.000000
281474976710655.000000	10.969092	3170	3354081280.000000
281474976710655.000000	12.310699	3171	3355093504.000000
281474976710655.000000	12.302485	3172	3356166400.000000
281474976710655.000000	12.780767	3173	3357178112.000000
281474976710655.000000	12.635166	3174	3358248960.000000
281474976710655.000000	11.985605	3175	3359262720.000000
281474976710655.000000	13.030749	3176	3360333824.000000
281474976710655.000000	12.938991	3177	3361347840.000000
281474976710655.000000	13.049052	3178	3362416128.000000
281474976710655.000000	12.668125	3179	3363432448.000000
281474976710655.000000	13.521839	3180	3364499968.000000
281474976710655.000000	13.414514	3181	3365517568.000000
281474976710655.000000	13.810510	3182	3366583808.000000
281474976710655.000000	13.238264	3183	3367602688.000000
281474976710655.000000	13.253849	3184	3368667648.000000
281474976710655.000000	13.892643	3185	3369689344.000000
281474976710655.000000	13.381457	3186	3370749184.000000
281474976710655.000000	13.952859	3187	3371774208.000000
281474976710655.000000	14.155581	3188	3372832000.000000
281474976710655.000000	13.990886	3189	3373860864.000000
281474976710655.000000	14.017054	3190	3374914816.000000
281474976710655.000000	13.994785	3191	3375947008.000000
281474976710655.000000	14.637115	3192	3376997376.000000
281474976710655.000000	13.799592	3193	3378031616.000000
281474976710655.000000	14.886685	3194	3379079680.000000
281474976710655.000000	14.131778	3195	3380117248.000000
281474976710655.000000	14.851150	3196	3381163776.000000
281474976710655.000000	13.908461	3197	3382201600.000000
281474976710655.000000	14.603965	3198	3383246592.000000
281474976710655.000000	14.545421	3199	3384287488.000000
281474976710655.000000	15.153335	3200	3385330432.000000
281474976710655.000000	14.775732	3201	3386370560.000000
281474976710655.000000	14.689610	3202	3387413760.000000
281474976710655.000000	15.478486	3203	3388455680.000000
281474976710655.000000	15.149338	3204	3389498624.000000
281474976710655.000000	14.828933	3205	3390539008.000000
281474976710655.000000	15.268114	3206	3391582208.000000
281474976710655.000000	15.508296	3207	3392624896.000000
281474976710655.000000	15.093347	3208	3393665792.000000
281474976710655.000000	15.756448	3209	3394708480.000000
281474976710655.000000	15.352847	3210	3395749632.000000
281474976710655.000000	15.446115	3211	3396791552.000000
281474976710655.000000	16.156319	3212	3397834496.000000
281474976710655.000000	15.632590	3213	3398874880.000000
281474976710655.000000	15.912841	3214	3399918336.000000
281474976710655.000000	15.461864	3215	3400960256.000000
281474976710655.000000	16.414324	3216	3402003712.000000
281474976710655.000000	15.941686	3217	3403042816.000000
281474976710655.000000	16.369810	3218	3404087040.000000
281474976710655.000000	16.061085	3219	3405126144.000000
281474976710655.000000	16.662956	3220	3406172672.000000
281474976710655.000000	16.734278	3221	3407209984.000000
281474976710655.000000	17.679371	3222	3408257792.000000
281474976710655.000000	16.678703	3223	3409293568.000000
281474976710655.000000	17.000937	3224	3410342400.000000
281474976710655.000000	16.905964	3225	3411375616.000000
281474976710655.000000	16.772444	3226	3412427264.000000
281474976710655.000000	17.255993	3227	3413458432.000000
281474976710655.000000	17.603668	3228	3414511872.000000
281474976710655.000000	17.067696	3229	3415540736.000000
281474976710655.000000	18.333155	3230	3416598528.000000
281474976710655.000000	16.951891	3231	3417623552.000000
281474976710655.000000	17.222794	3232	3418683648.000000
281474976710655.000000	17.661858	3233	3419706880.000000
281474976710655.000000	17.844568	3234	3420768000.000000
281474976710655.000000	18.206455	3235	3421789184.000000
281474976710655.000000	18.409365	3236	3422853120.000000
281474976710655.000000	17.695652	3237	3423872768.000000
281474976710655.000000	18.144520	3238	3424937728.000000
281474976710655.000000	18.130461	3239	3425956096.000000
281474976710655.000000	17.448807	3240	3427022336.000000
281474976710655.000000	18.258806	3241	3428039680.000000
281474976710655.000000	18.511818	3242	3429105664.000000
281474976710655.000000	18.610201	3243	3430124032.000000
281474976710655.000000	18.034048	3244	3431189248.000000
281474976710655.000000	18.916273	3245	3432207104.000000
281474976710655.000000	18.932470	3246	3433273344.000000
281474976710655.000000	19.100761	3247	3434291968.000000
281474976710655.000000	18.133877	3248	3435357440.000000
281474976710655.000000	19.050968	3249	3436375552.000000
281474976710655.000000	19.283022	3250	3437441536.000000
281474976710655.000000	19.182661	3251	3438459648.000000
