crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	6.394754	1934	0.000000
281474976710655.000000	6.729144	1935	2064600448.000000
281474976710655.000000	7.052900	1936	2065639552.000000
281474976710655.000000	6.705841	1937	2066689152.000000
281474976710655.000000	6.811129	1938	2067726720.000000
281474976710655.000000	7.312695	1939	2068772096.000000
281474976710655.000000	6.777553	1940	2069812992.000000
281474976710655.000000	7.033053	1941	2070862208.000000
281474976710655.000000	7.522916	1942	2071899264.000000
281474976710655.000000	7.162084	1943	2072946816.000000
281474976710655.000000	6.976649	1944	2073982208.000000
281474976710655.000000	7.460384	1945	2075035776.000000
281474976710655.000000	7.553149	1946	2076067968.000000
281474976710655.000000	7.724207	1947	2077122176.000000
281474976710655.000000	7.746109	1948	2078151936.000000
281474976710655.000000	7.821891	1949	2079207552.000000
281474976710655.000000	7.654151	1950	2080236288.000000
281474976710655.000000	7.623332	1951	2081297792.000000
281474976710655.000000	7.903370	1952	2082321152.000000
281474976710655.000000	8.246081	1953	2083384704.000000
281474976710655.000000	8.347231	1954	2084402560.000000
281474976710655.000000	8.357857	1955	2085472000.000000
281474976710655.000000	8.437391	1956	2086486656.000000
281474976710655.000000	7.947768	1957	2087559680.000000
281474976710655.000000	8.383623	1958	2088573696.000000
281474976710655.000000	8.499871	1959	2089645312.000000
281474976710655.000000	8.686958	1960	2090657920.000000
281474976710655.000000	9.019257	1961	2091731200.000000
281474976710655.000000	8.996713	1962	2092742784.000000
281474976710655.000000	8.803453	1963	2093816448.000000
281474976710655.000000	8.859723	1964	2094827776.000000
281474976710655.000000	9.192666	1965	2095902080.000000
281474976710655.000000	9.205153	1966	2096913280.000000
281474976710655.000000	9.502664	1967	2097988352.000000
281474976710655.000000	9.471253	1968	2098998144.000000
281474976710655.000000	9.435527	1969	2100072576.000000
281474976710655.000000	9.387820	1970	2101083008.000000
281474976710655.000000	9.490996	1971	2102160384.000000
281474976710655.000000	9.889206	1972	2103170560.000000
281474976710655.000000	9.511974	1973	2104244096.000000
281474976710655.000000	9.858304	1974	2105253632.000000
281474976710655.000000	10.098157	1975	2106327296.000000
281474976710655.000000	10.085444	1976	2107340544.000000
281474976710655.000000	10.015702	1977	2108413440.000000
281474976710655.000000	9.961439	1978	2109427200.000000
281474976710655.000000	10.177966	1979	2110497920.000000
281474976710655.000000	10.325185	1980	2111513088.000000
281474976710655.000000	10.581758	1981	2112581504.000000
281474976710655.000000	10.517310	1982	2113598464.000000
281474976710655.000000	10.721714	1983	2114664576.000000
281474976710655.000000	10.469688	1984	2115684352.000000
281474976710655.000000	10.726756	1985	2116749440.000000
281474976710655.000000	10.713292	1986	2117771648.000000
281474976710655.000000	11.043136	1987	2118832384.000000
281474976710655.000000	11.043775	1988	2119858304.000000
281474976710655.000000	11.011660	1989	2120915584.000000
281474976710655.000000	11.305488	1990	2121944704.000000
281474976710655.000000	11.228240	1991	2122999040.000000
281474976710655.000000	10.990939	1992	2124031232.000000
281474976710655.000000	11.436513	1993	2125084032.000000
281474976710655.000000	11.630362	1994	2126118272.000000
281474976710655.000000	11.402040	1995	2127166720.000000
281474976710655.000000	11.104767	1996	2128202368.000000
281474976710655.000000	11.916195	1997	2129250304.000000
281474976710655.000000	11.875303	1998	2130288000.000000
281474976710655.000000	11.654671	1999	2131336064.000000
281474976710655.000000	11.436317	2000	2132374400.000000
281474976710655.000000	11.944358	2001	2133418624.000000
281474976710655.000000	12.437551	2002	2134459648.000000
281474976710655.000000	12.400492	2003	2135503488.000000
281474976710655.000000	12.273913	2004	2136543232.000000
281474976710655.000000	12.698561	2005	2137588608.000000
281474976710655.000000	12.045314	2006	2138628352.000000
281474976710655.000000	12.627896	2007	2139672832.000000
281474976710655.000000	12.803423	2008	2140712448.000000
281474976710655.000000	12.677274	2009	2141757312.000000
281474976710655.000000	12.319487	2010	2142798464.000000
281474976710655.000000	13.266223	2011	2143842560.000000
281474976710655.000000	13.148929	2012	2144882432.000000
281474976710655.000000	12.320347	2013	2145927808.000000
281474976710655.000000	12.817198	2014	2146967168.000000
281474976710655.000000	13.760545	2015	2148011776.000000
281474976710655.000000	13.360827	2016	2149050368.000000
281474976710655.000000	13.005670	2017	2150097408.000000
281474976710655.000000	12.781903	2018	2151134208.000000
281474976710655.000000	13.611043	2019	2152183040.000000
281474976710655.000000	12.843081	2020	2153218560.000000
281474976710655.000000	13.477260	2021	2154267904.000000
281474976710655.000000	13.801755	2022	2155301632.000000
281474976710655.000000	13.618299	2023	2156354560.000000
281474976710655.000000	13.791870	2024	2157386240.000000
281474976710655.000000	13.812113	2025	2158439424.000000
281474976710655.000000	13.752280	2026	2159468544.000000
281474976710655.000000	13.529207	2027	2160524544.000000
281474976710655.000000	13.953813	2028	2161552640.000000
281474976710655.000000	13.247212	2029	2162610176.000000
281474976710655.000000	14.450515	2030	2163634944.000000
