num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1933	2061.249052	32.175009	-0.689986	0.456738	7.297367
1935	2063.330915	32.084622	-0.692136	0.456153	6.400429
1937	2065.412700	32.479319	-0.715146	0.451121	6.823736
1939	2067.499411	32.353797	1.343400	0.442649	6.815544
1941	2069.585618	32.778150	1.117549	0.441476	7.131301
1943	2071.671968	33.372234	-0.741859	0.450314	7.136320
1945	2073.755282	34.610243	-0.814307	0.453208	7.687181
1947	2075.840731	34.325853	-0.749548	0.449214	7.801394
1949	2077.924900	34.085097	1.779817	0.442276	7.750692
1951	2080.009203	35.864308	-0.806401	0.453564	7.711534
1953	2082.093934	35.258962	-0.811960	0.455513	7.479578
1955	2084.175772	36.907956	-3.473842	0.482028	8.717074
1957	2086.259609	36.080317	-0.887453	0.452753	8.717088
1959	2088.346384	36.231582	1.799404	0.438630	7.569062
1961	2090.430837	36.657031	-0.910797	0.453234	8.994297
1963	2092.515626	36.661650	1.503612	0.437771	9.684620
1965	2094.600516	37.630871	2.290910	0.439480	9.028011
1967	2096.686095	37.716872	1.935451	0.438000	8.820278
1969	2098.770941	37.706325	2.085979	0.437114	9.781146
1971	2100.855755	38.063286	2.052897	0.435392	9.475533
1973	2102.943142	38.795406	1.880384	0.433561	10.097069
1975	2105.026604	39.594765	-0.945376	0.454632	9.742067
1977	2107.113193	39.576389	-0.872479	0.453810	10.088669
1979	2109.199909	39.638403	-0.999558	0.451294	10.207597
1981	2111.285760	40.899997	-0.975410	0.453810	10.031002
1983	2113.371319	41.443396	-3.866181	0.479279	10.461936
1985	2115.457063	42.005999	-0.972164	0.453317	11.023474
1987	2117.544248	43.219899	-2.634954	0.470243	10.801068
1989	2119.630930	41.942384	-1.040066	0.450957	10.809165
1991	2121.717392	41.535612	-1.041342	0.455548	10.852108
1993	2123.803936	42.173723	-0.982745	0.451704	11.588414
1995	2125.890804	41.954051	2.155534	0.445712	11.361994
1997	2127.975312	42.556627	2.473587	0.443622	11.335417
1999	2130.060857	43.040600	-1.126849	0.449649	11.552016
2001	2132.147045	42.913249	2.068891	0.442036	11.400706
2003	2134.232463	43.818778	2.133845	0.439193	11.561338
2005	2136.316204	43.684762	-1.104891	0.450058	12.392609
2007	2138.401174	43.682837	2.302456	0.442797	12.491179
2009	2140.485376	44.240861	1.971179	0.443669	12.739714
2011	2142.571179	45.706212	-1.192382	0.454249	12.503463
2013	2144.655315	44.851157	-0.510188	0.440516	12.961790
2015	2146.739912	45.805786	2.154664	0.445752	12.875313
2017	2148.823650	46.300737	-1.234080	0.453245	13.882984
2019	2150.907288	45.701021	-1.109053	0.450122	12.884480
2021	2152.991609	45.785988	-1.202904	0.450027	13.553796
2023	2155.074731	47.193126	-1.312056	0.447982	13.004433
2025	2157.159082	46.464327	-0.665085	0.444056	13.535890
2027	2159.241610	46.323467	2.552216	0.446407	13.596263
2029	2161.325598	47.344487	2.589893	0.442826	13.833148
2031	2163.408153	47.174705	3.415730	0.445213	13.432128
2033	2165.492806	47.406054	2.432281	0.437805	13.958778
2035	2167.574972	47.563068	-1.235945	0.458045	14.646987
2037	2169.659157	48.216292	-4.480822	0.473753	14.508370
2039	2171.742823	47.724192	3.000637	0.432811	14.450923
2041	2173.827527	47.952750	-1.437778	0.449962	15.052367
2043	2175.911638	48.279945	3.060481	0.434731	15.107785
2045	2177.994893	48.576357	-1.318672	0.457733	15.448669
2047	2180.080028	48.790572	-1.309285	0.457217	14.967418
2049	2182.163968	49.018800	-1.321371	0.451289	15.245845
2051	2184.248216	49.043850	2.912167	0.432878	15.125942
2053	2186.332892	49.381655	-1.373635	0.456882	15.101617
2055	2188.417984	49.571455	-1.348209	0.451012	15.954409
2057	2190.502223	50.230725	-1.578313	0.443284	16.013872
2059	2192.587150	50.179124	-1.402253	0.450125	15.886097
2061	2194.672744	50.131213	2.565323	0.440476	15.755448
2063	2196.756171	50.042582	2.560448	0.443421	17.162571
2065	2198.838946	50.229294	2.587185	0.443144	15.954585
2067	2200.923248	49.806046	2.575656	0.443283	15.917070
2069	2203.008534	49.712925	2.558079	0.444725	16.433925
2071	2205.090232	49.555722	-1.472403	0.454676	16.508224
2073	2207.174059	49.470308	-1.494927	0.454225	15.093397
2075	2209.258505	49.339839	-1.513242	0.454147	15.601803
2077	2211.341665	49.354331	-1.535919	0.453761	16.214176
2079	2213.423849	49.241948	-1.553627	0.453522	15.879113
2081	2215.506950	49.175274	-1.567909	0.452980	15.087274
2083	2217.590319	49.142976	-1.591473	0.452613	14.682513
2085	2219.673004	39.968109	0.906294	0.379164	15.570780
2087	2222.581444	33.944860	5.744159	0.441605	7.718498
