time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
2064.607928	38.498730	0.024243	1.588051	143
2065.645310	40.879623	0.024259	1.685101	144
2066.695214	39.391434	0.024233	1.625544	145
2067.733109	38.929123	0.024215	1.607658	146
2068.777659	41.069210	0.024251	1.693481	147
2069.819369	40.395466	0.024173	1.671096	148
2070.867694	38.445812	0.024219	1.587456	149
2071.905225	39.957855	0.024218	1.649912	150
2072.953135	40.233162	0.024203	1.662325	151
2073.989193	41.624233	0.024238	1.717285	152
2075.043242	38.626080	0.024157	1.598993	153
2076.073514	41.579929	0.024254	1.714344	154
2077.128693	40.281288	0.024189	1.665279	155
2078.157147	41.545959	0.024180	1.718201	156
2079.213351	42.026196	0.024238	1.733913	157
2080.243806	43.274506	0.024150	1.791895	158
2081.303453	39.286930	0.024195	1.623774	159
2082.328303	42.156677	0.024201	1.741914	160
2083.390997	36.542988	0.024152	1.513059	161
2084.408867	43.346573	0.024186	1.792181	162
2085.479053	41.187508	0.024204	1.701657	163
2086.492181	43.070610	0.024216	1.778568	164
2087.565781	39.527298	0.024147	1.636946	165
2088.579822	43.854416	0.024186	1.813212	166
2089.650631	37.551510	0.024191	1.552297	167
2090.663823	42.347176	0.024110	1.756409	168
2091.737947	40.924065	0.024176	1.692729	169
2092.748315	44.764534	0.024226	1.847764	170
2093.822861	40.707748	0.024222	1.680638	171
2094.833867	44.654865	0.024184	1.846452	172
2095.910353	40.566093	0.024190	1.676953	173
2096.920547	44.064449	0.024162	1.823707	174
2097.994368	40.210217	0.024195	1.661956	175
2099.004321	43.651852	0.024177	1.805520	176
2100.078448	41.760880	0.024206	1.725210	177
2101.088421	42.757488	0.024130	1.771952	178
2102.166513	40.282001	0.024189	1.665323	179
2103.176537	43.690052	0.024187	1.806322	180
2104.250279	38.491348	0.024130	1.595196	181
2105.259038	44.555744	0.024162	1.844010	182
2106.332287	42.234985	0.024213	1.744329	183
2107.346703	44.743950	0.024178	1.850637	184
2108.420158	40.850407	0.024227	1.686158	185
2109.432956	44.180103	0.024208	1.825047	186
2110.504391	41.079720	0.024163	1.700133	187
2111.518226	44.185383	0.024210	1.825054	188
2112.587360	41.696426	0.024208	1.722407	189
2113.604678	44.099518	0.024170	1.824586	190
2114.670755	42.339214	0.024183	1.750784	191
2115.690978	44.567745	0.024221	1.840042	192
2116.755584	38.293610	0.024179	1.583724	193
2117.777738	42.889297	0.024174	1.774157	194
2118.838012	42.206001	0.024222	1.742437	195
2119.863822	43.336071	0.024174	1.792679	196
2120.921979	42.448490	0.024164	1.756667	197
2121.951613	42.652130	0.024204	1.762204	198
2123.006062	42.256969	0.024194	1.746596	199
2124.037449	41.969650	0.024123	1.739784	200
2125.089704	41.748718	0.024207	1.724687	201
2126.124010	41.918114	0.024213	1.731231	202
2127.171534	43.281628	0.024153	1.791987	203
2128.208025	42.272919	0.024214	1.745827	204
2129.257970	40.157291	0.024191	1.660017	205
2130.293913	40.287033	0.024193	1.665269	206
2131.342421	41.621426	0.024114	1.726061	207
2132.380736	40.742561	0.024168	1.685826	208
2133.424771	42.222588	0.024170	1.746892	209
2134.465652	41.770603	0.024200	1.726068	210
2135.508845	42.510807	0.024179	1.758182	211
2136.549761	41.444572	0.024158	1.715597	212
2137.594319	39.418774	0.024210	1.628177	213
2138.634228	41.312237	0.024192	1.707668	214
2139.678759	41.785969	0.024197	1.726925	215
2140.718575	40.878105	0.024120	1.694789	216
2141.762997	42.280994	0.024156	1.750328	217
