time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
4123.751787	37.581017	0.024267	1.548649	47
4124.753300	40.802670	0.024242	1.683165	48
4125.835208	39.256462	0.024288	1.616278	49
4126.842804	42.188408	0.024234	1.740865	50
4127.917864	40.039223	0.024249	1.651184	51
4128.926614	45.757160	0.024238	1.887817	52
4129.999868	38.391644	0.024199	1.586478	53
4131.007847	43.766823	0.024259	1.804169	54
4132.088864	40.713367	0.024218	1.681150	55
4133.099476	44.120037	0.024266	1.818165	56
4134.172483	43.519894	0.024265	1.793499	57
4135.179892	61.594234	0.024212	2.543963	58
4136.256218	41.736313	0.024149	1.728298	59
4137.272679	46.565758	0.024211	1.923343	60
4138.337478	42.593678	0.024229	1.757958	61
4139.353972	45.597664	0.024144	1.888597	62
4140.424826	44.757305	0.024178	1.851144	63
4141.442844	47.870689	0.024208	1.977434	64
4142.505677	46.028385	0.024209	1.901275	65
4143.529182	48.989830	0.024246	2.020530	66
4144.591822	45.917667	0.024206	1.896941	67
4145.614325	48.597889	0.024237	2.005150	68
4146.672318	46.053432	0.024215	1.901893	69
4147.700988	49.058838	0.024318	2.017365	70
4148.760075	49.288181	0.024213	2.035641	71
4149.787677	50.251934	0.024224	2.074503	72
4150.841829	48.824612	0.024228	2.015200	73
4151.876420	49.984425	0.024236	2.062441	74
4152.925938	49.391533	0.024237	2.037871	75
4153.958261	49.642143	0.024211	2.050437	76
4155.008970	50.281380	0.024190	2.078640	77
4156.045860	51.459888	0.024197	2.126672	78
4157.094042	51.121971	0.024200	2.112484	79
4158.131940	50.644672	0.024183	2.094200	80
4159.178884	49.996960	0.024194	2.066542	81
4160.217815	51.740402	0.024196	2.138414	82
4161.263458	51.826576	0.024201	2.141505	83
4162.300853	52.117409	0.024177	2.155649	84
4163.347459	53.365322	0.024164	2.208487	85
4164.385891	53.041111	0.024235	2.188656	86
4165.431611	53.783836	0.024240	2.218847	87
4166.469587	53.343788	0.024191	2.205070	88
4167.516357	54.485897	0.024220	2.249659	89
4168.555792	53.078403	0.024190	2.194244	90
4169.603467	54.505604	0.024222	2.250245	91
4170.640363	54.636383	0.024212	2.256557	92
4171.687675	54.726543	0.024184	2.262919	93
4172.724542	54.397095	0.024298	2.238746	94
4173.771968	55.093513	0.024146	2.281671	95
4174.808727	54.830299	0.024132	2.272054	96
4175.858108	55.204788	0.024171	2.283939	97
4176.893618	55.483723	0.024169	2.295702	98
4177.943946	56.773979	0.024267	2.339510	99
4178.977333	63.335751	0.024132	2.624505	100
4180.027899	56.722622	0.024211	2.342884	101
4181.061309	56.902168	0.024194	2.351933	102
4182.115495	56.331123	0.024192	2.328499	103
4183.144108	55.880093	0.024173	2.311666	104
4184.199899	57.220432	0.024218	2.362744	105
4185.229281	58.213444	0.024223	2.403186	106
4186.285383	57.280884	0.024165	2.370393	107
4187.311471	59.173035	0.024212	2.443992	108
4188.370727	57.156296	0.024171	2.364685	109
4189.395537	58.752495	0.024157	2.432062	110
4190.456269	57.357105	0.024193	2.370856	111
4191.478823	58.568684	0.024169	2.423254	112
4192.543159	57.837254	0.024212	2.388749	113
4193.563565	60.112129	0.024208	2.483125	114
4194.626571	57.560364	0.024164	2.382053	115
4195.648117	59.332047	0.024157	2.456095	116
4196.711033	57.498337	0.024168	2.379102	117
4197.733897	59.322906	0.024168	2.454612	118
4198.796188	58.154816	0.024157	2.407392	119
4199.816868	59.957058	0.024154	2.482318	120
4200.881416	57.750610	0.024209	2.385538	121
4201.900661	60.274414	0.024171	2.493671	122
4202.965527	58.542530	0.024180	2.421087	123
4203.984420	60.302311	0.024170	2.494944	124
4205.040512	60.232693	0.024159	2.493168	125
4206.070279	59.989628	0.024182	2.480758	126
4207.135192	58.439568	0.024128	2.422054	127
4208.154146	60.713367	0.024156	2.513370	128
4209.217707	59.521069	0.024174	2.462243	129
4210.238261	61.231956	0.024198	2.530431	130
4211.303757	58.636662	0.024177	2.425332	131
4212.324614	59.090725	0.024201	2.441626	132
4213.387716	59.844406	0.024157	2.477315	133
4214.409126	60.570282	0.024163	2.506733	134
4215.469730	60.143841	0.024199	2.485355	135
4216.494807	60.136810	0.024149	2.490215	136
4217.554436	59.570923	0.024183	2.463367	137
4218.580217	59.013927	0.024198	2.438754	138
4219.636544	59.453316	0.024156	2.461265	139
4220.665613	59.697514	0.024207	2.466095	140
4221.721900	58.695496	0.024170	2.428399	141
4222.752431	58.533741	0.024148	2.423923	142
4223.804207	59.672432	0.024155	2.470402	143
4224.835453	58.774303	0.024160	2.432711	144
4225.888568	59.270313	0.024210	2.448143	145
4226.921301	59.022861	0.024214	2.437520	146
4227.972022	59.441753	0.024136	2.462756	147
4229.006901	58.629383	0.024164	2.426354	148
4230.056680	58.672752	0.024141	2.430413	149
4231.090177	58.905113	0.024134	2.440787	150
4232.140973	58.850212	0.024122	2.439641	151
4233.174879	58.694702	0.024149	2.430493	152
4234.225109	58.947376	0.024150	2.440860	153
4235.260617	57.931564	0.024192	2.394620	154
4236.308093	58.946827	0.024107	2.445220	155
4237.344326	57.911285	0.024148	2.398222	156
4238.391940	59.259243	0.024185	2.450198	157
4239.428898	57.559994	0.024121	2.386282	158
4240.475260	59.395023	0.024164	2.457947	159
4241.512477	57.865746	0.024195	2.391666	160
4242.559208	58.542301	0.024199	2.419223	161
4243.598969	56.537289	0.024162	2.339903	162
4244.644185	58.764931	0.024203	2.428001	163
4245.681791	57.729958	0.024194	2.386091	164
4246.727653	58.712105	0.024201	2.426037	165
4247.765866	57.373043	0.024207	2.370149	166
4248.814741	57.863411	0.024198	2.391227	167
4249.851092	56.921505	0.024153	2.356674	168
4250.896926	59.314613	0.024193	2.451741	169
4251.933725	57.388470	0.024185	2.372886	170
4252.981094	56.350864	0.024156	2.332833	171
4254.017772	56.674576	0.024203	2.341629	172
