num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3883	4118.333757	30.590167	-4.225856	0.525475	6.319331
3885	4120.415285	30.530324	-4.232997	0.524932	6.746512
3887	4122.496912	30.490826	-4.252762	0.525732	7.489198
3889	4124.575878	31.635364	-0.776604	0.523573	5.029540
3891	4126.665970	31.065660	-4.126101	0.520200	7.252718
3893	4128.750567	31.075992	-1.700864	0.501931	6.470564
3895	4130.833037	31.442512	-4.320540	0.526807	7.307814
3897	4132.923033	32.303186	-4.001397	0.530474	6.222488
3899	4135.004443	33.029899	-0.857395	0.530720	7.979502
3901	4137.096190	33.283738	5.238350	0.547281	8.125108
3903	4139.178502	33.013542	-4.149422	0.530662	8.544543
3905	4141.267374	32.737367	5.210019	0.573328	8.240388
3907	4143.353277	34.277159	-3.789524	0.529042	8.626273
3909	4145.439566	34.891135	-2.079743	0.544408	10.021583
3911	4147.525824	34.124711	4.796859	0.589406	9.352050
3913	4149.612564	34.888793	-3.936327	0.531560	9.464865
3915	4151.700760	34.761663	4.930735	0.594515	8.998109
3917	4153.783723	37.445759	-3.621455	0.556228	10.038682
3919	4155.870354	36.428324	-3.672788	0.532968	9.396807
3921	4157.956049	36.524186	4.803448	0.597903	9.711333
3923	4160.041596	37.574801	-3.462911	0.534126	9.618521
3925	4162.125335	38.005674	-3.153394	0.528272	10.339138
3927	4164.210884	37.635082	5.072301	0.605804	10.674763
3929	4166.296069	37.662774	5.065398	0.608204	10.847484
3931	4168.380671	38.251883	5.013627	0.612805	11.652699
3933	4170.466035	39.679430	-3.338005	0.535765	11.080187
3935	4172.549687	39.514114	-2.843219	0.543588	11.418057
3937	4174.634344	41.634883	-3.355014	0.565672	11.342864
3939	4176.718319	40.616927	-3.305641	0.557461	11.795670
3941	4178.801947	40.807472	4.936491	0.593772	12.342731
3943	4180.885647	40.434034	4.551023	0.604212	12.352625
3945	4182.968751	42.046781	-3.352719	0.530955	13.115149
3947	4185.054362	42.499134	-3.372741	0.531299	13.075511
3949	4187.136680	42.850175	-3.291591	0.532895	13.368602
3951	4189.220213	43.387972	-3.345790	0.532162	14.629714
3953	4191.304460	45.425455	-3.218877	0.572224	14.151243
3955	4193.388811	43.797527	-3.273639	0.532939	14.228466
3957	4195.473374	44.596440	-3.028573	0.543287	14.711962
3959	4197.556476	44.644290	-3.273420	0.532131	14.678874
3961	4199.641174	44.757499	4.355477	0.605730	14.836450
3963	4201.725985	45.761778	-2.973242	0.543512	15.302678
3965	4203.809381	45.622903	-3.240766	0.531085	15.186024
3967	4205.894995	46.524641	-2.947191	0.543792	15.503942
3969	4207.979730	47.531345	-3.327397	0.570005	16.029939
3971	4210.063561	46.850104	-2.086675	0.577537	16.150234
3973	4212.148537	50.261832	-3.260247	0.572037	16.291748
3975	4214.233647	47.651960	-3.170035	0.530044	16.145560
3977	4216.318824	49.580062	-3.157923	0.575923	16.632748
3979	4218.405043	47.704573	-2.593772	0.552754	17.092033
3981	4220.489854	49.171985	-2.839754	0.541985	17.249316
3983	4222.575730	49.612757	-2.945013	0.574723	16.949969
3985	4224.660227	49.661559	-3.123093	0.525408	18.442129
3987	4226.745336	50.364364	-2.793945	0.541460	18.493239
3989	4228.830449	50.491024	-2.950680	0.573034	17.773900
3991	4230.915400	50.195233	-2.982585	0.564616	18.459503
3993	4232.999855	51.333958	-2.777876	0.538660	18.688912
3995	4235.085742	50.904380	-2.959238	0.559188	18.012529
3997	4237.170439	50.771418	4.504012	0.613588	18.722331
3999	4239.253973	52.159980	-2.986314	0.522588	17.945606
4001	4241.337834	51.431889	4.243364	0.615948	19.513030
4003	4243.422999	51.951245	4.245005	0.615250	19.655242
4005	4245.507129	53.183459	-2.962612	0.521297	18.160521
4007	4247.591073	52.453275	4.358640	0.614431	19.435272
4009	4249.675432	53.908489	-2.893127	0.521433	19.711255
4011	4251.759142	54.166230	-2.937754	0.519877	20.140701
