crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	7.110055	3885	0.000000
281474976710655.000000	7.149876	3886	0.000000
281474976710655.000000	5.884540	3887	4123744768.000000
281474976710655.000000	5.966408	3888	4124744704.000000
281474976710655.000000	7.007524	3889	4125828352.000000
281474976710655.000000	6.905413	3890	4126835456.000000
281474976710655.000000	6.832838	3891	4127911680.000000
281474976710655.000000	6.614742	3892	4128919808.000000
281474976710655.000000	6.945269	3893	4129992704.000000
281474976710655.000000	7.481777	3894	4131002112.000000
281474976710655.000000	6.766737	3895	4132081920.000000
281474976710655.000000	6.800179	3896	4133092608.000000
281474976710655.000000	7.618470	3897	4134166784.000000
281474976710655.000000	7.433922	3898	4135173376.000000
281474976710655.000000	8.144550	3899	4136250112.000000
281474976710655.000000	8.245710	3900	4137265920.000000
281474976710655.000000	7.722557	3901	4138330368.000000
281474976710655.000000	7.526338	3902	4139347456.000000
281474976710655.000000	8.002539	3903	4140418816.000000
281474976710655.000000	8.107333	3904	4141436928.000000
281474976710655.000000	8.111629	3905	4142500096.000000
281474976710655.000000	8.055252	3906	4143522560.000000
281474976710655.000000	9.338969	3907	4144585728.000000
281474976710655.000000	9.275811	3908	4145608704.000000
281474976710655.000000	8.465196	3909	4146666240.000000
281474976710655.000000	8.408061	3910	4147695104.000000
281474976710655.000000	9.326084	3911	4148752896.000000
281474976710655.000000	8.811040	3912	4149781760.000000
281474976710655.000000	9.059586	3913	4150835968.000000
281474976710655.000000	9.218464	3914	4151870208.000000
281474976710655.000000	9.918179	3915	4152920064.000000
281474976710655.000000	9.576554	3916	4153952768.000000
281474976710655.000000	9.365216	3917	4155003392.000000
281474976710655.000000	9.261626	3918	4156039680.000000
281474976710655.000000	9.790945	3919	4157088000.000000
281474976710655.000000	9.402585	3920	4158125312.000000
281474976710655.000000	9.852073	3921	4159171840.000000
281474976710655.000000	10.322314	3922	4160210688.000000
281474976710655.000000	10.230663	3923	4161257216.000000
281474976710655.000000	10.053815	3924	4162294272.000000
281474976710655.000000	10.379346	3925	4163341568.000000
281474976710655.000000	10.295527	3926	4164380160.000000
281474976710655.000000	10.432144	3927	4165426176.000000
281474976710655.000000	10.475041	3928	4166465280.000000
281474976710655.000000	11.502134	3929	4167510784.000000
281474976710655.000000	10.984772	3930	4168549888.000000
281474976710655.000000	10.968397	3931	4169596672.000000
281474976710655.000000	10.867395	3932	4170635264.000000
281474976710655.000000	11.426392	3933	4171681536.000000
281474976710655.000000	11.013648	3934	4172718592.000000
281474976710655.000000	11.517402	3935	4173766144.000000
281474976710655.000000	11.759771	3936	4174803456.000000
281474976710655.000000	11.733246	3937	4175851520.000000
281474976710655.000000	11.627320	3938	4176887296.000000
281474976710655.000000	11.750814	3939	4177938176.000000
281474976710655.000000	12.084298	3940	4178970880.000000
281474976710655.000000	12.725826	3941	4180022016.000000
281474976710655.000000	11.967259	3942	4181054720.000000
281474976710655.000000	12.503811	3943	4182108416.000000
281474976710655.000000	12.796103	3944	4183137792.000000
281474976710655.000000	12.786622	3945	4184193280.000000
281474976710655.000000	12.560560	3946	4185223680.000000
281474976710655.000000	13.167440	3947	4186279936.000000
281474976710655.000000	13.527217	3948	4187305728.000000
281474976710655.000000	14.281501	3949	4188365312.000000
281474976710655.000000	13.646090	3950	4189389056.000000
281474976710655.000000	13.312983	3951	4190450176.000000
281474976710655.000000	13.612141	3952	4191473408.000000
281474976710655.000000	14.311973	3953	4192535552.000000
281474976710655.000000	13.573268	3954	4193557760.000000
281474976710655.000000	14.790842	3955	4194620928.000000
281474976710655.000000	13.854601	3956	4195642624.000000
281474976710655.000000	14.366385	3957	4196705280.000000
281474976710655.000000	14.314018	3958	4197725440.000000
281474976710655.000000	15.060238	3959	4198790656.000000
281474976710655.000000	14.934080	3960	4199810304.000000
281474976710655.000000	15.306602	3961	4200874752.000000
281474976710655.000000	14.909225	3962	4201895168.000000
281474976710655.000000	15.237330	3963	4202959616.000000
281474976710655.000000	15.235054	3964	4203978240.000000
281474976710655.000000	15.778093	3965	4205044224.000000
281474976710655.000000	15.447578	3966	4206064128.000000
281474976710655.000000	15.697807	3967	4207129088.000000
281474976710655.000000	15.519994	3968	4208148992.000000
281474976710655.000000	16.269279	3969	4209211648.000000
281474976710655.000000	16.194263	3970	4210232576.000000
281474976710655.000000	16.349298	3971	4211297280.000000
281474976710655.000000	15.955875	3972	4212317696.000000
281474976710655.000000	16.191151	3973	4213380352.000000
281474976710655.000000	16.156450	3974	4214402816.000000
281474976710655.000000	16.453211	3975	4215463680.000000
281474976710655.000000	17.079058	3976	4216487936.000000
281474976710655.000000	17.423151	3977	4217548288.000000
281474976710655.000000	16.549330	3978	4218574336.000000
281474976710655.000000	17.624947	3979	4219631104.000000
281474976710655.000000	16.799883	3980	4220658944.000000
281474976710655.000000	17.119692	3981	4221714944.000000
281474976710655.000000	16.381817	3982	4222744832.000000
281474976710655.000000	18.144127	3983	4223798784.000000
281474976710655.000000	17.192839	3984	4224829440.000000
281474976710655.000000	18.164328	3985	4225882624.000000
281474976710655.000000	17.573709	3986	4226914560.000000
281474976710655.000000	17.433313	3987	4227966208.000000
281474976710655.000000	17.700525	3988	4228999680.000000
281474976710655.000000	18.036423	3989	4230050304.000000
281474976710655.000000	17.824169	3990	4231084544.000000
281474976710655.000000	18.253485	3991	4232133888.000000
281474976710655.000000	18.045801	3992	4233169152.000000
281474976710655.000000	18.270458	3993	4234217728.000000
281474976710655.000000	18.050438	3994	4235255040.000000
281474976710655.000000	18.207863	3995	4236301568.000000
281474976710655.000000	18.376226	3996	4237339648.000000
281474976710655.000000	17.361483	3997	4238385152.000000
281474976710655.000000	17.237476	3998	4239422976.000000
281474976710655.000000	19.295458	3999	4240469248.000000
281474976710655.000000	19.566263	4000	4241506816.000000
281474976710655.000000	19.179686	4001	4242553344.000000
281474976710655.000000	19.236946	4002	4243592192.000000
281474976710655.000000	18.483229	4003	4244637440.000000
281474976710655.000000	18.528181	4004	4245676032.000000
281474976710655.000000	18.707989	4005	4246722048.000000
281474976710655.000000	19.218773	4006	4247760128.000000
281474976710655.000000	20.063707	4007	4248807936.000000
281474976710655.000000	19.353727	4008	4249844736.000000
281474976710655.000000	18.893173	4009	4250890240.000000
281474976710655.000000	19.012609	4010	4251928064.000000
281474976710655.000000	21.032862	4011	4252975104.000000
281474976710655.000000	20.950089	4012	4254012160.000000
