crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	10.050215	5116	0.000000
281474976710655.000000	10.011977	5117	5419072512.000000
281474976710655.000000	8.975424	5118	5420152832.000000
281474976710655.000000	9.119568	5119	5421157888.000000
281474976710655.000000	9.594364	5120	5422234112.000000
281474976710655.000000	10.225809	5121	5423241728.000000
281474976710655.000000	9.192111	5122	5424317440.000000
281474976710655.000000	9.933636	5123	5425324544.000000
281474976710655.000000	9.900073	5124	5426400768.000000
281474976710655.000000	10.411627	5125	5427407872.000000
281474976710655.000000	9.213003	5126	5428484608.000000
281474976710655.000000	10.181072	5127	5429496320.000000
281474976710655.000000	9.869178	5128	5430565376.000000
281474976710655.000000	10.414817	5129	5431578624.000000
281474976710655.000000	10.072570	5130	5432650240.000000
281474976710655.000000	10.425214	5131	5433665536.000000
281474976710655.000000	10.461921	5132	5434727424.000000
281474976710655.000000	10.537518	5133	5435755008.000000
281474976710655.000000	10.946399	5134	5436807680.000000
281474976710655.000000	10.346568	5135	5437841408.000000
281474976710655.000000	11.194047	5136	5438887936.000000
281474976710655.000000	10.413787	5137	5439927808.000000
281474976710655.000000	10.535707	5138	5440971264.000000
281474976710655.000000	11.107433	5139	5442009088.000000
281474976710655.000000	11.112368	5140	5443059200.000000
281474976710655.000000	11.133748	5141	5444086272.000000
281474976710655.000000	10.994752	5142	5445148672.000000
281474976710655.000000	11.067459	5143	5446166016.000000
281474976710655.000000	11.798278	5144	5447237632.000000
281474976710655.000000	12.893540	5145	5448245760.000000
281474976710655.000000	11.041522	5146	5449322496.000000
281474976710655.000000	11.928202	5147	5450330624.000000
281474976710655.000000	12.623245	5148	5451403776.000000
281474976710655.000000	12.184729	5149	5452416512.000000
281474976710655.000000	11.933069	5150	5453484544.000000
281474976710655.000000	12.002048	5151	5454500864.000000
281474976710655.000000	11.953666	5152	5455565312.000000
281474976710655.000000	12.051538	5153	5456589824.000000
281474976710655.000000	12.405252	5154	5457646592.000000
281474976710655.000000	12.073533	5155	5458676224.000000
281474976710655.000000	12.903994	5156	5459728384.000000
281474976710655.000000	12.412280	5157	5460762112.000000
281474976710655.000000	12.276819	5158	5461808640.000000
281474976710655.000000	11.670427	5159	5462846464.000000
281474976710655.000000	12.745172	5160	5463895040.000000
281474976710655.000000	13.133430	5161	5464930816.000000
281474976710655.000000	13.037903	5162	5465978368.000000
281474976710655.000000	13.739497	5163	5467013120.000000
281474976710655.000000	13.994009	5164	5468061696.000000
281474976710655.000000	13.675776	5165	5469095936.000000
281474976710655.000000	14.270025	5166	5470146560.000000
281474976710655.000000	13.104219	5167	5471178752.000000
281474976710655.000000	13.452530	5168	5472232448.000000
281474976710655.000000	13.667983	5169	5473257984.000000
281474976710655.000000	14.034276	5170	5474318336.000000
281474976710655.000000	14.576199	5171	5475339776.000000
281474976710655.000000	14.149928	5172	5476405248.000000
281474976710655.000000	14.656145	5173	5477421056.000000
281474976710655.000000	14.482907	5174	5478492160.000000
281474976710655.000000	14.460249	5175	5479502848.000000
281474976710655.000000	14.877898	5176	5480576000.000000
281474976710655.000000	14.981432	5177	5481586688.000000
281474976710655.000000	14.527789	5178	5482657792.000000
281474976710655.000000	15.280856	5179	5483673600.000000
281474976710655.000000	14.789315	5180	5484738048.000000
281474976710655.000000	14.883506	5181	5485760000.000000
281474976710655.000000	14.941981	5182	5486817280.000000
281474976710655.000000	14.610442	5183	5487849472.000000
281474976710655.000000	15.434538	5184	5488899584.000000
281474976710655.000000	15.744105	5185	5489934336.000000
281474976710655.000000	15.913037	5186	5490980864.000000
281474976710655.000000	15.158733	5187	5492018688.000000
281474976710655.000000	15.920942	5188	5493065216.000000
281474976710655.000000	15.455692	5189	5494100480.000000
281474976710655.000000	15.566543	5190	5495151616.000000
281474976710655.000000	16.233053	5191	5496182272.000000
281474976710655.000000	16.633589	5192	5497236992.000000
281474976710655.000000	16.047350	5193	5498263040.000000
281474976710655.000000	16.488283	5194	5499322368.000000
281474976710655.000000	16.700895	5195	5500346368.000000
281474976710655.000000	16.984838	5196	5501408256.000000
281474976710655.000000	16.623766	5197	5502428672.000000
281474976710655.000000	17.128098	5198	5503492096.000000
281474976710655.000000	16.396700	5199	5504511488.000000
281474976710655.000000	16.744335	5200	5505576448.000000
281474976710655.000000	17.467354	5201	5506595840.000000
281474976710655.000000	17.262932	5202	5507659264.000000
281474976710655.000000	17.883343	5203	5508679680.000000
281474976710655.000000	17.134586	5204	5509742080.000000
281474976710655.000000	17.351166	5205	5510764032.000000
281474976710655.000000	17.976894	5206	5511823872.000000
281474976710655.000000	18.581951	5207	5512849920.000000
281474976710655.000000	17.903269	5208	5513905664.000000
281474976710655.000000	17.537558	5209	5514936320.000000
281474976710655.000000	18.647612	5210	5515987456.000000
281474976710655.000000	17.764065	5211	5517021696.000000
281474976710655.000000	17.689615	5212	5518069248.000000
281474976710655.000000	18.709126	5213	5519107072.000000
281474976710655.000000	18.470261	5214	5520153600.000000
281474976710655.000000	18.961536	5215	5521191424.000000
281474976710655.000000	18.600872	5216	5522237952.000000
281474976710655.000000	18.787537	5217	5523272704.000000
281474976710655.000000	19.853796	5218	5524324864.000000
281474976710655.000000	18.580982	5219	5525352960.000000
281474976710655.000000	19.465225	5220	5526411264.000000
281474976710655.000000	18.941755	5221	5527433728.000000
281474976710655.000000	20.637671	5222	5528497664.000000
281474976710655.000000	19.622534	5223	5529515520.000000
281474976710655.000000	18.428913	5224	5530582528.000000
281474976710655.000000	20.603796	5225	5531597824.000000
281474976710655.000000	20.882021	5226	5532666880.000000
281474976710655.000000	21.099203	5227	5533682688.000000
281474976710655.000000	21.122953	5228	5534748672.000000
281474976710655.000000	20.996088	5229	5535768064.000000
281474976710655.000000	20.579502	5230	5536830976.000000
281474976710655.000000	20.860847	5231	5537852928.000000
281474976710655.000000	21.680187	5232	5538913280.000000
281474976710655.000000	21.098923	5233	5539938816.000000
281474976710655.000000	21.559502	5234	5540996096.000000
281474976710655.000000	22.698526	5235	5542023680.000000
281474976710655.000000	22.434595	5236	5543078400.000000
281474976710655.000000	22.323999	5237	5544108032.000000
281474976710655.000000	21.895172	5238	5545162752.000000
281474976710655.000000	21.546461	5239	5546191872.000000
281474976710655.000000	22.953096	5240	5547245568.000000
