num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
5115	5415.871480	38.647555	0.566654	3.775288	10.953056
5117	5417.958036	38.459694	0.548676	3.774839	9.280605
5119	5420.040729	38.914087	0.550454	3.780111	10.387155
5121	5422.122025	39.338482	1.164750	3.768744	9.261961
5123	5424.205268	39.452298	0.447306	3.774017	10.728886
5125	5426.288872	39.744111	0.395939	3.763274	10.233730
5127	5428.372708	40.268214	0.552017	3.779966	10.857543
5129	5430.453479	40.461789	0.577190	3.781383	10.454988
5131	5432.537913	40.645431	0.349768	3.770823	10.591159
5133	5434.615736	40.993820	0.366518	3.771948	10.496887
5135	5436.695737	41.347948	0.362986	3.774822	10.398994
5137	5438.775989	41.300706	4.592398	3.740338	10.439824
5139	5440.858901	41.743315	0.308193	3.776404	10.480968
5141	5442.946702	41.972835	0.238117	3.773985	11.143064
5143	5445.036097	42.677508	0.282280	3.774331	10.883492
5145	5447.124951	42.937496	0.060823	3.767432	11.090933
5147	5449.210483	43.301013	0.097212	3.759434	12.778364
5149	5451.291616	43.842692	0.375550	3.779693	12.107444
5151	5453.372472	43.842625	0.117667	3.769628	12.685933
5153	5455.453240	43.431212	3.903139	3.768544	12.383445
5155	5457.534387	44.722582	0.128070	3.778639	11.786594
5157	5459.616209	44.829673	0.062414	3.773121	12.654414
5159	5461.696693	45.423787	0.095566	3.780447	12.401241
5161	5463.782999	46.100243	1.880020	3.770624	11.490639
5163	5465.866176	45.679765	-0.015365	3.771781	13.338968
5165	5467.949759	46.093199	-0.115026	3.760784	13.309626
5167	5470.034465	46.335272	-0.036196	3.770334	13.495470
5169	5472.120211	46.710306	-0.052763	3.770624	13.229106
5171	5474.206404	46.869141	-0.111560	3.763118	13.737909
5173	5476.292878	47.230614	-0.048679	3.767924	14.320561
5175	5478.379858	47.644116	-0.120795	3.773777	14.547653
5177	5480.464033	48.047201	-0.145206	3.775178	14.267570
5179	5482.545662	48.492231	-0.184799	3.774570	14.818585
5181	5484.625986	48.996427	-0.207402	3.771606	15.060787
5183	5486.705054	49.206080	-0.239405	3.767982	15.149145
5185	5488.787411	49.439591	-0.249415	3.766058	14.823627
5187	5490.868484	49.947389	-0.073597	3.775641	15.616370
5189	5492.952857	50.031660	-0.333090	3.768484	15.403721
5191	5495.039521	50.342822	-0.417311	3.758710	15.162149
5193	5497.124931	50.809366	-0.310552	3.769694	16.017146
5195	5499.210245	51.004678	-0.415090	3.760284	16.433716
5197	5501.296000	51.502552	-0.365757	3.769728	16.513231
5199	5503.379979	52.220502	-0.308158	3.775571	16.978015
5201	5505.464443	52.281078	-0.416921	3.768889	16.789120
5203	5507.547140	53.085358	-0.324128	3.774976	17.884296
5205	5509.630172	53.007563	-0.454611	3.768817	17.706960
5207	5511.711865	53.343614	-0.549654	3.759055	17.306124
5209	5513.793714	53.706113	-0.469058	3.770739	17.843298
5211	5515.875364	54.043759	-0.480769	3.772516	17.329876
5213	5517.957148	54.389840	-0.463687	3.770044	17.874156
5215	5520.041295	54.709519	-0.464519	3.770010	18.645531
5217	5522.125992	55.032419	-0.607801	3.776130	18.836411
5219	5524.212660	56.540913	3.747235	3.762856	18.459990
5221	5526.299367	56.327082	2.469141	3.761070	19.267812
5223	5528.385361	55.886330	-0.652187	3.769809	19.558692
5225	5530.470186	56.326279	-0.643644	3.768578	19.617858
5227	5532.554774	56.640095	-0.660698	3.768738	19.936872
5229	5534.636663	57.329163	-0.546313	3.775068	20.690173
5231	5536.718872	57.531105	-0.719683	3.769078	21.361867
5233	5538.801177	57.657688	-0.854341	3.759856	20.094975
5235	5540.884200	58.037007	-0.855565	3.762063	20.823485
5237	5542.966139	58.394447	-0.868163	3.762717	21.413050
5239	5545.050578	58.792503	-0.930599	3.761836	21.553956
