time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
6309.313541	17.191015	0.014720	1.167854	203
6310.423774	14.825758	0.014679	1.010001	204
6311.391836	17.922379	0.014678	1.221051	205
6312.506121	14.024496	0.014715	0.953107	206
6313.478051	16.612329	0.014755	1.125885	207
6314.590574	14.792545	0.014696	1.006598	208
6315.561989	19.169352	0.014690	1.304957	209
6316.672243	14.647406	0.014756	0.992670	210
6317.648184	17.480316	0.014694	1.189619	211
6318.758375	14.975740	0.014663	1.021322	212
6319.729109	18.520504	0.014655	1.263783	213
6320.841009	15.598022	0.014759	1.056820	214
6321.816579	18.124727	0.014656	1.236718	215
6322.929072	14.378108	0.014704	0.977845	216
6323.904571	18.899212	0.014695	1.286129	217
6325.012637	15.889920	0.014664	1.083594	218
6325.985190	18.589142	0.014695	1.265018	219
6327.096873	14.811471	0.014663	1.010113	220
6328.076354	18.521202	0.014622	1.266670	221
6329.177960	15.801110	0.014690	1.075605	222
6330.159044	19.291677	0.014649	1.316887	223
6331.262003	15.898220	0.014689	1.082328	224
6332.246685	18.441584	0.014683	1.256022	225
6333.338752	15.965969	0.014653	1.089606	226
6334.334515	19.502533	0.014670	1.329428	227
6335.419659	16.370062	0.014691	1.114323	228
6336.426188	18.854933	0.014672	1.285132	229
6337.497079	17.300619	0.014648	1.181087	230
6338.514637	18.852942	0.014659	1.286097	231
6339.580420	16.954243	0.014690	1.154107	232
6340.599988	18.693821	0.014648	1.276200	233
6341.661406	17.638119	0.014640	1.204761	234
6342.687956	18.922058	0.014630	1.293400	235
6343.750117	17.397326	0.014689	1.184393	236
6344.770921	18.831476	0.014649	1.285493	237
6345.832789	17.918194	0.014669	1.221487	238
6346.848209	19.618135	0.014645	1.339624	239
6347.921994	17.283266	0.014690	1.176570	240
6348.932622	19.348038	0.014700	1.316218	241
6350.011183	17.400154	0.014648	1.187896	242
6351.013769	20.272049	0.014688	1.380152	243
6352.097751	17.579803	0.014686	1.197024	244
6353.097134	20.293495	0.014648	1.385379	245
6354.181354	17.276339	0.014644	1.179765	246
6355.177999	20.658852	0.014641	1.410990	247
6356.267201	17.964827	0.014693	1.222687	248
6357.260767	20.450336	0.014644	1.396509	249
6358.356860	18.183886	0.014651	1.241114	250
6359.343689	20.558638	0.014695	1.399021	251
6360.441213	17.102852	0.014654	1.167115	252
6361.432864	20.669567	0.014622	1.413552	253
6362.524635	18.218405	0.014685	1.240631	254
6363.513898	20.923456	0.014650	1.428226	255
6364.607558	17.967760	0.014660	1.225672	0
6365.593213	21.460897	0.014642	1.465731	1
6366.691548	18.252413	0.014649	1.245952	2
6367.685069	21.329271	0.014651	1.455778	3
6368.774080	18.194744	0.014646	1.242321	4
6369.773362	20.121052	0.014637	1.374674	5
6370.854665	18.549971	0.014696	1.262237	6
6371.859217	21.274870	0.014673	1.449911	7
6372.936641	19.221031	0.014669	1.310279	8
6373.949184	20.797222	0.014654	1.419175	9
6375.017702	19.875887	0.014668	1.355055	10
6376.033804	20.938049	0.014615	1.432668	11
6377.099838	19.813738	0.014686	1.349139	12
6378.121227	20.948736	0.014643	1.430650	13
6379.177153	20.456184	0.014729	1.388841	14
6380.208771	20.683622	0.014654	1.411476	15
6381.259268	20.226255	0.014639	1.381631	16
6382.292559	20.507687	0.014639	1.400885	17
6383.349103	20.310404	0.014680	1.383512	18
6384.374701	20.873606	0.014608	1.428881	19
6385.435087	19.794281	0.014683	1.348091	20
6386.454040	21.256378	0.014663	1.449709	21
6387.522308	19.942665	0.014676	1.358905	22
6388.536003	22.119621	0.014646	1.510242	23
6389.608511	19.695515	0.014639	1.345401	24
6390.618176	22.100721	0.014663	1.507283	25
6391.697918	20.311546	0.014635	1.387906	26
6392.703744	21.917896	0.014643	1.496863	27
6393.782439	20.131294	0.014608	1.378145	28
6394.783391	22.250027	0.014652	1.518560	29
6395.869197	19.847515	0.014638	1.355902	30
6396.863150	22.338861	0.014640	1.525836	31
6397.952519	19.873783	0.014636	1.357859	32
6398.947755	22.032047	0.014598	1.509286	33
6400.040122	19.674875	0.014615	1.346229	34
6401.030469	22.705477	0.014687	1.545992	35
6402.122549	19.900688	0.014676	1.356009	36
6403.115979	22.609850	0.014660	1.542312	37
6404.206770	20.360313	0.014669	1.388019	38
6405.198860	22.455275	0.014562	1.541998	39
6406.291926	19.999025	0.014641	1.365986	40
6407.282906	21.876585	0.014681	1.490136	41
6408.376376	20.292948	0.014645	1.385643	42
6409.368484	22.737072	0.014635	1.553594	43
6410.458932	20.356224	0.014661	1.388454	44
6411.455422	22.225636	0.014626	1.519622	45
6412.541975	20.188599	0.014656	1.377465	46
6413.539565	23.187712	0.014669	1.580675	47
6414.622878	20.643827	0.014612	1.412820	48
6415.626567	22.358839	0.014586	1.532850	49
6416.707289	21.300097	0.014673	1.451644	50
