crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	0.466311	4810	0.000000
281474976710655.000000	0.454321	4811	6309309440.000000
281474976710655.000000	0.464867	4812	6310419456.000000
281474976710655.000000	0.465953	4813	6311387648.000000
281474976710655.000000	0.469147	4814	6312502272.000000
281474976710655.000000	0.469677	4815	6313474048.000000
281474976710655.000000	0.488266	4816	6314586112.000000
281474976710655.000000	0.474410	4817	6315557888.000000
281474976710655.000000	0.475809	4818	6316668416.000000
281474976710655.000000	0.505426	4819	6317644288.000000
281474976710655.000000	0.503732	4820	6318753792.000000
281474976710655.000000	0.492877	4821	6319725568.000000
281474976710655.000000	0.495844	4822	6320837120.000000
281474976710655.000000	0.511974	4823	6321811968.000000
281474976710655.000000	0.521750	4824	6322925056.000000
281474976710655.000000	0.505696	4825	6323899392.000000
281474976710655.000000	0.508455	4826	6325007872.000000
281474976710655.000000	0.524790	4827	6325981184.000000
281474976710655.000000	0.531330	4828	6327092224.000000
281474976710655.000000	0.525845	4829	6328066048.000000
281474976710655.000000	0.537099	4830	6329174016.000000
281474976710655.000000	0.534444	4831	6330152960.000000
281474976710655.000000	0.551841	4832	6331256832.000000
281474976710655.000000	0.544239	4833	6332242944.000000
281474976710655.000000	0.568199	4834	6333335040.000000
281474976710655.000000	0.542176	4835	6334330368.000000
281474976710655.000000	0.585652	4836	6335415296.000000
281474976710655.000000	0.574745	4837	6336420864.000000
281474976710655.000000	0.587889	4838	6337493504.000000
281474976710655.000000	0.569767	4839	6338510336.000000
281474976710655.000000	0.598549	4840	6339575296.000000
281474976710655.000000	0.585063	4841	6340596224.000000
281474976710655.000000	0.610014	4842	6341656576.000000
281474976710655.000000	0.590523	4843	6342683648.000000
281474976710655.000000	0.614150	4844	6343745024.000000
281474976710655.000000	0.609069	4845	6344766464.000000
281474976710655.000000	0.611365	4846	6345827840.000000
281474976710655.000000	0.601407	4847	6346844672.000000
281474976710655.000000	0.628522	4848	6347916800.000000
281474976710655.000000	0.627445	4849	6348927488.000000
281474976710655.000000	0.622647	4850	6350006272.000000
281474976710655.000000	0.624727	4851	6351009792.000000
281474976710655.000000	0.640963	4852	6352093696.000000
281474976710655.000000	0.626114	4853	6353091072.000000
281474976710655.000000	0.647963	4854	6354176512.000000
281474976710655.000000	0.649193	4855	6355173376.000000
281474976710655.000000	0.664473	4856	6356263424.000000
281474976710655.000000	0.655059	4857	6357256192.000000
281474976710655.000000	0.653353	4858	6358352384.000000
281474976710655.000000	0.655480	4859	6359339520.000000
281474976710655.000000	0.672145	4860	6360435200.000000
281474976710655.000000	0.664926	4861	6361423872.000000
281474976710655.000000	0.679570	4862	6362519552.000000
281474976710655.000000	0.677073	4863	6363510272.000000
281474976710655.000000	0.689357	4864	6364603392.000000
281474976710655.000000	0.694511	4865	6365589504.000000
281474976710655.000000	0.699882	4866	6366687232.000000
281474976710655.000000	0.695758	4867	6367678976.000000
281474976710655.000000	0.698990	4868	6368769536.000000
281474976710655.000000	0.666530	4869	6369767424.000000
281474976710655.000000	0.719799	4870	6370850816.000000
281474976710655.000000	0.717303	4871	6371855360.000000
281474976710655.000000	0.736467	4872	6372931072.000000
281474976710655.000000	0.720112	4873	6373943296.000000
281474976710655.000000	0.745399	4874	6375012352.000000
281474976710655.000000	0.733597	4875	6376029184.000000
281474976710655.000000	0.758996	4876	6377094656.000000
281474976710655.000000	0.741042	4877	6378117632.000000
281474976710655.000000	0.764365	4878	6379173376.000000
281474976710655.000000	0.766263	4879	6380204544.000000
281474976710655.000000	0.767869	4880	6381255680.000000
281474976710655.000000	0.761999	4881	6382287872.000000
281474976710655.000000	0.762289	4882	6383345152.000000
281474976710655.000000	0.765215	4883	6384370176.000000
281474976710655.000000	0.771201	4884	6385431040.000000
281474976710655.000000	0.769428	4885	6386449920.000000
281474976710655.000000	0.800060	4886	6387518464.000000
281474976710655.000000	0.795358	4887	6388531712.000000
281474976710655.000000	0.799505	4888	6389604864.000000
281474976710655.000000	0.794034	4889	6390614016.000000
281474976710655.000000	0.805647	4890	6391693312.000000
281474976710655.000000	0.790287	4891	6392697856.000000
281474976710655.000000	0.816794	4892	6393777664.000000
281474976710655.000000	0.816507	4893	6394779136.000000
281474976710655.000000	0.824523	4894	6395864576.000000
281474976710655.000000	0.816411	4895	6396858368.000000
281474976710655.000000	0.832979	4896	6397948928.000000
281474976710655.000000	0.820759	4897	6398943232.000000
281474976710655.000000	0.834880	4898	6400035840.000000
281474976710655.000000	0.839107	4899	6401026560.000000
281474976710655.000000	0.851457	4900	6402118656.000000
281474976710655.000000	0.840162	4901	6403110912.000000
281474976710655.000000	0.857784	4902	6404203008.000000
281474976710655.000000	0.854444	4903	6405195264.000000
281474976710655.000000	0.867097	4904	6406285824.000000
281474976710655.000000	0.857267	4905	6407279104.000000
281474976710655.000000	0.864683	4906	6408371712.000000
281474976710655.000000	0.864407	4907	6409363968.000000
281474976710655.000000	0.888518	4908	6410453504.000000
281474976710655.000000	0.885495	4909	6411449856.000000
281474976710655.000000	0.899500	4910	6412537856.000000
281474976710655.000000	0.899952	4911	6413534208.000000
281474976710655.000000	0.902745	4912	6414618624.000000
281474976710655.000000	0.909057	4913	6415622144.000000
281474976710655.000000	0.953768	4914	6416703488.000000
281474976710655.000000	0.923608	4915	6417710592.000000
281474976710655.000000	0.935877	4916	6418780160.000000
281474976710655.000000	0.939153	4917	6419796480.000000
281474976710655.000000	0.947275	4918	6420861952.000000
281474976710655.000000	0.890924	4919	6421882368.000000
281474976710655.000000	0.932288	4920	6422945280.000000
281474976710655.000000	0.929979	4921	6423968768.000000
281474976710655.000000	0.956841	4922	6425027072.000000
281474976710655.000000	0.939725	4923	6426054656.000000
281474976710655.000000	0.952095	4924	6427110912.000000
281474976710655.000000	0.946486	4925	6428140032.000000
281474976710655.000000	0.961267	4926	6429193216.000000
281474976710655.000000	0.977742	4927	6430223360.000000
281474976710655.000000	0.969012	4928	6431280640.000000
281474976710655.000000	0.977337	4929	6432306176.000000
281474976710655.000000	0.959322	4930	6433364992.000000
281474976710655.000000	0.990093	4931	6434387968.000000
281474976710655.000000	0.992151	4932	6435453952.000000
281474976710655.000000	1.000136	4933	6436468736.000000
281474976710655.000000	0.999473	4934	6437537280.000000
281474976710655.000000	1.015813	4935	6438551040.000000
281474976710655.000000	1.008790	4936	6439624192.000000
281474976710655.000000	0.988946	4937	6440630784.000000
281474976710655.000000	1.023946	4938	6441707008.000000
281474976710655.000000	1.029172	4939	6442718208.000000
281474976710655.000000	1.018385	4940	6443792896.000000
281474976710655.000000	1.052564	4941	6444800512.000000
281474976710655.000000	1.024884	4942	6445879296.000000
281474976710655.000000	1.047453	4943	6446882816.000000
281474976710655.000000	1.055302	4944	6447961088.000000
281474976710655.000000	1.050200	4945	6448967168.000000
281474976710655.000000	1.056176	4946	6450044416.000000
281474976710655.000000	1.064862	4947	6451053056.000000
281474976710655.000000	1.043144	4948	6452128768.000000
281474976710655.000000	1.066263	4949	6453135872.000000
281474976710655.000000	1.072848	4950	6454211584.000000
281474976710655.000000	1.065169	4951	6455223808.000000
281474976710655.000000	1.080651	4952	6456294400.000000
281474976710655.000000	1.088367	4953	6457309184.000000
281474976710655.000000	1.083662	4954	6458374656.000000
281474976710655.000000	1.095855	4955	6459394560.000000
281474976710655.000000	1.116858	4956	6460456960.000000
281474976710655.000000	1.101923	4957	6461480448.000000
281474976710655.000000	1.107036	4958	6462538752.000000
281474976710655.000000	1.091750	4959	6463566336.000000
281474976710655.000000	1.114951	4960	6464622080.000000
281474976710655.000000	1.109699	4961	6465650176.000000
281474976710655.000000	1.124163	4962	6466705408.000000
281474976710655.000000	1.122512	4963	6467734016.000000
281474976710655.000000	1.139850	4964	0.000000
281474976710655.000000	1.123834	4965	0.000000
281474976710655.000000	1.131341	4966	0.000000
281474976710655.000000	1.142399	4967	0.000000
281474976710655.000000	1.161676	4968	0.000000
281474976710655.000000	1.106996	4969	0.000000
281474976710655.000000	1.103228	4970	0.000000
281474976710655.000000	1.126989	4971	0.000000
281474976710655.000000	1.129822	4972	0.000000
281474976710655.000000	1.110750	4973	0.000000
281474976710655.000000	1.122642	4974	0.000000
281474976710655.000000	1.111290	4975	0.000000
281474976710655.000000	1.137315	4976	0.000000
281474976710655.000000	1.119035	4977	0.000000
281474976710655.000000	1.131510	4978	0.000000
281474976710655.000000	1.099096	4979	0.000000
281474976710655.000000	1.107607	4980	0.000000
281474976710655.000000	1.084818	4981	0.000000
281474976710655.000000	1.081389	4982	0.000000
281474976710655.000000	1.088416	4983	0.000000
281474976710655.000000	1.099048	4984	0.000000
281474976710655.000000	1.099073	4985	0.000000
281474976710655.000000	1.108029	4986	0.000000
281474976710655.000000	1.082052	4987	0.000000
281474976710655.000000	1.125330	4988	0.000000
281474976710655.000000	1.085826	4989	0.000000
281474976710655.000000	1.106396	4990	0.000000
281474976710655.000000	1.085299	4991	0.000000
281474976710655.000000	1.090845	4992	0.000000
281474976710655.000000	1.077368	4993	0.000000
281474976710655.000000	1.095609	4994	0.000000
281474976710655.000000	1.056716	4995	0.000000
281474976710655.000000	1.080954	4996	0.000000
281474976710655.000000	1.069913	4997	0.000000
281474976710655.000000	1.097291	4998	0.000000
281474976710655.000000	1.062446	4999	0.000000
281474976710655.000000	1.076883	5000	0.000000
281474976710655.000000	1.057109	5001	0.000000
281474976710655.000000	1.072859	5002	0.000000
281474976710655.000000	1.066327	5003	0.000000
281474976710655.000000	1.076460	5004	0.000000
281474976710655.000000	1.059359	5005	0.000000
281474976710655.000000	1.064696	5006	0.000000
281474976710655.000000	1.048517	5007	0.000000
281474976710655.000000	1.058309	5008	0.000000
281474976710655.000000	1.067935	5009	0.000000
281474976710655.000000	1.065421	5010	0.000000
281474976710655.000000	1.054856	5011	0.000000
281474976710655.000000	1.055766	5012	0.000000
281474976710655.000000	1.045567	5013	0.000000
281474976710655.000000	1.087156	5014	0.000000
281474976710655.000000	1.053671	5015	0.000000
281474976710655.000000	1.051042	5016	0.000000
281474976710655.000000	1.038390	5017	0.000000
