num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2537	3269.875494	101.370752	0.663785	0.372456	15.631349
2539	3271.955757	100.760284	0.547254	0.370344	15.204631
2541	3274.037848	100.514962	0.510058	0.368813	14.559764
2543	3276.123420	99.656140	0.416484	0.363097	15.927331
2545	3278.211683	99.048877	0.321399	0.351414	16.330044
2547	3280.301342	99.870766	0.223538	0.346632	15.152165
2549	3282.383428	100.385731	0.302480	0.355335	16.258496
2551	3284.462709	100.291748	0.371004	0.368705	15.526289
2553	3286.540956	100.026906	0.334120	0.376290	15.436595
2555	3288.621176	99.583371	0.236841	0.372784	14.995588
2557	3290.705459	99.148122	0.128953	0.368903	14.906688
2559	3292.792306	98.614767	0.081826	0.362065	15.001783
2561	3294.878912	98.320000	0.032272	0.355489	15.180177
2563	3296.966593	98.465882	-0.030710	0.354297	14.827514
2565	3299.051062	98.725300	0.067735	0.355581	15.526939
2567	3301.133658	98.937365	-0.037728	0.360208	15.393698
2569	3303.219063	98.751803	0.006485	0.364236	14.918172
2571	3305.302282	98.650068	0.003461	0.366240	14.983580
2573	3307.385207	98.401650	-0.027047	0.367076	15.299676
2575	3309.468564	98.114887	-0.119020	0.365882	15.066060
2577	3311.550307	98.285451	-0.275014	0.363404	14.921937
2579	3313.630338	97.965605	-0.277837	0.357827	14.903675
2581	3315.709964	97.753427	-0.325239	0.353090	14.439068
2583	3317.790297	97.488758	-0.504868	0.351822	15.167782
2585	3319.871969	97.025990	-0.501414	0.354166	14.639331
2587	3321.957980	96.575647	-0.506096	0.362491	14.596833
2589	3324.044495	96.771841	-0.457215	0.373010	14.828184
2591	3326.132315	96.670849	-0.491657	0.377839	14.646316
2593	3328.218688	96.819523	-0.541843	0.376487	14.476258
2595	3330.302606	96.794518	-0.618190	0.370153	14.353746
2597	3332.382818	96.676879	-0.725753	0.361263	14.386171
2599	3334.462185	96.464759	-0.761940	0.353901	13.795636
2601	3336.541878	96.276653	-0.725138	0.352354	14.155548
2603	3338.622194	95.819315	-0.696796	0.352604	13.889699
2605	3340.705201	95.692246	-0.766747	0.354709	13.866703
2607	3342.788649	95.508668	-0.787073	0.358479	14.233051
2609	3344.871737	95.478579	-0.872458	0.359930	14.342211
2611	3346.955025	95.329131	-0.918950	0.361367	14.733084
2613	3349.038597	95.142987	-0.961182	0.361722	14.394519
2615	3351.122359	94.910560	-1.029695	0.361515	14.533091
2617	3353.207634	94.535266	-1.089881	0.359777	13.881973
2619	3355.294668	94.035850	-1.074706	0.354737	13.657198
2621	3357.382286	94.103417	-1.127594	0.349140	13.842796
2623	3359.468474	94.626022	-1.211174	0.349151	13.868755
2625	3361.551669	94.867532	-1.205889	0.354742	14.140036
2627	3363.632327	94.971052	-1.223551	0.363848	14.003290
2629	3365.712650	94.627924	-1.244054	0.370428	13.872273
2631	3367.791641	94.228197	-1.247992	0.371351	13.641551
2633	3369.872155	93.891370	-1.309321	0.368493	13.747161
2635	3371.954017	93.578487	-1.347847	0.365465	13.646471
2637	3374.037024	93.539685	-1.436314	0.362072	13.730269
2639	3376.121685	93.116834	-1.417178	0.360219	13.780661
2641	3378.207296	92.909435	-1.517760	0.356964	13.611989
2643	3380.293263	92.525168	-1.467078	0.354179	13.501299
2645	3382.378470	92.487112	-1.446481	0.351577	13.569171
2647	3384.463364	92.476966	-1.498064	0.351374	13.953780
2649	3386.547541	92.545470	-1.582632	0.350904	13.860300
2651	3388.631432	92.580291	-1.484358	0.351979	13.077437
2653	3390.714551	92.355827	-1.563368	0.352417	13.216939
2655	3392.796448	92.348943	-1.720271	0.352773	13.116565
2657	3394.878742	92.161702	-1.646536	0.350759	13.174700
2659	3396.959877	91.963814	-1.743786	0.349545	13.103300
2661	3399.040511	91.842606	-1.843849	0.348151	13.457245
2663	3401.121227	91.698366	-1.869620	0.346573	12.991483
2665	3403.203013	91.457283	-1.856334	0.346104	12.835037
2667	3405.285137	91.266993	-1.921316	0.347846	13.052708
2669	3407.368773	91.039644	-1.987954	0.350184	12.866144
2671	3409.453235	90.827976	-2.017319	0.354063	12.778249
2673	3411.538668	90.753759	-1.993779	0.359004	12.730195
2675	3413.624559	90.769443	-2.072737	0.363508	12.843193
2677	3415.711030	90.735937	-2.061683	0.365182	12.780527
2679	3417.797003	90.842183	-2.112428	0.364985	12.601594
2681	3419.882280	90.905965	-2.172859	0.362392	12.760536
2683	3421.965622	91.049822	-2.250839	0.357312	12.469309
2685	3424.047398	90.619934	-2.294409	0.351508	12.861228
2687	3426.127686	90.324028	-2.307345	0.346056	12.665526
2689	3428.207903	90.058115	-2.302625	0.342374	12.776380
2691	3430.288104	89.738857	-2.292717	0.341341	12.735550
2693	3432.370096	89.529259	-2.286079	0.341351	12.393847
2695	3434.452235	89.450179	-2.435844	0.341673	12.717367
2697	3436.535044	89.285877	-2.530194	0.342825	12.512360
2699	3438.619165	89.089180	-2.569252	0.343015	12.333725
2701	3440.703487	88.828777	-2.613006	0.342179	12.018263
2703	3442.789196	88.594222	-2.644026	0.340170	12.096057
2705	3444.875219	88.422705	-2.619538	0.337531	12.395327
2707	3446.961519	88.718602	-2.461535	0.334920	12.447780
2709	3449.046467	88.778378	-2.711668	0.335725	12.170315
2711	3451.129462	88.939671	-2.634579	0.339568	12.313444
2713	3453.211355	88.874619	-2.669075	0.344729	11.945794
2715	3455.291997	88.839006	-2.685589	0.349599	12.095373
2717	3457.373011	88.554937	-2.696767	0.353071	12.212004
2719	3459.453670	88.231213	-2.797276	0.353412	11.849361
2721	3461.534781	87.937250	-2.869187	0.351087	12.593979
2723	3463.616234	87.608416	-2.899247	0.348722	11.563001
2725	3465.698330	87.537096	-2.921418	0.345635	11.619786
2727	3467.780554	87.338534	-2.967499	0.343876	11.928396
2729	3469.862844	87.278491	-3.009302	0.342107	11.522131
2731	3471.945620	87.063404	-2.998777	0.340581	11.982319
2733	3474.029018	87.001404	-3.087752	0.338474	11.881228
2735	3476.112901	86.797501	-3.148622	0.337792	11.784551
2737	3478.195915	86.641632	-3.125255	0.335794	11.680356
2739	3480.280113	86.538831	-3.224860	0.334325	11.782340
2741	3482.364760	86.352555	-3.267499	0.333502	12.178952
2743	3484.448851	86.226326	-3.293757	0.331954	11.703839
2745	3486.532632	86.083308	-3.323799	0.331151	11.501119
2747	3488.616721	86.020490	-3.351186	0.330133	11.703497
2749	3490.700205	85.825117	-3.335009	0.329433	11.629337
2751	3492.783355	85.801882	-3.388915	0.328529	11.610346
2753	3494.866001	85.905109	-3.425880	0.327675	11.625817
2755	3496.947683	85.586040	-3.471503	0.326732	11.620546
2757	3499.029988	85.474379	-3.514819	0.325887	11.570261
2759	3501.113274	85.319125	-3.532171	0.325224	11.406956
2761	3503.195013	85.194466	-3.559016	0.324427	12.007534
2765	3507.358745	84.871855	-3.562282	0.323217	11.490566
2767	3509.441711	84.876033	-3.670135	0.322982	11.346295
2769	3511.524566	84.670551	-3.688124	0.323070	11.539139
2771	3513.607804	84.557027	-3.723833	0.322725	11.341359
2773	3515.689348	84.439850	-3.736119	0.322705	11.211096
2775	3517.773458	84.260813	-3.766677	0.322563	11.308346
2777	3519.856529	84.065510	-3.782442	0.322622	11.293536
2779	3521.939711	83.916523	-3.754258	0.323594	11.024420
2781	3524.023201	83.787559	-3.793599	0.323538	11.130542
2783	3526.107110	83.609490	-3.827058	0.323665	10.883505
2785	3528.191019	83.506515	-3.853676	0.324617	10.551001
2787	3530.274715	83.367383	-3.875211	0.325111	10.846481
2789	3532.358486	83.273531	-3.906556	0.325646	11.134430
2791	3534.444130	83.185660	-3.936060	0.326367	10.920595
2793	3536.528561	83.121001	-3.945147	0.328307	10.777459
2795	3538.613546	83.139759	-3.978774	0.328500	10.919168
2797	3540.698355	82.931062	-3.976472	0.327902	11.214231
2799	3542.783373	83.147357	-4.008286	0.327388	10.842355
2801	3544.868060	83.169165	-4.047686	0.325999	11.008170
2803	3546.951961	83.032913	-4.063550	0.322583	11.064094
2805	3549.034686	82.925473	-4.105262	0.319208	10.743188
2807	3551.116435	82.678197	-4.163579	0.315431	10.984258
2811	3555.279255	82.331478	-4.169273	0.308524	10.759483
2813	3557.359886	82.024267	-4.205650	0.306307	10.876911
2815	3559.442096	81.928013	-4.335405	0.305503	10.737791
2817	3561.524303	81.596292	-4.279257	0.305255	10.547099
2819	3563.607435	81.447481	-4.349153	0.304879	10.745187
2821	3565.691310	81.241404	-4.373798	0.304578	10.541704
2823	3567.775956	80.778229	-4.370516	0.301627	10.502418
2825	3569.860988	80.959354	-4.363109	0.300804	10.435302
2827	3571.946345	81.053053	-4.370288	0.298494	10.376822
2829	3574.030293	81.232816	-4.301243	0.297570	10.500280
