crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	8.516820	2626	0.000000
281474976710655.000000	8.195656	2627	2788145920.000000
281474976710655.000000	8.727623	2628	2789185280.000000
281474976710655.000000	8.561332	2629	2790226176.000000
281474976710655.000000	8.140200	2630	2791272704.000000
281474976710655.000000	9.044407	2631	2792311552.000000
281474976710655.000000	9.171319	2632	2793357056.000000
281474976710655.000000	8.364653	2633	2794394624.000000
281474976710655.000000	8.547284	2634	2795439872.000000
281474976710655.000000	9.175121	2635	2796478208.000000
281474976710655.000000	8.493997	2636	2797523456.000000
281474976710655.000000	8.843021	2637	2798561536.000000
281474976710655.000000	8.863355	2638	2799609088.000000
281474976710655.000000	9.248510	2639	2800644608.000000
281474976710655.000000	9.319345	2640	2801694208.000000
281474976710655.000000	9.201516	2641	2802728192.000000
281474976710655.000000	10.056835	2642	2803780608.000000
281474976710655.000000	10.202603	2643	2804807168.000000
281474976710655.000000	9.420362	2644	2805864192.000000
281474976710655.000000	9.361824	2645	2806891264.000000
281474976710655.000000	10.106431	2646	2807951360.000000
281474976710655.000000	9.496955	2647	2808971264.000000
281474976710655.000000	10.202395	2648	2810036992.000000
281474976710655.000000	9.967271	2649	2811054592.000000
281474976710655.000000	9.867784	2650	2812122624.000000
281474976710655.000000	10.115206	2651	2813137408.000000
281474976710655.000000	9.701838	2652	2814208000.000000
281474976710655.000000	9.454191	2653	2815222272.000000
281474976710655.000000	10.634857	2654	2816291840.000000
281474976710655.000000	10.887905	2655	2817303296.000000
281474976710655.000000	10.216778	2656	2818377216.000000
281474976710655.000000	10.508246	2657	2819388416.000000
281474976710655.000000	10.276255	2658	2820460800.000000
281474976710655.000000	10.240591	2659	2821471744.000000
281474976710655.000000	10.556082	2660	2822545664.000000
281474976710655.000000	10.359743	2661	2823555840.000000
281474976710655.000000	11.070333	2662	2824627712.000000
281474976710655.000000	11.280449	2663	2825639168.000000
281474976710655.000000	10.908648	2664	2826711808.000000
281474976710655.000000	11.003288	2665	2827722752.000000
281474976710655.000000	10.721137	2666	2828795648.000000
281474976710655.000000	10.640761	2667	2829806336.000000
281474976710655.000000	11.017486	2668	2830881024.000000
281474976710655.000000	11.288373	2669	2831891456.000000
281474976710655.000000	10.880138	2670	2832963072.000000
281474976710655.000000	11.472202	2671	2833975296.000000
281474976710655.000000	11.165017	2672	2835045888.000000
281474976710655.000000	11.043258	2673	2836060160.000000
281474976710655.000000	11.798349	2674	2837128448.000000
281474976710655.000000	11.189151	2675	2838145536.000000
281474976710655.000000	12.048768	2676	2839213568.000000
281474976710655.000000	12.092461	2677	2840230400.000000
281474976710655.000000	12.189613	2678	2841294080.000000
281474976710655.000000	11.772050	2679	2842313472.000000
281474976710655.000000	11.913795	2680	2843377664.000000
281474976710655.000000	11.546858	2681	2844400896.000000
281474976710655.000000	11.880387	2682	2845459200.000000
281474976710655.000000	11.851458	2683	2846486784.000000
281474976710655.000000	12.143674	2684	2847541504.000000
281474976710655.000000	11.919477	2685	2848572160.000000
281474976710655.000000	12.728135	2686	2849624064.000000
281474976710655.000000	12.473786	2687	2850657792.000000
281474976710655.000000	12.442703	2688	2851706112.000000
281474976710655.000000	12.027754	2689	2852741376.000000
281474976710655.000000	12.323719	2690	2853788928.000000
281474976710655.000000	11.864361	2691	2854827264.000000
281474976710655.000000	12.356334	2692	2855872768.000000
281474976710655.000000	12.206543	2693	2856912128.000000
281474976710655.000000	12.037392	2694	2857956352.000000
281474976710655.000000	12.709993	2695	2858995712.000000
281474976710655.000000	12.885572	2696	2860039424.000000
281474976710655.000000	12.413261	2697	2861078016.000000
281474976710655.000000	12.718565	2698	2862123264.000000
281474976710655.000000	12.471412	2699	2863163904.000000
281474976710655.000000	12.847262	2700	2864208384.000000
281474976710655.000000	12.597634	2701	2865247232.000000
281474976710655.000000	13.192324	2702	2866291200.000000
281474976710655.000000	13.082457	2703	2867332352.000000
281474976710655.000000	13.239530	2704	2868374784.000000
281474976710655.000000	13.105748	2705	2869415680.000000
281474976710655.000000	12.945936	2706	2870458880.000000
281474976710655.000000	12.829937	2707	2871499008.000000
281474976710655.000000	13.505632	2708	2872542720.000000
281474976710655.000000	13.114277	2709	2873582336.000000
281474976710655.000000	14.321350	2710	2874626048.000000
281474976710655.000000	13.190780	2711	2875664896.000000
281474976710655.000000	13.949265	2712	2876712192.000000
281474976710655.000000	13.643639	2713	2877748480.000000
281474976710655.000000	14.090478	2714	2878796032.000000
281474976710655.000000	14.158121	2715	2879830272.000000
281474976710655.000000	14.043259	2716	2880881408.000000
281474976710655.000000	14.693995	2717	2881915136.000000
281474976710655.000000	14.445316	2718	2882967040.000000
281474976710655.000000	14.827553	2719	2883996928.000000
281474976710655.000000	14.040736	2720	2885051136.000000
281474976710655.000000	14.357975	2721	2886078720.000000
281474976710655.000000	14.608363	2722	2887134976.000000
281474976710655.000000	14.981096	2723	2888162304.000000
281474976710655.000000	14.481003	2724	2889220096.000000
281474976710655.000000	14.646429	2725	2890244352.000000
281474976710655.000000	14.925628	2726	2891304704.000000
281474976710655.000000	14.687870	2727	2892326400.000000
281474976710655.000000	14.870349	2728	2893390592.000000
281474976710655.000000	15.068597	2729	2894409472.000000
281474976710655.000000	14.643039	2730	2895474176.000000
281474976710655.000000	15.239941	2731	2896492288.000000
281474976710655.000000	15.277164	2732	2897558528.000000
281474976710655.000000	14.445162	2733	2898575616.000000
281474976710655.000000	15.143473	2734	2899642368.000000
281474976710655.000000	15.145654	2735	2900658688.000000
281474976710655.000000	14.954808	2736	2901727744.000000
281474976710655.000000	15.179338	2737	2902743040.000000
281474976710655.000000	15.508956	2738	2903811072.000000
281474976710655.000000	14.949236	2739	2904826624.000000
281474976710655.000000	15.325628	2740	2905895936.000000
281474976710655.000000	14.932038	2741	2906910464.000000
281474976710655.000000	15.991641	2742	2907978240.000000
281474976710655.000000	15.229563	2743	2908995072.000000
281474976710655.000000	16.453743	2744	2910062080.000000
281474976710655.000000	15.360744	2745	2911078656.000000
281474976710655.000000	16.137472	2746	2912145664.000000
281474976710655.000000	15.969758	2747	2913162496.000000
281474976710655.000000	15.827818	2748	2914228480.000000
281474976710655.000000	16.134691	2749	2915246592.000000
281474976710655.000000	16.647484	2750	2916313088.000000
281474976710655.000000	15.830845	2751	2917331200.000000
281474976710655.000000	17.070429	2752	2918395648.000000
281474976710655.000000	16.488874	2753	2919415808.000000
281474976710655.000000	17.304569	2754	2920477184.000000
281474976710655.000000	15.554243	2755	2921499136.000000
281474976710655.000000	16.690788	2756	2922560000.000000
281474976710655.000000	16.160091	2757	0.000000
281474976710655.000000	15.238453	2758	0.000000
