num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2625	2784.850576	36.211720	0.573382	3.637054	8.634555
2627	2786.933707	36.126602	0.536464	3.637418	8.897175
2629	2789.014608	36.332014	0.856116	3.642445	8.518927
2631	2791.101346	36.485850	1.463359	3.624473	8.237694
2633	2793.185752	37.161287	0.471428	3.629143	8.982630
2635	2795.268783	37.037249	0.444293	3.640702	8.328593
2637	2797.352334	37.779706	0.435431	3.631217	9.135733
2639	2799.437856	37.121736	2.674254	3.622599	8.723922
2641	2801.522830	37.520725	2.353847	3.638503	9.333804
2643	2803.609427	37.654192	0.376984	3.637626	9.307852
2645	2805.693300	37.867938	1.523332	3.622828	10.236687
2647	2807.780154	37.825684	0.193897	3.639899	9.753247
2649	2809.865646	38.611437	0.284163	3.636328	9.499430
2651	2811.951408	38.968198	0.339263	3.640488	10.013675
2653	2814.036807	38.732755	1.832258	3.617981	10.409051
2655	2816.120867	39.488043	2.738376	3.617195	9.800166
2657	2818.206053	39.523034	2.532686	3.616884	11.303033
2659	2820.289743	40.229847	0.150320	3.633852	10.819635
2661	2822.374433	39.094379	-0.251121	3.651522	10.479116
2663	2824.456784	40.435639	0.096394	3.632030	10.603899
2665	2826.540862	40.045160	2.238284	3.627737	11.468526
2667	2828.624665	40.874209	1.635449	3.617921	11.171603
2669	2830.709674	41.510868	2.401360	3.609534	10.621861
2671	2832.792083	41.647722	1.477214	3.621308	11.159483
2673	2834.874766	41.197680	1.669155	3.617260	11.435658
2675	2836.957473	41.120127	2.097453	3.615046	11.039843
2677	2839.042347	41.445947	1.728542	3.616848	11.332053
2679	2841.123410	42.334409	-0.095610	3.629880	12.623769
2681	2843.206544	41.502269	1.728398	3.632927	12.275312
2683	2845.288129	42.568100	-0.025364	3.638476	11.660641
2685	2847.370401	42.709744	3.175031	3.626781	11.667401
2687	2849.452936	42.721625	2.580854	3.623912	12.029951
2689	2851.535226	43.044322	1.867710	3.627069	12.454381
2691	2853.617921	44.120747	-0.198402	3.630966	12.209259
2693	2855.701735	42.844865	1.799701	3.632244	12.071227
2695	2857.785307	43.664731	-0.201759	3.637639	12.574355
2697	2859.868310	44.323296	3.149819	3.623164	13.206327
2699	2861.952200	44.269288	-0.276048	3.636571	12.654206
2701	2864.037051	44.346190	-0.200690	3.641516	12.675469
2703	2866.120105	44.481709	-0.312327	3.638516	12.889064
2705	2868.203784	44.969499	-0.318417	3.630062	13.427039
2707	2870.287935	45.186700	-0.263492	3.642116	13.076733
2709	2872.371599	45.566319	1.687765	3.624109	12.969743
2711	2874.455033	45.235037	-0.414452	3.638027	13.574704
2713	2876.540871	45.812695	1.783424	3.627009	13.721015
2715	2878.624917	46.146698	2.779879	3.630308	13.514881
2717	2880.710116	46.013318	-0.464914	3.637281	14.070385
2719	2882.795762	46.169751	1.972757	3.628319	14.352823
2721	2884.880038	46.569059	3.628130	3.628809	14.866713
2723	2886.964077	47.539364	2.525538	3.618693	14.153293
2725	2889.048916	46.916268	-0.506462	3.636522	14.747870
2727	2891.133542	47.905324	-0.562110	3.635847	14.482007
2729	2893.219438	47.203198	-0.692368	3.629550	14.353666
2731	2895.303293	47.680344	3.247544	3.621602	14.768421
2733	2897.387642	47.794534	-0.546163	3.639558	15.028003
2735	2899.471277	48.593120	-0.637033	3.634516	14.699602
2737	2901.556587	49.446113	1.596020	3.684567	14.975343
2739	2903.640096	48.958669	2.032889	3.620057	15.160831
2741	2905.724546	48.921702	3.416846	3.620234	15.299730
2743	2907.807326	48.979203	3.242662	3.619095	15.163186
2745	2909.891192	49.465762	2.053827	3.619479	15.667876
2747	2911.974747	49.586779	2.440681	3.622342	15.255750
2749	2914.057450	49.416011	2.306600	3.620038	15.997215
2751	2916.141887	49.852914	-0.669913	3.642139	16.211405
2753	2918.224539	49.817484	-0.756331	3.639321	15.488702
2755	2920.306301	50.115916	-0.739754	3.639127	16.525225
2757	2922.388938	50.449938	-0.701099	3.642426	15.839757
