time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
2788.149886	29.939144	0.014628	2.046657	67
2789.189657	28.964489	0.014615	1.981890	68
2790.230375	29.583862	0.014669	2.016811	69
2791.278016	29.995031	0.014654	2.046859	70
2792.316009	29.798159	0.014571	2.045064	71
2793.362104	29.004406	0.014632	1.982240	72
2794.400599	30.126253	0.014605	2.062805	73
2795.444726	30.764219	0.014598	2.107406	74
2796.482874	29.739229	0.014572	2.040856	75
2797.528866	28.825731	0.014630	1.970301	76
2798.565482	30.273586	0.014646	2.066996	77
2799.613309	30.224445	0.014618	2.067565	78
2800.649144	30.470087	0.014599	2.087146	79
2801.699054	30.299351	0.014596	2.075855	80
2802.731815	31.242826	0.014603	2.139524	81
2803.787068	29.347446	0.014595	2.010723	82
2804.811426	30.767103	0.014609	2.106088	83
2805.868103	30.083055	0.014613	2.058629	84
2806.895748	31.348618	0.014603	2.146751	85
2807.957772	31.020008	0.014609	2.123337	86
2808.974969	32.618931	0.014636	2.228611	87
2810.042293	30.510504	0.014624	2.086385	88
2811.060276	32.430080	0.014621	2.218041	89
2812.127007	30.098694	0.014602	2.061301	90
2813.141332	32.594238	0.014631	2.227788	91
2814.212835	30.684389	0.014592	2.102821	92
2815.226934	33.003559	0.014595	2.261348	93
2816.295582	31.293699	0.014630	2.139058	94
2817.307388	33.630234	0.014627	2.299176	95
2818.381354	30.150364	0.014612	2.063355	96
2819.393095	33.227474	0.014598	2.276153	97
2820.466885	30.357607	0.014607	2.078249	98
2821.475704	32.831127	0.014642	2.242285	99
2822.549694	31.532537	0.014635	2.154616	100
2823.559242	33.631218	0.014570	2.308227	101
2824.633194	30.850958	0.014603	2.112661	102
2825.643544	33.293221	0.014599	2.280542	103
2826.715841	31.872162	0.014628	2.178885	104
2827.727500	34.422264	0.014596	2.358381	105
2828.799848	31.239872	0.014550	2.147106	106
2829.810175	34.102112	0.014620	2.332615	107
2830.885681	31.978584	0.014599	2.190511	108
2831.895843	34.067513	0.014601	2.333269	109
2832.967743	32.008244	0.014596	2.193006	110
2833.979868	34.473202	0.014592	2.362404	111
2835.049737	32.276958	0.014575	2.214559	112
2836.064220	33.925110	0.014591	2.325059	113
2837.132377	33.071777	0.014627	2.261021	114
2838.150036	34.745270	0.014596	2.380421	115
2839.218452	32.857124	0.014587	2.252507	116
2840.234756	34.815189	0.014592	2.385963	117
2841.298467	33.163803	0.014617	2.268867	118
2842.317525	35.082199	0.014630	2.397944	119
2843.381915	33.322708	0.014607	2.281357	120
2844.404465	34.952286	0.014587	2.396188	121
2845.463830	33.702850	0.014600	2.308434	122
2846.491722	34.964436	0.014586	2.397124	123
2847.545983	33.674026	0.014603	2.305910	124
2848.576631	34.613533	0.014583	2.373617	125
2849.628265	33.536770	0.014601	2.296809	126
2850.662167	34.555195	0.014604	2.366201	127
2851.710318	34.476452	0.014605	2.360667	128
2852.746068	34.720402	0.014589	2.379839	129
2853.794014	34.480476	0.014638	2.355531	130
2854.830098	34.555214	0.014596	2.367475	131
2855.876618	34.134987	0.014567	2.343297	132
2856.918167	33.444817	0.014593	2.291909	133
2857.961221	34.219891	0.014586	2.346022	134
2858.999720	34.544773	0.014628	2.361541	135
2860.043927	34.267654	0.014594	2.348062	136
2861.083714	35.269268	0.014614	2.413362	137
2862.126971	35.204029	0.014629	2.406460	138
2863.170031	34.573681	0.014599	2.368243	139
2864.214740	34.256821	0.014597	2.346863	140
2865.252825	34.818035	0.014623	2.381099	141
2866.295641	34.727280	0.014600	2.378607	142
2867.336125	34.557240	0.014631	2.361979	143
2868.378313	35.099949	0.014590	2.405704	144
2869.421463	34.931854	0.014607	2.391440	145
2870.463620	34.989090	0.014605	2.395636	146
2871.503732	34.858150	0.014597	2.388031	147
2872.546691	35.253429	0.014612	2.412665	148
2873.591046	34.369217	0.014573	2.358458	149
2874.630805	35.036324	0.014557	2.406805	150
2875.669161	35.185238	0.014569	2.415029	151
2876.716951	35.355713	0.014586	2.423881	152
2877.753046	35.146610	0.014594	2.408350	153
2878.798945	35.462482	0.014594	2.429886	154
2879.835356	35.679131	0.014593	2.444955	155
2880.885460	35.200581	0.014587	2.413149	156
2881.919378	35.513939	0.014606	2.431440	157
2882.971330	34.903648	0.014565	2.396423	158
2884.001331	35.946262	0.014614	2.459676	159
2885.055407	35.287312	0.014608	2.415602	160
2886.083249	36.022221	0.014604	2.466615	161
2887.139370	35.689777	0.014596	2.445218	162
2888.165920	36.029518	0.014545	2.477161	163
2889.223862	35.714478	0.014621	2.442628	164
2890.249187	36.497437	0.014589	2.501682	165
2891.312648	34.958420	0.014588	2.396418	166
2892.330353	36.864697	0.014614	2.522616	167
2893.395794	35.164795	0.014624	2.404634	168
2894.414342	36.432140	0.014597	2.495907	169
2895.478622	34.715363	0.014594	2.378745	170
2896.495805	36.790642	0.014587	2.522174	171
2897.563120	35.563473	0.014591	2.437346	172
2898.579588	36.875595	0.014633	2.519977	173
2899.645900	35.710251	0.014596	2.446515	174
2900.663248	36.777550	0.014591	2.520557	175
2901.732228	35.129032	0.014593	2.407334	176
2902.746044	36.634804	0.014567	2.514888	177
2903.816055	35.426826	0.014589	2.428242	178
2904.830622	37.033566	0.014635	2.530446	179
2905.900364	35.078068	0.014606	2.401626	180
2906.914586	36.519627	0.014577	2.505266	181
2907.982556	35.210823	0.014602	2.411404	182
2908.998936	36.668797	0.014633	2.505912	183
2910.066546	35.611275	0.014591	2.440555	184
2911.082771	36.849579	0.014628	2.519177	185
2912.150430	35.543983	0.014602	2.434196	186
2913.166745	36.783409	0.014600	2.519393	187
2914.233080	35.460171	0.014596	2.429474	188
2915.252717	36.469650	0.014592	2.499280	189
2916.317574	35.400818	0.014592	2.426121	190
2917.337322	36.451775	0.014599	2.496944	191
2918.399918	35.706207	0.014599	2.445867	192
2919.421568	36.699066	0.014606	2.512627	193
2920.480869	36.249203	0.014613	2.480660	194
2921.504209	36.997993	0.014628	2.529285	195
2922.564764	35.798386	0.014596	2.452566	196
