num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3225	4652.239092	54.396391	-2.526215	3.508362	2.321570
3227	4654.321262	54.303483	-2.542120	3.507663	2.484897
3229	4656.405106	54.202661	-2.543174	3.507096	2.366738
3231	4658.487317	54.006697	-2.585353	3.506571	2.322917
3233	4660.569103	54.017270	-2.596944	3.505697	2.271072
3235	4662.651875	53.920070	-2.607864	3.504607	2.312958
3237	4664.734453	53.879585	-2.625801	3.503829	2.272409
3239	4666.815317	53.847586	-2.634309	3.503050	2.371005
3241	4668.897583	53.863512	-2.651091	3.503395	2.270486
3243	4670.979738	53.708550	-2.678330	3.503698	2.218094
3245	4673.060982	53.820602	-2.682810	3.505351	2.259025
3247	4675.140623	53.623913	-2.714759	3.505948	2.268818
3249	4677.222134	53.519589	-2.716973	3.506466	2.205351
3251	4679.303921	53.446151	-2.733728	3.506131	2.317858
3253	4681.386258	53.244563	-2.747515	3.504826	2.297411
3255	4683.469934	53.146318	-2.772929	3.503656	2.184397
3257	4685.554016	53.113538	-2.767533	3.502538	2.245572
3259	4687.638833	53.020800	-2.784940	3.502034	2.247278
3261	4689.722376	52.985280	-2.797928	3.501062	2.244459
3263	4691.805932	52.949594	-2.811796	3.500599	2.186803
3265	4693.888216	52.869447	-2.833460	3.499814	2.197633
3267	4695.971724	52.829182	-2.846846	3.500050	2.211896
3269	4698.054790	52.731876	-2.852338	3.499521	2.178262
3271	4700.136962	52.674758	-2.864625	3.498952	2.189533
3273	4702.218097	52.632300	-2.881548	3.498254	2.201570
3275	4704.300144	52.527785	-2.896929	3.497467	2.239993
3277	4706.381582	52.391213	-2.905159	3.496048	2.136260
3279	4708.462896	52.324070	-2.927036	3.494771	2.168035
3281	4710.544041	52.198104	-2.946243	3.494293	2.158984
3283	4712.626444	52.074393	-2.964657	3.493549	2.081481
3285	4714.708902	51.999749	-2.979252	3.493420	2.062909
3287	4716.792586	51.915620	-2.991468	3.493987	2.086071
3289	4718.876611	51.877360	-2.996676	3.493763	2.070947
3291	4720.960843	51.805503	-2.991493	3.494502	2.054668
3293	4723.045081	51.709157	-3.010465	3.494458	2.037052
3295	4725.130228	51.615723	-3.022029	3.494116	2.065695
3297	4727.214130	51.542669	-3.031812	3.493914	2.087575
3299	4729.297851	51.451615	-3.043165	3.493704	2.069660
3301	4731.382373	51.355325	-3.056449	3.493716	2.092078
