crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	2.307028	3227	0.000000
281474976710655.000000	2.317535	3228	0.000000
281474976710655.000000	2.285656	3229	0.000000
281474976710655.000000	2.363402	3230	0.000000
281474976710655.000000	2.269060	3231	0.000000
281474976710655.000000	2.308006	3232	0.000000
281474976710655.000000	2.338377	3233	0.000000
281474976710655.000000	2.330533	3234	0.000000
281474976710655.000000	2.245682	3235	0.000000
281474976710655.000000	2.276351	3236	0.000000
281474976710655.000000	2.269172	3237	0.000000
281474976710655.000000	2.311068	3238	0.000000
281474976710655.000000	2.298306	3239	0.000000
281474976710655.000000	2.262757	3240	0.000000
281474976710655.000000	2.217982	3241	0.000000
281474976710655.000000	2.290648	3242	0.000000
281474976710655.000000	2.214389	3243	0.000000
281474976710655.000000	2.330168	3244	0.000000
281474976710655.000000	2.272681	3245	0.000000
281474976710655.000000	2.250673	3246	0.000000
281474976710655.000000	2.173212	3247	0.000000
281474976710655.000000	2.238132	3248	0.000000
281474976710655.000000	2.225376	3249	0.000000
281474976710655.000000	2.269569	3250	0.000000
281474976710655.000000	2.270706	3251	0.000000
281474976710655.000000	2.257959	3252	0.000000
281474976710655.000000	2.190162	3253	0.000000
281474976710655.000000	2.238957	3254	0.000000
281474976710655.000000	2.179858	3255	0.000000
281474976710655.000000	2.248127	3256	0.000000
281474976710655.000000	2.261413	3257	0.000000
281474976710655.000000	2.207824	3258	0.000000
281474976710655.000000	2.217294	3259	0.000000
281474976710655.000000	2.199171	3260	0.000000
281474976710655.000000	2.154985	3261	0.000000
281474976710655.000000	2.169732	3262	0.000000
281474976710655.000000	2.188461	3263	0.000000
281474976710655.000000	2.249766	3264	0.000000
281474976710655.000000	2.235082	3265	0.000000
281474976710655.000000	2.206825	3266	0.000000
281474976710655.000000	2.158682	3267	0.000000
281474976710655.000000	2.179951	3268	0.000000
281474976710655.000000	2.216821	3269	0.000000
281474976710655.000000	2.224485	3270	0.000000
281474976710655.000000	2.183993	3271	0.000000
281474976710655.000000	2.196536	3272	0.000000
281474976710655.000000	2.189008	3273	0.000000
281474976710655.000000	2.139247	3274	0.000000
281474976710655.000000	2.127728	3275	0.000000
281474976710655.000000	2.179910	3276	0.000000
281474976710655.000000	2.105420	3277	0.000000
281474976710655.000000	2.169576	3278	0.000000
281474976710655.000000	2.195409	3279	0.000000
281474976710655.000000	2.153151	3280	0.000000
281474976710655.000000	2.152494	3281	0.000000
281474976710655.000000	2.092864	3282	0.000000
281474976710655.000000	2.099181	3283	0.000000
281474976710655.000000	2.180127	3284	0.000000
281474976710655.000000	2.108613	3285	0.000000
281474976710655.000000	2.121768	3286	0.000000
281474976710655.000000	2.049279	3287	0.000000
281474976710655.000000	2.168280	3288	0.000000
281474976710655.000000	2.126460	3289	0.000000
281474976710655.000000	2.138877	3290	0.000000
281474976710655.000000	2.082059	3291	0.000000
281474976710655.000000	2.142222	3292	0.000000
281474976710655.000000	2.097614	3293	0.000000
281474976710655.000000	2.111303	3294	0.000000
281474976710655.000000	2.046994	3295	0.000000
281474976710655.000000	2.105701	3296	0.000000
281474976710655.000000	2.081643	3297	0.000000
281474976710655.000000	2.134751	3298	0.000000
281474976710655.000000	2.066410	3299	0.000000
281474976710655.000000	2.113641	3300	0.000000
281474976710655.000000	2.070015	3301	0.000000
281474976710655.000000	2.086269	3302	0.000000
281474976710655.000000	2.044081	3303	0.000000
281474976710655.000000	2.075465	3304	0.000000
281474976710655.000000	2.047875	3305	0.000000
281474976710655.000000	2.065101	3306	0.000000
281474976710655.000000	2.052656	3307	0.000000
281474976710655.000000	2.085910	3308	0.000000
281474976710655.000000	2.028923	3309	0.000000
281474976710655.000000	2.075558	3310	0.000000
281474976710655.000000	2.056201	3311	0.000000
281474976710655.000000	2.070755	3312	0.000000
281474976710655.000000	2.051099	3313	0.000000
281474976710655.000000	2.057666	3314	0.000000
281474976710655.000000	1.991786	3315	0.000000
281474976710655.000000	2.054867	3316	0.000000
281474976710655.000000	1.973388	3317	0.000000
281474976710655.000000	2.038853	3318	0.000000
