num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1571	1683.039080	34.605557	-1.508891	0.521006	7.077911
1573	1685.115957	34.573587	-1.522889	0.520402	8.937114
1575	1687.196095	34.618958	-1.566252	0.512258	8.057300
1577	1689.277405	35.647445	-1.563038	0.523129	6.846501
1579	1691.365859	35.133794	-1.544789	0.511840	7.980228
1581	1693.446248	35.137451	-1.537390	0.512813	8.988962
1583	1695.532240	35.667527	-1.525129	0.518621	8.059168
1585	1697.618616	35.871889	-1.563632	0.512448	8.195139
1587	1699.708661	36.176765	-1.565256	0.518699	8.729902
1589	1701.791936	36.123007	-1.783045	0.515700	8.780993
1591	1703.880252	36.620823	-1.554481	0.518125	7.941936
1593	1705.968336	36.872808	-1.566697	0.516918	8.532716
1595	1708.051023	37.259090	-1.498774	0.512106	9.144980
1597	1710.136895	37.507711	-1.644343	0.515027	9.446255
1599	1712.218512	37.942626	-1.496727	0.512893	9.129418
1601	1714.299480	38.116968	-1.674907	0.511481	9.583820
1603	1716.381304	38.220163	-1.694176	0.514042	9.482175
1605	1718.462843	38.397075	-1.735872	0.514187	10.093111
1607	1720.544530	38.557195	-1.745484	0.513795	9.486242
1609	1722.629364	38.780949	-1.752739	0.513204	10.087498
1611	1724.715752	39.227921	-1.584393	0.521454	9.788037
1613	1726.799403	39.439727	-1.608375	0.520910	10.599821
1615	1728.888073	39.699551	-1.613419	0.519909	9.881247
1617	1730.971787	39.948257	-1.621598	0.519669	10.270043
1619	1733.056986	40.230880	-1.632188	0.519229	10.159847
1621	1735.143261	40.479569	-1.731702	0.517546	10.822982
1623	1737.226266	40.805685	-1.655078	0.511765	10.880499
1625	1739.310077	41.025219	3.473329	0.510303	10.454278
1627	1741.394184	41.328729	2.430597	0.503564	11.615579
1629	1743.478437	42.129189	-1.797445	0.518680	10.925892
1631	1745.561711	41.605923	-1.680276	0.516196	11.017502
1633	1747.645984	41.818011	-1.631381	0.511052	11.102386
1635	1749.731166	43.238826	-1.842889	0.516775	11.450256
1637	1751.817153	42.207149	-1.697746	0.517048	11.307746
1639	1753.904471	42.465422	-1.704529	0.517629	12.116358
1641	1755.991300	42.716061	-1.729353	0.513133	11.563710
1643	1758.078826	42.604717	-1.868050	0.511206	11.815648
1645	1760.166582	43.071179	-1.716622	0.519456	12.029941
1647	1762.251349	43.508673	-1.651419	0.525627	12.237364
1649	1764.336074	43.453632	-1.674454	0.526354	12.947049
1651	1766.419890	43.446798	-1.892964	0.520578	12.270259
1653	1768.502452	43.951006	-1.753326	0.519154	12.019727
1655	1770.586251	43.910004	-1.980149	0.518427	12.262269
1657	1772.670069	44.376439	-1.768212	0.518029	12.666373
1659	1774.753439	44.604076	-1.801895	0.511010	12.616635
1661	1776.838411	45.720742	-1.890237	0.518328	12.482374
1663	1778.922748	44.900887	-1.781646	0.517634	12.491554
1665	1781.006958	45.097640	-1.801986	0.511075	12.952671
1667	1783.091717	45.283713	-1.837831	0.516984	13.033106
1669	1785.176990	45.391827	-1.822316	0.515732	12.551002
1671	1787.261041	45.553118	-1.838750	0.515195	13.356655
1673	1789.345899	45.836580	-1.769257	0.509596	14.054321
1675	1791.429471	46.746376	2.660534	0.504646	13.683532
1677	1793.511234	47.382391	-2.081959	0.509159	13.367410
1679	1795.593026	46.417186	-1.839735	0.515272	13.451499
1681	1797.674075	46.711938	-1.860964	0.511480	13.908258
1683	1799.755887	46.861283	-1.875886	0.518443	13.518561
1685	1801.838619	46.918553	-1.883864	0.519238	13.795800
1687	1803.921248	46.971552	-1.888526	0.519633	14.238976
1689	1806.004868	47.101183	-1.906726	0.519163	14.731333
1691	1808.089802	47.101932	-2.104311	0.519091	14.261616
1693	1810.173396	47.424113	-1.926827	0.517432	14.629145
1695	1812.257475	47.548257	-1.935169	0.517154	14.730213
1697	1814.342046	48.311859	-4.169628	0.519787	14.760281
1699	1816.426415	47.931915	-1.974757	0.516539	14.949902
1701	1818.509607	48.011807	-1.966263	0.516227	15.102199
