time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
1687.428284	34.556057	0.019716	1.752683	38
1688.489796	33.350037	0.019606	1.700977	39
1689.510340	34.986431	0.019685	1.777327	40
1690.578657	29.062170	0.019672	1.477316	41
1691.600273	33.054134	0.019714	1.676677	42
1692.663151	31.286072	0.019670	1.590514	43
1693.680369	32.833153	0.019671	1.669113	44
1694.745734	34.683151	0.019716	1.759176	45
1695.765836	35.865810	0.019668	1.823583	46
1696.832707	31.719713	0.019666	1.612962	47
1697.853760	34.216721	0.019659	1.740539	48
1698.913758	31.828796	0.019683	1.617084	49
1699.943111	31.794218	0.019660	1.617182	50
1700.997580	33.958481	0.019667	1.726660	51
1702.025112	35.895569	0.019664	1.825450	52
1703.079299	33.844776	0.019688	1.719049	53
1704.113492	34.080429	0.019699	1.730065	54
1705.163244	32.259663	0.019660	1.640879	55
1706.201694	32.164181	0.019681	1.634277	56
1707.245654	35.509945	0.019682	1.804214	57
1708.284873	34.781418	0.019696	1.765894	58
1709.333047	33.319969	0.019649	1.695748	59
1710.369884	34.649151	0.019780	1.751719	60
1711.417018	34.305927	0.019684	1.742852	61
1712.452610	33.818069	0.019662	1.719960	62
1713.505315	34.518986	0.019649	1.756754	63
1714.534361	36.425110	0.019696	1.849375	64
1715.597385	32.090336	0.019647	1.633379	65
1716.615047	34.741577	0.019682	1.765164	66
1717.684048	32.377621	0.019653	1.647446	67
1718.697186	34.343262	0.019646	1.748090	68
1719.771102	33.908489	0.019664	1.724363	69
1720.776816	35.264183	0.019652	1.794416	70
1721.855335	32.385960	0.019644	1.648675	71
1722.863975	35.105236	0.019650	1.786550	72
1723.940863	31.370071	0.019651	1.596363	73
1724.949117	34.482193	0.019665	1.753502	74
1726.023304	33.390053	0.019690	1.695807	75
1727.032872	35.661942	0.019643	1.815493	76
1728.107351	32.635433	0.019667	1.659379	77
1729.121448	33.965187	0.019688	1.725200	78
1730.190914	34.047428	0.019647	1.732970	79
1731.205107	35.696915	0.019643	1.817244	80
1732.275142	32.858067	0.019649	1.672243	81
1733.290856	34.727177	0.019629	1.769210	82
1734.360124	32.979931	0.019642	1.679053	83
1735.377078	34.122753	0.019691	1.732872	84
1736.443464	33.462395	0.019654	1.702602	85
1737.461056	34.677647	0.019632	1.766394	86
1738.529431	33.492126	0.019715	1.698852	87
1739.542632	34.866890	0.019611	1.777894	88
1740.615435	32.985828	0.019650	1.678656	89
1741.626726	34.882008	0.019626	1.777338	90
1742.701297	32.266994	0.019645	1.642540	91
1743.712029	34.189552	0.019647	1.740174	92
1744.784222	33.512058	0.019643	1.706084	93
1745.794673	34.921574	0.019620	1.779902	94
1746.870312	32.267876	0.019607	1.645700	95
1747.879303	56.774651	0.019665	2.887134	96
1748.953069	33.590382	0.019635	1.710732	97
1749.964578	35.032799	0.019649	1.782922	98
1751.036922	33.005653	0.019676	1.677497	99
1752.050771	34.406467	0.019648	1.751137	100
1753.118707	33.370438	0.019635	1.699504	101
1754.138485	33.884369	0.019634	1.725781	102
1755.199170	34.264332	0.019691	1.740123	103
1756.226246	33.598171	0.019593	1.714762	104
1757.281753	33.526428	0.019680	1.703573	105
1758.311895	33.960400	0.019635	1.729560	106
1759.363379	33.114155	0.019629	1.686984	107
1760.399799	33.133511	0.019669	1.684572	108
1761.446083	34.091190	0.019626	1.736998	109
1762.485229	32.738632	0.019633	1.667494	110
1763.529047	33.855373	0.019680	1.720308	111
1764.569594	32.730396	0.019643	1.666294	112
1765.614798	33.313690	0.019649	1.695419	113
1766.653465	32.616371	0.019638	1.660859	114
1767.699347	33.454430	0.019613	1.705740	115
1768.735075	33.418381	0.019659	1.699898	116
1769.784271	32.193783	0.019671	1.636580	117
1770.819089	32.660328	0.019676	1.659916	118
1771.866070	33.161095	0.019637	1.688686	119
1772.903067	32.555161	0.019669	1.655117	120
1773.954924	32.628189	0.019645	1.660892	121
1774.987864	32.439774	0.019633	1.652346	122
1776.039969	32.390259	0.019637	1.649417	123
1777.071390	32.416107	0.019760	1.640474	124
1778.123227	32.630569	0.019687	1.657441	125
1779.155513	32.091618	0.019690	1.629818	126
1780.205541	32.981003	0.019669	1.676785	127
1781.239534	31.235792	0.019588	1.594609	128
1782.288989	32.750767	0.019627	1.668649	129
1783.324623	32.486515	0.019668	1.651749	130
1784.372233	32.356827	0.019640	1.647461	131
1785.410181	31.559139	0.019643	1.606596	132
1786.456130	32.218712	0.019600	1.643840	133
1787.494197	32.264725	0.019595	1.646574	134
1788.540144	32.402542	0.019632	1.650461	135
1789.580236	31.573980	0.019714	1.601592	136
1790.624468	32.683411	0.019685	1.660337	137
1791.662046	31.834549	0.019593	1.624751	138
1792.709956	32.180519	0.019670	1.636021	139
1793.744382	30.072224	0.019637	1.531402	140
1794.796229	31.750731	0.019576	1.621954	141
1795.827140	31.770443	0.019624	1.618996	142
1796.882981	30.609074	0.019640	1.558540	143
1797.907598	32.694839	0.019674	1.661857	144
1798.969164	32.255871	0.019667	1.640087	145
1799.988962	31.828688	0.019637	1.620863	146
1801.055198	31.493477	0.019642	1.603397	147
1802.071379	32.225803	0.019672	1.638148	148
1803.140076	29.761345	0.019601	1.518322	149
1804.154243	31.521494	0.019659	1.603421	150
1805.215165	32.940434	0.019656	1.675810	151
1806.238561	31.450325	0.019629	1.602261	152
1807.311893	30.331734	0.019637	1.544599	153
1808.323124	30.684242	0.019643	1.562101	154
1809.392867	31.237993	0.019628	1.591528	155
1810.406172	31.448528	0.019657	1.599843	156
1811.476263	30.681198	0.019635	1.562567	157
1812.490627	31.167269	0.019672	1.584379	158
1813.561207	30.409311	0.019631	1.549051	159
1814.574709	30.846523	0.019620	1.572226	160
1815.644038	33.908340	0.019626	1.727740	161
1816.660005	30.303989	0.019600	1.546088	162
1817.727999	30.145010	0.019587	1.539057	163
1818.743106	37.882679	0.019620	1.930846	164
1819.812034	30.739948	0.019626	1.566257	165
1820.827236	30.641319	0.019626	1.561237	166
1821.897462	29.673195	0.019596	1.514223	167
