time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
3865.344059	57.266033	0.024282	2.358409	56
3866.404406	53.007256	0.024264	2.184634	57
3867.425066	57.205353	0.024244	2.359600	58
3868.492834	55.325802	0.024280	2.278684	59
3869.507820	59.071278	0.024169	2.444135	60
3870.578499	54.594158	0.024230	2.253197	61
3871.591007	58.614811	0.024223	2.419830	62
3872.663549	55.934696	0.024242	2.307353	63
3873.678406	59.715096	0.024221	2.465377	64
3874.744093	57.574085	0.024233	2.375809	65
3875.766663	59.890736	0.024220	2.472733	66
3876.824864	57.511902	0.024226	2.373964	67
3877.856551	58.335846	0.024259	2.404701	68
3878.905231	58.220020	0.024232	2.402640	69
3879.945622	57.787430	0.024215	2.386421	70
3880.988781	59.088005	0.024269	2.434695	71
3882.030072	58.491699	0.024221	2.414946	72
3883.072640	58.435333	0.024187	2.416002	73
3884.112452	59.211559	0.024253	2.441425	74
3885.160762	59.217915	0.024268	2.440120	75
3886.196509	59.955788	0.024201	2.477460	76
3887.249034	58.266087	0.024265	2.401261	77
3888.277832	60.720673	0.024351	2.493585	78
3889.334008	57.421711	0.024203	2.372486	79
3890.359381	60.205273	0.024212	2.486605	80
3891.420058	57.897278	0.024212	2.391298	81
3892.442346	60.121620	0.024166	2.487809	82
3893.505078	59.022133	0.024302	2.428720	83
3894.527210	61.197868	0.024234	2.525245	84
3895.591395	57.953362	0.024201	2.394676	85
3896.609903	59.944141	0.024243	2.472605	86
3897.674898	59.048191	0.024237	2.436278	87
3898.695890	61.764725	0.024217	2.550417	88
3899.758725	58.823307	0.024247	2.426004	89
3900.782134	61.386765	0.024275	2.528820	90
3901.841631	59.562557	0.024226	2.458634	91
3902.868135	59.692257	0.024204	2.466220	92
3903.924517	59.037693	0.024235	2.436083	93
3904.954629	60.339806	0.024233	2.489961	94
3906.006571	59.472530	0.024233	2.454173	95
3907.040108	60.772881	0.024184	2.512932	96
3908.089240	59.411163	0.024159	2.459213	97
3909.126669	60.376301	0.024233	2.491449	98
3910.170706	60.130272	0.024235	2.481138	99
3911.214000	58.918770	0.024117	2.443066	100
3912.256446	59.710369	0.024160	2.471423	101
3913.296678	60.017960	0.024220	2.478007	102
3914.342475	60.703083	0.024184	2.510059	103
3915.378270	60.254112	0.024174	2.492530	104
3916.429187	60.242107	0.024200	2.489364	105
3917.459233	61.156696	0.024219	2.525175	106
3918.518630	59.400394	0.024232	2.451370	107
3919.539891	62.325390	0.024224	2.572914	108
3920.605259	58.523624	0.024220	2.416299	109
3921.621918	60.159546	0.024131	2.493008	110
3922.693010	57.249039	0.024187	2.366980	111
3923.707446	59.597340	0.024133	2.469497	112
3924.774456	57.773270	0.024236	2.383781	113
3925.792929	59.734676	0.024225	2.465780	114
3926.856395	57.921375	0.024201	2.393354	115
3927.879803	59.346668	0.024172	2.455151	116
3928.939755	58.390102	0.024230	2.409812	117
3929.964678	59.793869	0.024181	2.472729	118
3931.021473	59.022503	0.024175	2.441421	119
3932.048720	60.694485	0.024169	2.511262	120
3933.105182	57.861439	0.024135	2.397413	121
3934.134633	59.005962	0.024167	2.441608	122
3935.189028	58.462318	0.024192	2.416556	123
3936.220309	58.648499	0.024184	2.425108	124
3937.272346	60.532574	0.024175	2.503918	125
3938.304671	59.397884	0.024213	2.453178	126
3939.357062	58.472549	0.024318	2.404508	127
3940.388587	58.421978	0.024180	2.416090	128
3941.442276	57.707825	0.024166	2.387999	129
3942.471702	54.040459	0.024203	2.232817	130
3943.526718	58.284885	0.024188	2.409705	131
3944.555056	58.094810	0.024180	2.402552	132
3945.612871	57.262390	0.024137	2.372392	133
3946.638534	58.026577	0.024218	2.396043	134
3947.698889	57.177742	0.024192	2.363543	135
3948.719948	59.018314	0.024160	2.442800	136
3949.781596	58.320808	0.024139	2.416078	137
3950.804608	58.256096	0.024201	2.407218	138
3951.867829	57.315224	0.024178	2.370600	139
3952.887936	58.544586	0.024170	2.422191	140
3953.951425	57.858612	0.024171	2.393734	141
3954.972221	59.596329	0.024224	2.460207	142
3956.034674	56.871674	0.024155	2.354471	143
3957.059756	57.909962	0.024164	2.396545	144
3958.114929	57.820133	0.024161	2.393159	145
3959.146251	57.760403	0.024183	2.388440	146
3960.196658	58.086327	0.024177	2.402569	147
3961.232972	56.840324	0.024179	2.350816	148
3962.278649	57.978386	0.024172	2.398622	149
3963.316821	56.868458	0.024155	2.354288	150
3964.361316	57.813606	0.024172	2.391791	151
3965.403921	56.050312	0.024159	2.320086	152
3966.447203	56.414684	0.024170	2.334065	153
3967.487798	56.219711	0.024175	2.325540	154
3968.531557	56.515171	0.024175	2.337742	155
3969.570814	55.943550	0.024177	2.313911	156
3970.614229	57.267769	0.024183	2.368058	157
3971.653767	55.788879	0.024191	2.306183	158
3972.699954	56.379818	0.024204	2.329335	159
3973.736474	55.782372	0.024193	2.305745	160
3974.784689	56.713661	0.024210	2.342606	161
3975.818397	56.030849	0.024196	2.315667	162
3976.870225	55.177181	0.024156	2.284161	163
3977.904169	55.238476	0.024281	2.274994	164
3978.955608	54.082233	0.024168	2.237774	165
3979.987093	56.051449	0.024200	2.316195	166
3981.039149	54.432465	0.024129	2.255851	167
3982.072183	68.531136	0.024206	2.831150	168
3983.120675	55.852867	0.024162	2.311605	169
3984.158198	53.326504	0.024277	2.196625	170
3985.193895	60.621742	0.024169	2.508202	171
3986.240421	54.393330	0.024152	2.252104	172
3987.287629	54.951401	0.024200	2.270710	173
3988.326469	53.775745	0.024195	2.222604	174
3989.370035	55.017529	0.024148	2.278369	175
3990.411069	54.170246	0.024194	2.238982	176
3991.453783	54.636650	0.024160	2.261425	177
3992.497681	51.747467	0.024115	2.145896	178
3993.537954	54.598335	0.024160	2.259860	179
3994.578671	53.800228	0.024160	2.226818	180
