crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	12.222931	3639	0.000000
281474976710655.000000	12.119431	3640	3865337856.000000
281474976710655.000000	11.773517	3641	3866398208.000000
281474976710655.000000	12.673306	3642	3867417600.000000
281474976710655.000000	11.438634	3643	3868487168.000000
281474976710655.000000	11.870633	3644	3869500672.000000
281474976710655.000000	12.147822	3645	3870572032.000000
281474976710655.000000	11.868337	3646	3871584512.000000
281474976710655.000000	11.987191	3647	3872657408.000000
281474976710655.000000	12.235908	3648	3873673216.000000
281474976710655.000000	13.488482	3649	3874738688.000000
281474976710655.000000	13.635561	3650	3875761408.000000
281474976710655.000000	13.933675	3651	3876817408.000000
281474976710655.000000	13.145772	3652	3877851136.000000
281474976710655.000000	13.857111	3653	3878898176.000000
281474976710655.000000	13.006517	3654	3879939072.000000
281474976710655.000000	13.412077	3655	3880983296.000000
281474976710655.000000	13.060378	3656	3882023424.000000
281474976710655.000000	14.412022	3657	3883066112.000000
281474976710655.000000	14.291780	3658	3884105728.000000
281474976710655.000000	14.283855	3659	3885155072.000000
281474976710655.000000	13.888461	3660	3886189312.000000
281474976710655.000000	14.603038	3661	3887242752.000000
281474976710655.000000	14.993861	3662	3888271104.000000
281474976710655.000000	14.389252	3663	3889327616.000000
281474976710655.000000	14.967540	3664	3890353664.000000
281474976710655.000000	14.254527	3665	3891414016.000000
281474976710655.000000	14.530856	3666	3892436480.000000
281474976710655.000000	14.846889	3667	3893499392.000000
281474976710655.000000	14.715137	3668	3894521344.000000
281474976710655.000000	16.131025	3669	3895584512.000000
281474976710655.000000	15.076629	3670	3896604160.000000
281474976710655.000000	15.482915	3671	3897668864.000000
281474976710655.000000	15.657671	3672	3898689024.000000
281474976710655.000000	15.803655	3673	3899752448.000000
281474976710655.000000	15.304575	3674	3900775424.000000
281474976710655.000000	16.248531	3675	3901835776.000000
281474976710655.000000	15.898533	3676	3902862080.000000
281474976710655.000000	16.455212	3677	3903918848.000000
281474976710655.000000	16.959198	3678	3904948736.000000
281474976710655.000000	16.565521	3679	3906000896.000000
281474976710655.000000	16.552723	3680	3907035392.000000
281474976710655.000000	17.406996	3681	3908081920.000000
281474976710655.000000	16.771101	3682	3909121280.000000
281474976710655.000000	16.868187	3683	3910164992.000000
281474976710655.000000	16.595882	3684	3911207936.000000
281474976710655.000000	17.025118	3685	3912250880.000000
281474976710655.000000	16.859463	3686	3913290752.000000
281474976710655.000000	17.564646	3687	3914336256.000000
281474976710655.000000	16.978392	3688	3915371776.000000
281474976710655.000000	18.390327	3689	3916423168.000000
281474976710655.000000	17.205626	3690	3917453568.000000
281474976710655.000000	18.640974	3691	3918511616.000000
281474976710655.000000	17.809855	3692	3919534336.000000
281474976710655.000000	17.518663	3693	3920598528.000000
281474976710655.000000	18.717239	3694	3921615360.000000
281474976710655.000000	17.745558	3695	3922684416.000000
281474976710655.000000	17.715672	3696	3923702016.000000
281474976710655.000000	18.838026	3697	3924767744.000000
281474976710655.000000	18.349325	3698	3925786112.000000
281474976710655.000000	18.450884	3699	3926850304.000000
281474976710655.000000	18.578184	3700	3927873280.000000
281474976710655.000000	19.575609	3701	3928933120.000000
281474976710655.000000	18.769043	3702	3929958144.000000
281474976710655.000000	19.324678	3703	3931015936.000000
281474976710655.000000	19.085169	3704	3932043008.000000
281474976710655.000000	20.016586	3705	3933099008.000000
281474976710655.000000	19.844673	3706	3934129408.000000
281474976710655.000000	19.307020	3707	3935182336.000000
281474976710655.000000	19.709427	3708	3936214272.000000
281474976710655.000000	19.408262	3709	3937265664.000000
281474976710655.000000	20.085926	3710	3938298880.000000
281474976710655.000000	20.392132	3711	3939351296.000000
281474976710655.000000	20.223154	3712	3940382208.000000
281474976710655.000000	19.609715	3713	3941435904.000000
281474976710655.000000	19.110235	3714	3942465280.000000
281474976710655.000000	19.683655	3715	3943520768.000000
281474976710655.000000	20.230785	3716	3944548864.000000
281474976710655.000000	21.027922	3717	3945606912.000000
281474976710655.000000	19.006351	3718	3946631680.000000
281474976710655.000000	19.903358	3719	3947691776.000000
281474976710655.000000	20.993589	3720	3948714240.000000
281474976710655.000000	19.846457	3721	3949776384.000000
281474976710655.000000	20.818253	3722	3950797824.000000
281474976710655.000000	21.865295	3723	3951861504.000000
281474976710655.000000	21.325010	3724	3952881664.000000
281474976710655.000000	19.372074	3725	3953944832.000000
281474976710655.000000	20.285957	3726	3954966784.000000
281474976710655.000000	21.010963	3727	3956027136.000000
281474976710655.000000	22.210337	3728	3957053440.000000
281474976710655.000000	22.926653	3729	3958108928.000000
281474976710655.000000	21.604544	3730	3959140608.000000
281474976710655.000000	21.905283	3731	3960190464.000000
281474976710655.000000	22.816561	3732	3961226752.000000
281474976710655.000000	21.651373	3733	3962272512.000000
281474976710655.000000	23.060564	3734	3963312640.000000
281474976710655.000000	21.044676	3735	3964355072.000000
