crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	6.098676	4587	0.000000
281474976710655.000000	6.066963	4588	4864692224.000000
281474976710655.000000	6.702144	4589	4865732608.000000
281474976710655.000000	6.230294	4590	4866777088.000000
281474976710655.000000	6.084597	4591	4867817472.000000
281474976710655.000000	6.550671	4592	4868859904.000000
281474976710655.000000	6.344848	4593	4869904384.000000
281474976710655.000000	6.536265	4594	4870938624.000000
281474976710655.000000	6.101490	4595	4871990272.000000
281474976710655.000000	6.479808	4596	4873017344.000000
281474976710655.000000	6.999245	4597	4874078720.000000
281474976710655.000000	6.823132	4598	4875094528.000000
281474976710655.000000	6.530876	4599	4876162048.000000
281474976710655.000000	6.750607	4600	4877174784.000000
281474976710655.000000	6.671830	4601	4878248448.000000
281474976710655.000000	6.678474	4602	4879257600.000000
281474976710655.000000	6.523139	4603	4880335360.000000
281474976710655.000000	6.807117	4604	4881341952.000000
281474976710655.000000	7.066205	4605	4882419200.000000
281474976710655.000000	7.238759	4606	4883423232.000000
281474976710655.000000	6.885626	4607	4884500480.000000
281474976710655.000000	6.701930	4608	4885509632.000000
281474976710655.000000	6.931359	4609	4886581760.000000
281474976710655.000000	7.136739	4610	4887594496.000000
281474976710655.000000	6.712810	4611	4888665088.000000
281474976710655.000000	7.348075	4612	4889678336.000000
281474976710655.000000	7.049692	4613	4890747904.000000
281474976710655.000000	6.964047	4614	4891762688.000000
281474976710655.000000	7.250786	4615	4892829696.000000
281474976710655.000000	7.498922	4616	4893844992.000000
281474976710655.000000	7.181233	4617	4894911488.000000
281474976710655.000000	7.446976	4618	4895928320.000000
281474976710655.000000	7.226695	4619	4896998400.000000
281474976710655.000000	7.655764	4620	4898010624.000000
281474976710655.000000	7.673510	4621	4899080704.000000
281474976710655.000000	7.501449	4622	4900092416.000000
281474976710655.000000	7.749263	4623	4901166592.000000
281474976710655.000000	7.865137	4624	4902176256.000000
281474976710655.000000	7.473808	4625	4903250944.000000
281474976710655.000000	7.861016	4626	4904257024.000000
281474976710655.000000	7.782305	4627	4905334784.000000
281474976710655.000000	7.814248	4628	4906340352.000000
281474976710655.000000	7.662332	4629	4907418624.000000
281474976710655.000000	7.828624	4630	4908426240.000000
281474976710655.000000	7.689657	4631	4909500416.000000
281474976710655.000000	7.939919	4632	4910508032.000000
281474976710655.000000	8.081998	4633	4911582720.000000
281474976710655.000000	8.133958	4634	4912594944.000000
281474976710655.000000	8.087878	4635	4913662464.000000
281474976710655.000000	8.154016	4636	4914681344.000000
281474976710655.000000	8.010087	4637	4915742208.000000
281474976710655.000000	8.000806	4638	4916769792.000000
281474976710655.000000	8.200017	4639	4917821952.000000
281474976710655.000000	8.255196	4640	4918855168.000000
281474976710655.000000	8.361023	4641	4919904256.000000
281474976710655.000000	8.401411	4642	4920942592.000000
281474976710655.000000	8.321843	4643	4921984000.000000
281474976710655.000000	8.389771	4644	4923024896.000000
281474976710655.000000	8.359300	4645	4924067328.000000
281474976710655.000000	8.783565	4646	4925108736.000000
281474976710655.000000	8.572613	4647	4926149632.000000
281474976710655.000000	8.505199	4648	4927192576.000000
281474976710655.000000	8.518849	4649	4928232960.000000
281474976710655.000000	8.628437	4650	4929275904.000000
281474976710655.000000	8.654797	4651	4930317824.000000
281474976710655.000000	8.668886	4652	4931358208.000000
281474976710655.000000	8.996258	4653	4932400640.000000
281474976710655.000000	8.814454	4654	4933441024.000000
281474976710655.000000	8.889252	4655	4934484480.000000
281474976710655.000000	8.482956	4656	4935525376.000000
281474976710655.000000	8.991040	4657	4936567296.000000
281474976710655.000000	8.782864	4658	4937608192.000000
281474976710655.000000	9.146808	4659	4938650112.000000
281474976710655.000000	9.296664	4660	4939692032.000000
281474976710655.000000	9.169210	4661	4940733440.000000
281474976710655.000000	8.976275	4662	4941776384.000000
281474976710655.000000	9.122538	4663	4942817280.000000
281474976710655.000000	9.234772	4664	4943858688.000000
281474976710655.000000	9.276267	4665	4944898048.000000
281474976710655.000000	9.429790	4666	4945943040.000000
281474976710655.000000	9.643065	4667	4946983424.000000
281474976710655.000000	9.481872	4668	4948025856.000000
281474976710655.000000	9.461611	4669	4949068288.000000
281474976710655.000000	9.624371	4670	4950108672.000000
281474976710655.000000	9.544847	4671	4951153152.000000
281474976710655.000000	9.788460	4672	4952188928.000000
281474976710655.000000	9.864664	4673	4953238528.000000
281474976710655.000000	9.649580	4674	4954268672.000000
281474976710655.000000	9.954813	4675	4955325440.000000
281474976710655.000000	9.730256	4676	4956348928.000000
281474976710655.000000	10.068109	4677	4957410304.000000
281474976710655.000000	10.269821	4678	4958430208.000000
281474976710655.000000	10.090530	4679	4959495680.000000
281474976710655.000000	10.176797	4680	4960512512.000000
281474976710655.000000	10.203061	4681	4961580544.000000
281474976710655.000000	10.066077	4682	4962593280.000000
281474976710655.000000	10.117683	4683	4963665408.000000
281474976710655.000000	10.781612	4684	4964677120.000000
281474976710655.000000	10.084733	4685	4965749248.000000
281474976710655.000000	10.836112	4686	4966760960.000000
281474976710655.000000	10.497056	4687	4967830528.000000
281474976710655.000000	10.239404	4688	4968845312.000000
281474976710655.000000	10.567520	4689	4969914368.000000
281474976710655.000000	10.865939	4690	4970929152.000000
281474976710655.000000	10.485765	4691	4971997696.000000
281474976710655.000000	10.742700	4692	4973012992.000000
281474976710655.000000	10.847811	4693	4974079488.000000
281474976710655.000000	10.750052	4694	4975096832.000000
281474976710655.000000	10.852257	4695	4976164352.000000
281474976710655.000000	10.837749	4696	4977179648.000000
281474976710655.000000	10.967806	4697	4978248192.000000
281474976710655.000000	11.322593	4698	4979262976.000000
281474976710655.000000	11.110839	4699	4980331008.000000
281474976710655.000000	10.931813	4700	4981346816.000000
281474976710655.000000	11.224347	4701	4982414848.000000
281474976710655.000000	11.459595	4702	4983429120.000000
281474976710655.000000	11.368609	4703	4984498176.000000
281474976710655.000000	11.213564	4704	4985513472.000000
281474976710655.000000	11.366942	4705	4986580992.000000
281474976710655.000000	11.566328	4706	4987596800.000000
281474976710655.000000	11.630145	4707	4988664320.000000
281474976710655.000000	11.348115	4708	4989680640.000000
281474976710655.000000	11.543891	4709	4990747136.000000
281474976710655.000000	11.548307	4710	4991763456.000000
281474976710655.000000	11.905174	4711	4992829952.000000
281474976710655.000000	11.812256	4712	4993849344.000000
