num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1385	1488.661323	34.710848	-1.895775	3.588061	8.134879
1387	1490.743822	34.679381	-1.898781	3.588003	7.469805
1389	1492.826421	34.729580	-1.910074	3.588520	7.117612
1391	1494.908964	35.036940	-1.909647	3.589148	8.097128
1393	1496.994876	35.292480	-1.907403	3.589653	7.578097
1395	1499.081021	35.273331	-1.884206	3.586329	8.136719
1397	1501.164444	35.771250	-1.884570	3.593882	8.192152
1399	1503.251411	36.153928	2.380511	3.579203	7.902493
1401	1505.335906	36.422261	-1.899051	3.590944	8.256740
1403	1507.421694	36.635927	-1.893674	3.592287	8.373474
1405	1509.507120	36.944818	-1.890107	3.590940	8.313152
1407	1511.593905	37.078232	-1.875412	3.587587	8.300237
1409	1513.678781	37.408366	-1.889048	3.589788	8.794434
1411	1515.766989	38.253165	-1.990405	3.581563	9.122981
1413	1517.854121	38.053711	-1.897138	3.588798	8.463006
1415	1519.940697	38.331002	-1.905359	3.587931	9.296139
1417	1522.026592	38.580209	-1.847104	3.589821	9.617746
1419	1524.112838	38.834098	-1.928476	3.588973	9.564799
1421	1526.198622	39.036210	-1.913675	3.588313	9.619964
1423	1528.285182	39.346213	-1.908128	3.588145	10.134493
1425	1530.370001	39.524601	-1.922010	3.587844	9.962100
1427	1532.453873	39.763150	-1.918233	3.588614	10.061248
1429	1534.540349	40.003261	-1.930541	3.588714	10.059439
1431	1536.624408	40.244969	-1.936855	3.588841	10.294870
1433	1538.707962	40.254132	-2.036713	3.582452	11.094513
1435	1540.792533	40.734910	-1.940781	3.589486	10.775265
1437	1542.877110	41.015355	-1.953597	3.589255	11.101478
1439	1544.960698	41.250466	-1.948407	3.589816	10.974275
1441	1547.044543	41.507101	-1.957967	3.589307	10.802815
1443	1549.127720	41.911117	-1.936611	3.589832	11.179828
1445	1551.211786	41.902240	-1.991584	3.588641	10.970323
1447	1553.295061	42.257705	-1.961040	3.588067	10.990583
1449	1555.377784	42.471569	-1.980632	3.586769	11.536590
1451	1557.459878	42.708231	-1.979482	3.585919	11.419777
1453	1559.542020	42.870180	-2.144027	3.578787	11.768338
1455	1561.624402	42.781834	1.753466	3.562189	11.023242
1457	1563.709182	43.079217	-2.074448	3.584462	11.966459
1459	1565.791761	43.951614	-2.132303	3.576713	11.845322
1461	1567.875661	43.301308	-2.093962	3.577604	12.080919
1463	1569.959306	43.779144	-2.100616	3.577885	12.003032
1465	1572.043079	44.008151	-2.015451	3.584555	12.645508
1467	1574.127651	44.349781	-1.959868	3.589348	12.504172
1469	1576.211471	44.452107	-2.053332	3.584893	12.420039
1471	1578.296215	44.699605	-1.995245	3.588801	12.587316
1473	1580.380842	45.210215	-2.109534	3.576503	12.937462
1475	1582.465382	44.934033	-2.064998	3.584987	12.925015
1477	1584.549935	45.191794	-2.046562	3.581759	13.040074
1479	1586.633832	45.329629	-2.069879	3.584625	12.871073
1481	1588.718800	45.609339	-2.057607	3.586527	12.966403
1483	1590.804471	46.405847	-2.155350	3.576326	13.353706
1485	1592.889321	45.928453	-2.078983	3.583600	12.985063
1487	1594.974451	45.855817	-2.209047	3.578840	13.542830
1489	1597.060660	46.258542	-2.096866	3.582975	13.549940
1491	1599.145938	46.433911	-2.089755	3.583119	13.172429
1493	1601.231524	46.539753	-2.105765	3.583021	13.654405
1495	1603.315223	47.068862	-2.335406	3.575431	14.073876
1497	1605.400903	46.938322	-2.128518	3.583089	14.483845
1499	1607.485816	46.649252	0.200349	3.573912	14.305417
1501	1609.569855	47.247908	-2.233345	3.582998	15.173732
1503	1611.655290	47.284202	-2.226196	3.584017	14.687738
1505	1613.739346	47.614465	-2.173043	3.583370	14.190848
1507	1615.822405	47.792182	-2.174781	3.583052	14.719232
1509	1617.907194	47.577089	-2.312170	3.576981	14.484062
1511	1619.990994	48.057965	-2.184365	3.583162	14.719079
