time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
1493.059974	32.315830	0.019714	1.639240	108
1494.100638	32.539078	0.019735	1.648785	109
1495.142306	34.320457	0.019716	1.740743	110
1496.185311	32.871914	0.019696	1.668962	111
1497.227852	33.714809	0.019735	1.708369	112
1498.271000	32.933056	0.019742	1.668159	113
1499.314237	34.179771	0.019722	1.733063	114
1500.360663	31.666424	0.019656	1.611065	115
1501.398273	34.025696	0.019722	1.725252	116
1502.439980	33.530602	0.019700	1.702076	117
1503.486655	33.465717	0.019687	1.699928	118
1504.526904	33.561008	0.019725	1.701473	119
1505.568682	33.770386	0.019683	1.715744	120
1506.610478	33.221355	0.019669	1.689040	121
1507.655930	33.775433	0.019717	1.713050	122
1508.694878	33.397930	0.019649	1.699698	123
1509.740735	34.541348	0.019642	1.758556	124
1510.777446	33.769932	0.019706	1.713656	125
1511.827752	33.567474	0.019681	1.705563	126
1512.861891	34.266651	0.019680	1.741209	127
1513.910998	34.182144	0.019648	1.739710	128
1514.945051	34.266716	0.019677	1.741494	129
1516.000427	34.106869	0.019715	1.729958	130
1517.028596	34.986652	0.019714	1.774686	131
1518.088030	33.373089	0.019676	1.696140	132
1519.115951	34.210167	0.019640	1.741818	133
1520.175123	31.403112	0.019680	1.595724	134
1521.194197	35.105938	0.019673	1.784514	135
1522.259493	33.451130	0.019629	1.704165	136
1523.277265	35.422966	0.019710	1.797232	137
1524.346802	33.039963	0.019673	1.679429	138
1525.361209	34.902584	0.019687	1.772867	139
1526.431265	32.000618	0.019668	1.627061	140
1527.445074	34.834850	0.019668	1.771178	141
1528.518991	33.203770	0.019670	1.688062	142
1529.529369	34.007092	0.019642	1.731326	143
1530.603261	32.753353	0.019691	1.663360	144
1531.613781	34.784664	0.019705	1.765294	145
1532.687194	32.961868	0.019645	1.677886	146
1533.697512	35.084782	0.019680	1.782728	147
1534.774448	30.649851	0.019693	1.556360	148
1535.783089	34.805016	0.019681	1.768471	149
1536.857578	32.741554	0.019644	1.666757	150
1537.868508	34.734306	0.019668	1.766060	151
1538.941476	33.148659	0.019672	1.685043	152
1539.951988	35.018501	0.019703	1.777319	153
1541.025974	32.996510	0.019682	1.676456	154
1542.031449	35.337486	0.019706	1.793225	155
1543.110242	33.653740	0.019710	1.707464	156
1544.121882	34.890347	0.019674	1.773387	157
1545.193945	33.026268	0.019681	1.678116	158
1546.206090	35.038338	0.019703	1.778313	159
