crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	7.863117	4269	0.000000
281474976710655.000000	7.255373	4270	4531803136.000000
281474976710655.000000	7.279647	4271	4532848640.000000
281474976710655.000000	7.157050	4272	4533884928.000000
281474976710655.000000	7.478556	4273	4534933504.000000
281474976710655.000000	7.687281	4274	4535974400.000000
281474976710655.000000	7.707287	4275	4537013760.000000
281474976710655.000000	7.653849	4276	4538055680.000000
281474976710655.000000	8.076773	4277	4539098112.000000
281474976710655.000000	7.645099	4278	4540140032.000000
281474976710655.000000	7.594941	4279	4541183488.000000
281474976710655.000000	7.969329	4280	4542221312.000000
281474976710655.000000	8.357939	4281	4543269376.000000
281474976710655.000000	8.132728	4282	4544299008.000000
281474976710655.000000	7.850516	4283	4545357824.000000
281474976710655.000000	8.076650	4284	4546376704.000000
281474976710655.000000	7.816728	4285	4547444736.000000
281474976710655.000000	8.031409	4286	4548458496.000000
281474976710655.000000	8.247280	4287	4549530112.000000
281474976710655.000000	8.417114	4288	4550538240.000000
281474976710655.000000	8.206152	4289	4551614464.000000
281474976710655.000000	8.289907	4290	4552623104.000000
281474976710655.000000	8.181622	4291	4553697280.000000
281474976710655.000000	8.230511	4292	4554707456.000000
281474976710655.000000	8.643463	4293	4555779584.000000
281474976710655.000000	8.684649	4294	4556789248.000000
281474976710655.000000	8.225959	4295	4557859840.000000
281474976710655.000000	8.480516	4296	4558876160.000000
281474976710655.000000	9.089109	4297	4559943680.000000
281474976710655.000000	8.298532	4298	4560961536.000000
281474976710655.000000	8.457055	4299	4562024448.000000
281474976710655.000000	9.078932	4300	4563046400.000000
281474976710655.000000	8.818967	4301	4564107264.000000
281474976710655.000000	8.263941	4302	4565129216.000000
281474976710655.000000	8.956801	4303	4566190592.000000
281474976710655.000000	8.873924	4304	4567212544.000000
281474976710655.000000	9.094844	4305	4568274432.000000
281474976710655.000000	8.887492	4306	4569295360.000000
281474976710655.000000	9.192345	4307	4570359808.000000
281474976710655.000000	9.418132	4308	4571378176.000000
281474976710655.000000	9.022494	4309	4572444672.000000
281474976710655.000000	8.851503	4310	4573460480.000000
281474976710655.000000	9.450766	4311	4574529536.000000
281474976710655.000000	9.562936	4312	4575541248.000000
281474976710655.000000	8.878007	4313	4576613376.000000
281474976710655.000000	9.369784	4314	4577626624.000000
281474976710655.000000	9.449265	4315	4578696704.000000
281474976710655.000000	9.557651	4316	4579707392.000000
281474976710655.000000	9.491936	4317	4580782080.000000
281474976710655.000000	9.618173	4318	4581790720.000000
281474976710655.000000	9.298292	4319	4582862848.000000
281474976710655.000000	9.742064	4320	4583874048.000000
281474976710655.000000	9.594292	4321	4584942080.000000
281474976710655.000000	9.458768	4322	4585964544.000000
281474976710655.000000	10.451433	4323	4587023872.000000
281474976710655.000000	9.740961	4324	4588050432.000000
281474976710655.000000	9.892076	4325	4589102080.000000
281474976710655.000000	9.790030	4326	4590137344.000000
281474976710655.000000	10.066706	4327	4591183360.000000
281474976710655.000000	9.867773	4328	4592223232.000000
281474976710655.000000	10.107240	4329	4593266688.000000
281474976710655.000000	9.923913	4330	4594306560.000000
281474976710655.000000	10.357569	4331	4595348480.000000
281474976710655.000000	9.965897	4332	4596389376.000000
281474976710655.000000	10.582550	4333	4597432320.000000
281474976710655.000000	10.498755	4334	4598473216.000000
281474976710655.000000	10.568094	4335	4599517184.000000
281474976710655.000000	10.158903	4336	4600554496.000000
281474976710655.000000	10.218110	4337	4601600512.000000
281474976710655.000000	10.254390	4338	4602637312.000000
281474976710655.000000	10.589086	4339	4603685376.000000
281474976710655.000000	10.566486	4340	4604720128.000000
281474976710655.000000	11.139462	4341	4605768192.000000
281474976710655.000000	10.601724	4342	4606803968.000000
