num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
4267	4527.517684	34.405952	-2.318478	0.482127	7.217960
4269	4529.603399	34.320563	-2.321421	0.481753	7.546683
4271	4531.689965	34.390880	-2.336526	0.473498	8.226795
4273	4533.771727	34.156347	3.484580	0.479414	7.290481
4275	4535.860960	34.655432	-2.286306	0.476079	7.314054
4277	4537.942741	34.652801	2.993867	0.467889	7.464813
4279	4540.026906	35.282534	3.126915	0.470275	8.197670
4281	4542.108291	35.526574	2.603540	0.478532	7.305418
4283	4544.186377	36.160995	-2.297317	0.484551	9.092045
4285	4546.264142	35.936636	-2.198678	0.492747	8.041549
4287	4548.345450	36.104136	-2.339801	0.485593	7.942905
4289	4550.425065	36.722170	3.311777	0.469606	8.070780
4291	4552.509810	36.211415	-2.455238	0.482347	8.369662
4293	4554.594545	36.692111	3.110095	0.485862	8.256253
4295	4556.676080	36.439553	3.061423	0.480184	8.332058
4297	4558.762947	36.780201	-2.274278	0.494688	8.146769
4299	4560.848533	37.193335	-4.167447	0.485840	9.337259
4301	4562.933091	37.053555	3.407933	0.493931	8.533241
4303	4565.015900	37.426160	-2.286409	0.497140	9.326507
4305	4567.099433	37.661629	-2.291788	0.497080	9.328808
4307	4569.182394	38.044824	-2.288948	0.490336	9.150246
4309	4571.265040	38.561512	-2.267010	0.503583	9.579291
4311	4573.347507	38.510230	-6.499490	0.497550	8.831183
4313	4575.427881	39.174439	-2.306893	0.507844	9.991021
4315	4577.513409	39.884432	-2.984118	0.501614	8.805470
4317	4579.594243	39.067179	2.981561	0.482184	9.700222
4319	4581.677317	38.758882	-2.304477	0.491278	9.295592
4321	4583.761071	38.868407	3.581085	0.482547	9.379582
4323	4585.850698	39.344992	-2.351409	0.495296	9.815805
4325	4587.937398	39.399601	-2.372519	0.496015	10.374977
4327	4590.024281	39.661077	-2.398514	0.496373	9.982113
4329	4592.110003	39.988143	-2.393355	0.496609	9.916994
4331	4594.193479	40.781886	-2.218217	0.507506	10.169373
4333	4596.276274	40.425953	-6.186149	0.520938	10.547183
4335	4598.359884	40.640606	-2.371458	0.498145	10.825521
4337	4600.441588	41.270643	-2.248470	0.510963	10.773391
4339	4602.524302	40.903605	0.474324	0.487029	10.123706
4341	4604.607184	41.194604	-2.294582	0.500760	10.540960
4343	4606.690934	41.492422	-2.290599	0.509178	11.225264
4345	4608.772441	41.938060	-2.284335	0.502418	10.701865
4347	4610.858276	42.720904	-2.291203	0.514721	10.795762
4349	4612.942951	41.492343	-2.380754	0.456783	11.550760
4351	4615.026784	42.717591	3.130906	0.504811	11.017928
4353	4617.111498	42.675085	3.192603	0.503153	10.748218
4355	4619.194167	42.585222	-2.270101	0.503724	11.654838
4357	4621.278038	43.262520	2.890235	0.506179	11.889399
4359	4623.359369	43.271016	-2.319249	0.503630	11.445369
4361	4625.440143	43.761729	3.037761	0.503182	12.010974
4363	4627.519676	44.206895	3.168487	0.507794	12.187322
4365	4629.599866	43.932302	-2.303774	0.516234	12.217152
4367	4631.682112	44.513481	-2.138710	0.522443	12.305958
4369	4633.763821	44.376790	-2.383389	0.509021	12.476628
4371	4635.846484	45.487432	-2.234205	0.518221	12.503492
4373	4637.931439	45.186334	-2.140373	0.526189	12.420478
4375	4640.014858	44.988435	-2.366416	0.508399	12.618818
4377	4642.098000	45.647907	4.154375	0.515447	12.901127
4379	4644.182627	45.286190	-2.317047	0.518855	12.613978
4381	4646.266262	45.492704	-2.328875	0.518909	12.890819
4383	4648.349775	45.986631	-2.251491	0.524874	13.251137
4385	4650.433898	45.480659	-1.013217	0.498086	13.670455
4387	4652.516183	46.194439	-2.425918	0.507136	13.382150
4389	4654.597727	47.062595	3.380254	0.505451	13.305579
4391	4656.681858	46.521372	-2.402495	0.508926	14.174706
4393	4658.765751	48.176598	-2.396516	0.523994	13.758711
