time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
3465.882600	33.645596	0.019611	1.715655	204
3466.899576	37.120499	0.019586	1.895293	205
3467.967987	32.642933	0.019589	1.666374	206
3468.980208	35.101364	0.019593	1.791491	207
3470.049755	32.622105	0.019606	1.663900	208
3471.065971	36.631050	0.019559	1.872815	209
3472.136236	34.919075	0.019594	1.782090	210
3473.148845	36.878742	0.019590	1.882572	211
3474.218605	35.506096	0.019562	1.815068	212
3475.236681	38.697670	0.019549	1.979496	213
3476.304418	33.666977	0.019634	1.714724	214
3477.317310	36.450310	0.019588	1.860862	215
3478.393265	36.022976	0.019558	1.841840	216
3479.400939	37.611446	0.019531	1.925727	217
3480.475185	35.067982	0.019596	1.789547	218
3481.486318	38.306381	0.019587	1.955739	219
3482.561862	36.189465	0.019614	1.845098	220
3483.569265	39.578594	0.019590	2.020317	221
3484.645499	37.074314	0.019625	1.889111	222
3485.653134	40.322411	0.019583	2.059057	223
3486.729365	36.340912	0.019609	1.853271	224
3487.741040	39.554157	0.019623	2.015750	225
3488.811393	37.977604	0.019562	1.941406	226
3489.827757	40.748463	0.019659	2.072813	227
3490.896391	39.234375	0.019626	1.999084	228
3491.916608	41.111446	0.019591	2.098448	229
3492.974988	38.690044	0.019620	1.971964	230
3494.003993	39.792866	0.019577	2.032647	231
3495.056191	39.704464	0.019592	2.026518	232
3496.089776	39.859161	0.019604	2.033200	233
3497.137602	40.425404	0.019646	2.057656	234
3498.178233	40.548615	0.019587	2.070205	235
3499.219985	41.194954	0.019587	2.103136	236
3500.263886	39.968868	0.019586	2.040725	237
3501.305342	41.179615	0.019600	2.101029	238
3502.348824	40.282635	0.019639	2.051166	239
3503.389837	41.570625	0.019577	2.123450	240
3504.430454	40.959698	0.019595	2.090309	241
3505.472660	41.833263	0.019583	2.136252	242
3506.514627	41.587761	0.019551	2.127192	243
3507.560745	41.776760	0.019564	2.135405	244
3508.600738	42.117928	0.019621	2.146611	245
3509.644218	43.024975	0.019624	2.192460	246
3510.682448	42.972984	0.019638	2.188304	247
3511.727538	42.219730	0.019610	2.152991	248
3512.766056	42.320835	0.019585	2.160866	249
3513.809804	42.498707	0.019589	2.169483	250
3514.851042	43.095615	0.019619	2.196625	251
3515.897351	43.770283	0.019588	2.234518	252
3516.937100	43.823620	0.019578	2.238453	253
3517.979852	44.133789	0.019583	2.253684	254
3519.022708	43.302101	0.019579	2.211668	255
3520.063254	44.637207	0.019615	2.275700	0
3521.107877	42.308475	0.019583	2.160517	1
3522.147187	44.477337	0.019588	2.270648	2
3523.193323	44.033043	0.019621	2.244209	3
3524.232935	45.500347	0.019619	2.319219	4
3525.275194	43.933411	0.019598	2.241716	5
3526.318853	44.806675	0.019604	2.285620	6
3527.360879	44.851349	0.019562	2.292819	7
3528.405376	45.721092	0.019580	2.335046	8
3529.440774	45.809612	0.019575	2.340218	9
3530.491073	44.815807	0.019586	2.288196	10
3531.521635	46.246693	0.019636	2.355170	11
3532.577550	45.195255	0.019618	2.303773	12
3533.604268	46.412075	0.019551	2.373839	13
3534.666320	45.056534	0.019581	2.301087	14
3535.683946	47.450832	0.019574	2.424221	15
3536.751643	44.389309	0.019543	2.271370	16
3537.767566	46.946003	0.019536	2.402995	17
3538.836487	44.872818	0.019588	2.290788	18
3539.850604	46.781231	0.019563	2.391300	19
3540.921371	45.292938	0.019585	2.312643	20
3541.934939	47.569122	0.019605	2.426379	21
3543.005666	44.360928	0.019548	2.269371	22
