crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	6.858701	3275	0.000000
281474976710655.000000	7.095747	3276	3465876992.000000
281474976710655.000000	6.438204	3277	3466895104.000000
281474976710655.000000	7.382888	3278	3467961344.000000
281474976710655.000000	7.546185	3279	3468973824.000000
281474976710655.000000	6.943435	3280	3470044672.000000
281474976710655.000000	6.961419	3281	3471060736.000000
281474976710655.000000	8.009697	3282	3472131072.000000
281474976710655.000000	7.051980	3283	3473144064.000000
281474976710655.000000	7.578310	3284	3474213120.000000
281474976710655.000000	7.554734	3285	3475231232.000000
281474976710655.000000	7.451859	3286	3476298496.000000
281474976710655.000000	7.549019	3287	3477312512.000000
281474976710655.000000	7.811471	3288	3478387968.000000
281474976710655.000000	7.912766	3289	3479395840.000000
281474976710655.000000	7.895766	3290	3480470016.000000
281474976710655.000000	7.536687	3291	3481479936.000000
281474976710655.000000	8.141078	3292	3482556928.000000
281474976710655.000000	8.211166	3293	3483564032.000000
281474976710655.000000	8.203909	3294	3484640512.000000
281474976710655.000000	8.314607	3295	3485647616.000000
281474976710655.000000	8.743913	3296	3486724096.000000
281474976710655.000000	8.594878	3297	3487735296.000000
281474976710655.000000	8.371199	3298	3488806144.000000
281474976710655.000000	8.484058	3299	3489823232.000000
281474976710655.000000	8.782904	3300	3490888960.000000
281474976710655.000000	9.093225	3301	3491910144.000000
281474976710655.000000	9.340751	3302	3492968960.000000
281474976710655.000000	9.007632	3303	3493998592.000000
281474976710655.000000	9.151065	3304	3495051008.000000
281474976710655.000000	9.119276	3305	3496085504.000000
281474976710655.000000	8.940415	3306	3497131520.000000
281474976710655.000000	8.874176	3307	3498172928.000000
281474976710655.000000	9.643066	3308	3499214336.000000
281474976710655.000000	9.675069	3309	3500257280.000000
281474976710655.000000	9.154136	3310	3501299968.000000
281474976710655.000000	9.630617	3311	3502342656.000000
281474976710655.000000	9.536903	3312	3503384320.000000
281474976710655.000000	9.861275	3313	3504425216.000000
281474976710655.000000	9.645849	3314	3505467392.000000
281474976710655.000000	9.702920	3315	3506509312.000000
281474976710655.000000	9.768974	3316	3507554816.000000
281474976710655.000000	10.006419	3317	3508594688.000000
281474976710655.000000	9.981062	3318	3509639680.000000
281474976710655.000000	10.363286	3319	3510677760.000000
281474976710655.000000	10.352386	3320	3511723520.000000
281474976710655.000000	10.349375	3321	3512760832.000000
281474976710655.000000	10.636730	3322	3513807616.000000
281474976710655.000000	10.388450	3323	3514846208.000000
281474976710655.000000	10.220269	3324	3515892224.000000
281474976710655.000000	10.583611	3325	3516931584.000000
281474976710655.000000	11.255747	3326	3517974528.000000
281474976710655.000000	10.963922	3327	3519017216.000000
281474976710655.000000	10.825095	3328	3520058368.000000
281474976710655.000000	10.876333	3329	3521102592.000000
281474976710655.000000	11.099564	3330	3522140928.000000
281474976710655.000000	10.804307	3331	3523187200.000000
281474976710655.000000	11.118582	3332	3524228096.000000
281474976710655.000000	11.782013	3333	3525269504.000000
281474976710655.000000	11.307463	3334	3526312704.000000
281474976710655.000000	11.189073	3335	3527353088.000000
281474976710655.000000	11.802503	3336	3528399104.000000
281474976710655.000000	12.047177	3337	3529435136.000000
281474976710655.000000	11.791541	3338	3530485760.000000
281474976710655.000000	12.012764	3339	3531516928.000000
281474976710655.000000	12.231628	3340	3532572672.000000
281474976710655.000000	12.505020	3341	3533597696.000000
