num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
4437	4704.402527	33.687527	-1.746724	3.578154	7.328869
4439	4706.481784	33.781752	-1.741761	3.582165	6.407528
4441	4708.556948	34.478779	-1.552532	3.576297	7.374814
4443	4710.634153	34.235913	2.048815	3.588011	7.158247
4445	4712.723306	33.837252	2.155049	3.585870	6.585910
4447	4714.814130	34.079641	-1.729725	3.589538	7.691589
4449	4716.905227	34.360773	2.296840	3.560458	7.459308
4451	4718.982427	34.605005	3.615709	3.581017	7.983969
4453	4721.061083	35.084196	-1.749068	3.594231	7.787591
4455	4723.138138	37.279322	2.540707	3.572479	6.728814
4457	4725.220000	35.608169	-1.754363	3.582931	8.105232
4459	4727.303207	35.434095	-1.746035	3.594056	7.427511
4461	4729.389499	35.428871	-1.805773	3.591438	7.222402
4463	4731.473651	35.605641	3.699344	3.575220	8.156915
4465	4733.557479	35.971610	2.247359	3.589400	7.366252
4467	4735.640632	36.221386	-1.816497	3.593299	8.458052
4469	4737.722829	36.646468	3.742329	3.582237	8.222958
4471	4739.804944	37.454861	2.863829	3.580162	8.431517
4473	4741.884606	37.254489	3.050745	3.591816	8.360413
4475	4743.970021	36.841940	-1.888509	3.592778	8.412002
4477	4746.056550	37.320352	2.470843	3.588793	8.204384
4479	4748.143740	37.138801	-1.830714	3.603233	8.996169
4481	4750.234254	37.539981	2.778662	3.590341	8.602771
4483	4752.318578	38.636267	3.063381	3.583913	9.453345
4485	4754.398581	38.319534	-1.917375	3.603324	8.850705
4487	4756.474954	38.432056	2.467446	3.592815	9.093568
4489	4758.554977	38.500252	2.964756	3.587108	8.512084
4491	4760.636590	39.025883	-2.005314	3.594870	8.885145
4493	4762.723345	39.404834	-0.653026	3.597602	9.267599
4495	4764.812876	38.619448	2.647411	3.585250	9.554906
4497	4766.900511	39.216826	2.766767	3.591512	9.420239
4499	4768.984496	39.524950	2.696069	3.590057	9.892060
4501	4771.068159	39.640062	-1.867601	3.608759	9.663829
4503	4773.151537	39.972309	-1.857178	3.608623	10.011496
4505	4775.235214	40.140257	-1.952598	3.596984	9.973027
4507	4777.318546	39.750828	2.240311	3.595796	10.082397
4509	4779.401810	41.049222	2.915258	3.580613	10.338271
4511	4781.485510	40.730646	2.761737	3.590088	10.944440
4513	4783.566659	41.430490	-2.027145	3.595533	10.662283
4515	4785.647797	40.250355	-1.648254	3.602146	10.075875
4517	4787.725429	42.060226	-1.921326	3.599640	10.125153
4519	4789.804315	41.542956	-1.789241	3.607155	10.128629
4521	4791.886812	41.712293	-2.030565	3.613094	10.799065
4523	4793.971979	41.869963	-1.881477	3.603516	11.191577
4525	4796.060711	41.883493	-1.916253	3.609572	11.129777
4527	4798.148932	42.081051	-1.927016	3.607108	10.678087
4529	4800.234741	42.607065	0.595385	3.611191	11.795774
4531	4802.317883	42.663633	-1.979886	3.606842	11.814454
4533	4804.397192	43.002088	1.995110	3.601872	11.486809
4535	4806.477817	43.267686	-1.969007	3.614195	11.210307
4537	4808.555422	43.399410	-1.952748	3.614349	11.450364
4539	4810.639096	43.890234	-1.943896	3.618017	11.710692
4541	4812.721847	43.950468	-1.946353	3.608045	11.506752
4543	4814.804505	44.148446	-1.933594	3.620459	12.075840
4545	4816.889303	44.382052	4.689961	3.596100	12.711231
4547	4818.972030	44.839366	-2.024953	3.609169	12.799811
4549	4821.056080	44.848795	0.002497	3.615394	12.350795
4551	4823.139976	45.178925	2.901048	3.606693	12.719294
4553	4825.226656	45.815712	3.183613	3.599433	12.662696
4555	4827.312676	45.433631	3.963846	3.605323	12.441345
4557	4829.398388	45.552674	-2.020316	3.620775	13.117632
4559	4831.485449	45.749496	-2.044283	3.623282	13.014582
4561	4833.570015	46.476161	3.368093	3.612079	12.768462
