crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	7.317426	4439	4707618816.000000
281474976710655.000000	7.652553	4440	4708669440.000000
281474976710655.000000	7.629587	4441	4709709824.000000
281474976710655.000000	6.923538	4442	4710746624.000000
281474976710655.000000	6.882072	4443	4711793664.000000
281474976710655.000000	7.704204	4444	4712837120.000000
281474976710655.000000	7.634313	4445	4713865728.000000
281474976710655.000000	7.355050	4446	4714927616.000000
281474976710655.000000	7.359449	4447	4715941376.000000
281474976710655.000000	7.358267	4448	4717019136.000000
281474976710655.000000	7.466229	4449	4718026752.000000
281474976710655.000000	7.390598	4450	4719095296.000000
281474976710655.000000	7.769394	4451	4720112640.000000
281474976710655.000000	7.391948	4452	4721174016.000000
281474976710655.000000	7.139175	4453	4722204672.000000
281474976710655.000000	7.848285	4454	4723250688.000000
281474976710655.000000	8.288185	4455	4724292608.000000
281474976710655.000000	7.474790	4456	4725332992.000000
281474976710655.000000	7.661525	4457	4726373376.000000
281474976710655.000000	8.132607	4458	4727416320.000000
281474976710655.000000	7.560117	4459	4728457216.000000
281474976710655.000000	7.982462	4460	4729502720.000000
281474976710655.000000	8.388118	4461	4730540032.000000
281474976710655.000000	7.817250	4462	4731586560.000000
281474976710655.000000	7.724412	4463	4732620800.000000
281474976710655.000000	8.217117	4464	4733670400.000000
281474976710655.000000	8.520842	4465	4734704640.000000
281474976710655.000000	8.273654	4466	4735753728.000000
281474976710655.000000	8.263756	4467	4736789504.000000
281474976710655.000000	8.580679	4468	4737836032.000000
281474976710655.000000	8.427603	4469	4738872320.000000
281474976710655.000000	8.090302	4470	4739918336.000000
281474976710655.000000	8.399054	4471	4740958720.000000
281474976710655.000000	9.071669	4472	4741997568.000000
281474976710655.000000	8.361286	4473	4743042048.000000
281474976710655.000000	8.406048	4474	4744082944.000000
281474976710655.000000	8.141160	4475	4745125888.000000
281474976710655.000000	8.778185	4476	4746169856.000000
281474976710655.000000	9.075370	4477	4747202560.000000
281474976710655.000000	8.792349	4478	4748256768.000000
281474976710655.000000	8.447277	4479	4749280256.000000
281474976710655.000000	8.992736	4480	4750347776.000000
281474976710655.000000	9.398898	4481	4751360000.000000
281474976710655.000000	8.872392	4482	4752431616.000000
281474976710655.000000	8.882392	4483	4753443328.000000
281474976710655.000000	8.961763	4484	4754511872.000000
281474976710655.000000	9.174640	4485	4755534336.000000
281474976710655.000000	9.460528	4486	4756587520.000000
281474976710655.000000	8.741449	4487	4757624320.000000
