crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	10.377441	1223	0.000000
281474976710655.000000	9.562105	1224	0.000000
281474976710655.000000	9.765174	1225	0.000000
281474976710655.000000	10.152123	1226	0.000000
281474976710655.000000	10.319217	1227	0.000000
281474976710655.000000	9.550105	1228	1325660416.000000
281474976710655.000000	9.720903	1229	1326673408.000000
281474976710655.000000	9.935865	1230	1327748864.000000
281474976710655.000000	9.956299	1231	1328758912.000000
281474976710655.000000	9.870317	1232	1329833472.000000
281474976710655.000000	10.098834	1233	1330843008.000000
281474976710655.000000	10.891654	1234	1331918208.000000
281474976710655.000000	11.038347	1235	1332928256.000000
281474976710655.000000	10.254519	1236	1333999616.000000
281474976710655.000000	10.165271	1237	1335016832.000000
281474976710655.000000	10.882331	1238	1336083328.000000
281474976710655.000000	10.941904	1239	1337101312.000000
281474976710655.000000	10.129499	1240	1338165760.000000
281474976710655.000000	10.418046	1241	1339188224.000000
281474976710655.000000	11.397379	1242	1340250624.000000
281474976710655.000000	10.555941	1243	1341273984.000000
281474976710655.000000	10.625968	1244	1342331904.000000
281474976710655.000000	11.622623	1245	1343358208.000000
281474976710655.000000	11.477557	1246	1344414848.000000
281474976710655.000000	10.659666	1247	1345441920.000000
281474976710655.000000	10.684402	1248	1346504320.000000
281474976710655.000000	11.097762	1249	1347526016.000000
281474976710655.000000	11.247166	1250	1348587392.000000
281474976710655.000000	11.334408	1251	1349610240.000000
281474976710655.000000	11.608403	1252	1350675328.000000
281474976710655.000000	11.595396	1253	1351691904.000000
281474976710655.000000	11.383729	1254	1352761344.000000
281474976710655.000000	11.435789	1255	1353776640.000000
281474976710655.000000	12.188192	1256	1354846464.000000
281474976710655.000000	11.899534	1257	1355859200.000000
281474976710655.000000	11.251921	1258	1356930816.000000
281474976710655.000000	11.575368	1259	1357944576.000000
281474976710655.000000	11.822478	1260	1359014912.000000
281474976710655.000000	11.530624	1261	1360029824.000000
281474976710655.000000	12.383326	1262	1361096320.000000
281474976710655.000000	12.103011	1263	1362116096.000000
281474976710655.000000	12.183176	1264	1363178752.000000
281474976710655.000000	12.059458	1265	1364203776.000000
281474976710655.000000	12.120802	1266	1365257472.000000
281474976710655.000000	11.835354	1267	1366292480.000000
281474976710655.000000	12.483466	1268	1367339776.000000
281474976710655.000000	11.790216	1269	1368378240.000000
281474976710655.000000	12.646104	1270	1369423232.000000
281474976710655.000000	12.274717	1271	1370464384.000000
281474976710655.000000	12.731804	1272	1371506048.000000
281474976710655.000000	12.622563	1273	1372548992.000000
281474976710655.000000	12.541120	1274	1373590912.000000
281474976710655.000000	12.889975	1275	1374631808.000000
281474976710655.000000	12.371284	1276	1375676800.000000
281474976710655.000000	12.144580	1277	1376714752.000000
281474976710655.000000	13.141619	1278	1377762176.000000
281474976710655.000000	13.135343	1279	1378798592.000000
281474976710655.000000	12.915664	1280	1379847552.000000
281474976710655.000000	13.120145	1281	1380882176.000000
281474976710655.000000	13.148063	1282	1381931520.000000
281474976710655.000000	13.384515	1283	1382964864.000000
281474976710655.000000	13.732840	1284	1384016768.000000
281474976710655.000000	12.444004	1285	1385048960.000000
281474976710655.000000	13.669741	1286	1386100864.000000
281474976710655.000000	13.256854	1287	1387134848.000000
281474976710655.000000	13.793774	1288	1388182656.000000
281474976710655.000000	13.373584	1289	1389218944.000000
281474976710655.000000	12.992483	1290	1390266368.000000
281474976710655.000000	13.159792	1291	1391303424.000000
281474976710655.000000	14.050535	1292	1392348800.000000
281474976710655.000000	14.204733	1293	1393389568.000000
281474976710655.000000	13.882369	1294	1394433920.000000
281474976710655.000000	13.301977	1295	1395474176.000000
281474976710655.000000	13.948906	1296	1396515584.000000
281474976710655.000000	13.347307	1297	1397558144.000000
281474976710655.000000	14.027491	1298	1398601344.000000
281474976710655.000000	14.631685	1299	1399641216.000000
281474976710655.000000	13.888656	1300	1400685696.000000
281474976710655.000000	13.644087	1301	1401724800.000000
281474976710655.000000	14.437203	1302	1402772096.000000
281474976710655.000000	13.836870	1303	1403805312.000000
281474976710655.000000	14.327532	1304	1404858752.000000
281474976710655.000000	14.048648	1305	1405887104.000000
281474976710655.000000	14.086456	1306	1406946560.000000
281474976710655.000000	14.503936	1307	1407967616.000000
281474976710655.000000	14.222766	1308	1409032192.000000
281474976710655.000000	14.049823	1309	1410050560.000000
281474976710655.000000	14.531765	1310	1411116288.000000
281474976710655.000000	15.100773	1311	1412134528.000000
281474976710655.000000	14.534334	1312	1413202048.000000
281474976710655.000000	14.542905	1313	1414218368.000000
281474976710655.000000	15.513419	1314	1415284480.000000
281474976710655.000000	14.818396	1315	1416302720.000000
281474976710655.000000	14.328968	1316	1417368704.000000
281474976710655.000000	14.685574	1317	1418387456.000000
281474976710655.000000	14.978354	1318	1419451520.000000
281474976710655.000000	15.152279	1319	1420472448.000000
281474976710655.000000	15.298705	1320	1421534848.000000
281474976710655.000000	15.082403	1321	1422556544.000000
281474976710655.000000	15.410911	1322	1423618816.000000
