num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2965	3138.965151	30.190661	-0.904251	0.414293	6.039417
2967	3141.050247	30.146960	-0.929435	0.414679	6.436912
2969	3143.132263	30.178417	-0.934140	0.414835	6.209317
2971	3145.218611	30.500353	-0.945465	0.415173	5.696583
2973	3147.306609	30.810440	-0.939512	0.415179	6.423213
2975	3149.387125	31.097887	-0.951023	0.420883	5.702325
2977	3151.472229	31.335847	-0.955870	0.419836	6.339652
2979	3153.557879	31.738679	-0.955199	0.415847	6.676523
2981	3155.643508	32.052260	-0.960148	0.415173	6.143792
2983	3157.724475	32.370631	-0.963950	0.415217	6.488248
2985	3159.809499	32.435017	-4.770780	0.433563	7.071355
2987	3161.894437	32.992270	-0.990620	0.414054	7.454757
2989	3163.978276	33.266063	-0.988361	0.413630	7.260649
2991	3166.061910	33.344910	-1.150945	0.408381	7.367070
2993	3168.145291	33.953136	-1.004939	0.413562	7.307301
2995	3170.229078	34.290847	-1.005108	0.413791	7.795423
2997	3172.311337	34.250235	-6.234853	0.435827	7.975924
2999	3174.393464	35.039394	-1.030431	0.416440	8.462173
3001	3176.477260	35.303482	-0.962643	0.420199	8.298586
3003	3178.558165	35.654944	-1.019140	0.420454	8.965250
3005	3180.640527	35.980939	-1.031323	0.421106	8.666547
3007	3182.725256	36.289111	-1.044684	0.421715	8.508713
3009	3184.808049	36.639886	-1.101337	0.414100	9.067351
3011	3186.891945	37.364437	-1.036886	0.420829	8.892701
3013	3188.976453	37.191237	-1.020794	0.424997	8.908315
3015	3191.061510	37.593517	-1.122742	0.413437	8.894335
3017	3193.144271	37.886978	-1.090379	0.420926	9.613144
3019	3195.229376	38.169284	-1.105496	0.421250	9.583818
3021	3197.314554	38.512364	-1.117781	0.421538	9.503923
3023	3199.398222	38.666698	-1.207292	0.419955	10.427300
3025	3201.483742	38.877597	-1.242754	0.417796	10.357813
3027	3203.569590	39.384041	-1.222209	0.418487	10.302949
3029	3205.651933	39.800490	-1.145639	0.421543	10.225772
3031	3207.738627	40.159884	-1.131267	0.416409	11.026054
3033	3209.824237	40.250884	-1.251645	0.414116	10.872958
3035	3211.910450	40.588229	-1.218235	0.416230	10.917180
3037	3213.996983	41.172153	-1.194140	0.422488	12.200381
3039	3216.082864	41.413946	-1.177751	0.422671	11.856678
3041	3218.169398	41.780575	-1.177173	0.422638	11.377922
3043	3220.255934	41.714936	-6.653873	0.436238	11.869599
3045	3222.340429	42.226384	-1.297703	0.414077	11.863807
3047	3224.426292	42.750128	-1.205277	0.423296	11.830916
3049	3226.511231	43.006393	-1.199917	0.423892	11.891931
3051	3228.595614	43.381723	-1.229729	0.423816	12.340712
3053	3230.680607	43.799100	-1.267815	0.413992	11.970815
3055	3232.764472	44.039448	-1.227973	0.423053	12.351271
3057	3234.849183	43.831331	-3.002460	0.415367	13.236255
3059	3236.933724	44.654128	-1.271922	0.423298	12.914506
3061	3239.017007	44.921128	-1.265679	0.423100	12.739242
3063	3241.101163	45.392795	-1.270590	0.416396	12.992619
3065	3243.186700	45.763259	2.559815	0.409313	13.630649
3067	3245.269784	45.873155	-1.337203	0.423014	13.217315
3069	3247.352993	45.955280	-1.525883	0.418114	13.363352
3071	3249.436128	46.195429	-1.508304	0.418217	14.907943
3073	3251.520190	46.776893	-1.308686	0.423001	14.730230
3075	3253.602044	47.289364	-1.327558	0.417632	15.030442
3077	3255.684925	47.514685	-1.397043	0.425074	14.813236
3079	3257.767797	49.285472	-3.396522	0.435529	15.217532
3081	3259.849614	48.122475	-1.401670	0.426414	14.817180
3083	3261.932916	48.196275	-1.458631	0.424988	15.470824
3085	3264.016383	48.568964	-1.440358	0.426266	16.093421
3087	3266.099727	48.524661	-1.486131	0.426051	15.552097
3089	3268.184202	49.223029	-1.450374	0.419191	15.098844
3091	3270.267502	49.448745	-1.437688	0.427404	17.078099
