time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
3143.307776	30.332556	0.019651	1.543593	152
3144.351271	31.594624	0.019693	1.604382	153
3145.394470	29.502810	0.019647	1.501678	154
3146.433406	31.209215	0.019667	1.586904	155
3147.481640	31.415869	0.019672	1.596945	156
3148.520075	32.325611	0.019628	1.646888	157
3149.562038	31.930553	0.019636	1.626142	158
3150.605091	32.299614	0.019633	1.645193	159
3151.647106	32.370678	0.019663	1.646285	160
3152.688415	32.860432	0.019617	1.675072	161
3153.732826	32.067825	0.019660	1.631140	162
3154.772959	33.086781	0.019641	1.684615	163
3155.819143	33.683186	0.019615	1.717193	164
3156.859153	33.292477	0.019591	1.699396	165
3157.899703	33.979607	0.019621	1.731802	166
3158.942897	34.048038	0.019587	1.738285	167
3159.985639	34.656406	0.019662	1.762588	168
3161.028489	34.223721	0.019620	1.744300	169
3162.070344	33.917553	0.019612	1.729392	170
3163.113111	34.829388	0.019632	1.774156	171
3164.153420	35.074787	0.019626	1.787115	172
3165.197254	41.782246	0.019623	2.129243	173
3166.236677	34.554108	0.019661	1.757486	174
3167.284261	35.640110	0.019619	1.816585	175
3168.320524	36.133625	0.019582	1.845223	176
3169.368601	35.884670	0.019626	1.828385	177
3170.404419	36.696671	0.019622	1.870184	178
3171.455634	36.278656	0.019618	1.849278	179
3172.487726	37.163948	0.019618	1.894412	180
3173.542613	36.563053	0.019614	1.864147	181
3174.568634	38.512375	0.019610	1.963887	182
3175.629867	36.989258	0.019618	1.885512	183
3176.651840	39.488594	0.019655	2.009108	184
3177.714964	36.203690	0.019590	1.848081	185
3178.732567	37.930264	0.019607	1.934501	186
3179.800964	37.014484	0.019648	1.883870	187
3180.815292	40.123535	0.019665	2.040384	188
3181.888300	37.531967	0.019605	1.914380	189
3182.900904	40.671333	0.019612	2.073813	190
3183.971354	37.922882	0.019650	1.929880	191
3184.984428	41.123802	0.019609	2.097149	192
3186.057987	37.342407	0.019622	1.903047	193
3187.067244	41.014870	0.019617	2.090778	194
3188.144081	38.425236	0.019620	1.958504	195
3189.151210	40.910480	0.019535	2.094213	196
3190.227165	38.965855	0.019596	1.988416	197
3191.236138	41.599800	0.019559	2.126858	198
3192.312822	38.995190	0.019642	1.985271	199
3193.319648	42.046696	0.019611	2.144058	200
3194.395687	39.257061	0.019611	2.001785	201
3195.405357	42.539883	0.019611	2.169169	202
3196.479581	39.363228	0.019543	2.014170	203
3197.489880	43.292747	0.019620	2.206555	204
3198.564895	40.579346	0.019636	2.066587	205
3199.573321	43.662193	0.019602	2.227462	206
3200.647872	40.498093	0.019605	2.065709	207
3201.659299	43.662121	0.019599	2.227821	208
3202.732301	40.852524	0.019610	2.083205	209
3203.745286	43.347687	0.019652	2.205730	210
3204.817400	41.353626	0.019577	2.112374	211
3205.827290	44.667843	0.019601	2.278852	212
3206.899734	41.329098	0.019642	2.104084	213
3207.914863	44.562088	0.019635	2.269508	214
3208.983191	42.188198	0.019592	2.153383	215
3210.000695	44.687252	0.019566	2.283958	216
3211.066282	43.052540	0.019646	2.191383	217
3212.087164	45.400017	0.019598	2.316510	218
3213.148794	43.530998	0.019641	2.216302	219
3214.172623	44.910763	0.019602	2.291185	220
3215.232268	43.780113	0.019635	2.229677	221
3216.258046	45.209030	0.019642	2.301709	222
3217.314061	44.220886	0.019564	2.260353	223
3218.344503	45.641598	0.019674	2.319863	224
3219.397613	43.655643	0.019616	2.225482	225
3220.430659	44.643166	0.019589	2.278939	226
3221.480317	45.262753	0.019600	2.309339	227
3222.517299	45.774986	0.019592	2.336451	228
3223.562477	45.900070	0.019610	2.340700	229
3224.602090	45.425522	0.019584	2.319521	230
3225.647584	45.706650	0.019600	2.331932	231
3226.687953	45.293644	0.019591	2.311973	232
3227.730306	46.032219	0.019611	2.347307	233
3228.772291	45.515568	0.019582	2.324336	234
3229.814229	46.103867	0.019583	2.354268	235
3230.855491	45.465820	0.019587	2.321248	236
3231.899956	45.433670	0.019615	2.316232	237
3232.939291	46.007011	0.019582	2.349403	238
3233.981839	46.527702	0.019594	2.374621	239
3235.025380	46.321655	0.019621	2.360787	240
3236.067568	47.038666	0.019583	2.401989	241
3237.109572	46.363895	0.019637	2.360993	242
3238.149844	46.902538	0.019592	2.393923	243
3239.192070	46.211445	0.019569	2.361415	244
3240.234647	48.022247	0.019625	2.447031	245
3241.277603	46.385628	0.019592	2.367639	246
3242.320645	47.537052	0.019618	2.423104	247
3243.362779	59.274212	0.019622	3.020728	248
3244.403180	47.661201	0.019592	2.432736	249
3245.445184	46.411057	0.019590	2.369128	250
3246.490981	47.016502	0.019595	2.399411	251
3247.527933	47.330299	0.019600	2.414787	252
3248.573464	48.396019	0.019625	2.466022	253
3249.611703	47.810059	0.019584	2.441313	254
3250.653294	48.703411	0.019590	2.486116	255
3251.701999	49.917297	0.019521	2.557125	0
3252.745856	48.242119	0.019597	2.461668	1
3253.776458	48.932579	0.019618	2.494267	2
3254.830094	48.264328	0.019605	2.461880	3
3255.860123	48.400154	0.019553	2.475356	4
3256.914832	48.071533	0.019584	2.454676	5
3257.943661	48.894028	0.019634	2.490307	6
3259.000710	47.188995	0.019641	2.402538	7
3260.024792	49.538193	0.019703	2.514214	8
3261.085538	48.570633	0.019584	2.480162	9
3262.107287	50.067410	0.019625	2.551212	10
3263.172218	48.474686	0.019594	2.473928	11
3264.191591	49.924114	0.019594	2.547951	12
3265.256945	47.870842	0.019616	2.440360	13
3266.275324	49.028858	0.019594	2.502258	14
3267.342513	47.179802	0.019600	2.407180	15
3268.361204	48.577744	0.019586	2.480257	16
3269.426585	47.173691	0.019584	2.408735	17
3270.442747	48.380688	0.019548	2.474987	18
3271.510474	47.597466	0.019589	2.429859	19
3272.526088	49.826633	0.019630	2.538297	20
