num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
819	898.221581	43.745769	-4.196178	0.320661	12.179937
821	900.304841	43.666606	-4.208050	0.319998	12.534162
823	902.387914	43.646916	-4.224841	0.318890	12.456144
825	904.470670	43.548580	-4.230499	0.317829	12.080816
827	906.554272	43.471431	-4.234679	0.317213	11.965069
829	908.636028	43.401623	-4.240124	0.316527	12.113999
831	910.717690	43.402422	-4.248606	0.315523	12.026207
833	912.799824	43.338652	-4.251165	0.315050	11.812756
835	914.881702	43.244252	-4.250045	0.314846	12.421548
837	916.963791	43.264657	-4.267196	0.314149	12.037594
839	919.044819	43.205326	-4.277721	0.313659	11.724718
841	921.126181	43.184776	-4.291936	0.313654	12.125337
843	923.208519	43.069798	-4.296939	0.313600	12.141168
845	925.290083	43.052265	-4.299890	0.313609	12.109714
847	927.372499	43.028092	-4.320732	0.313194	10.805645
849	929.453472	42.929760	-4.328952	0.313426	11.387587
851	931.535853	42.832940	-4.341638	0.312987	12.273616
853	933.617927	42.812605	-4.358064	0.312423	11.663797
855	935.701147	42.724364	-4.363146	0.311675	11.428836
857	937.781974	42.638009	-4.369568	0.311473	11.823158
859	939.865086	42.597002	-4.389851	0.310423	11.327330
861	941.947151	42.497561	-4.386372	0.310209	11.712940
863	944.029865	42.442628	-4.403821	0.309219	12.022531
865	946.112869	42.394127	-4.420125	0.308520	10.955999
867	948.196877	42.276966	-4.419782	0.308057	11.640363
869	950.278090	42.250264	-4.442582	0.307363	11.385622
871	952.360965	42.154644	-4.436050	0.306261	11.365545
873	954.444900	42.115623	-4.435153	0.305860	11.100727
875	956.528166	42.047464	-4.452694	0.305191	11.091699
877	958.611927	42.010252	-4.462219	0.304182	11.327359
879	960.696509	41.958254	-4.469414	0.303352	11.079160
881	962.779141	41.862587	-4.478342	0.302398	11.495156
883	964.862536	41.867678	-4.487987	0.301575	11.064788
885	966.947036	41.781848	-4.490125	0.300856	11.243927
887	969.031244	41.711201	-4.505968	0.300379	12.079868
889	971.113949	41.701057	-4.515254	0.299633	10.995731
891	973.197700	41.636108	-4.514594	0.298953	11.401313
893	975.279766	41.593003	-4.542400	0.298472	10.956528
895	977.363219	41.494008	-4.537124	0.298299	10.928418
897	979.446052	41.472967	-4.557880	0.297537	11.011597
899	981.528630	41.407179	-4.574418	0.296118	11.436436
901	983.611630	41.383811	-4.572953	0.295440	10.482290
903	985.693325	41.239203	-4.581049	0.294440	11.015084
905	987.776599	41.197384	-4.592064	0.294091	11.485988
907	989.858501	41.163658	-4.590658	0.293252	10.599323
909	991.940262	41.126654	-4.587293	0.292377	11.019230
911	994.022948	41.084078	-4.596128	0.292368	11.180024
913	996.104631	40.974634	-4.599043	0.291492	11.408539
915	998.186008	40.971052	-4.604942	0.291213	10.739158
917	1000.267962	40.906022	-4.615685	0.291006	11.065162
