crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	16.123756	625	0.000000
281474976710655.000000	16.158222	626	0.000000
281474976710655.000000	15.297664	627	0.000000
281474976710655.000000	14.093965	628	0.000000
281474976710655.000000	15.329452	629	0.000000
281474976710655.000000	15.868937	630	0.000000
281474976710655.000000	16.799894	631	0.000000
281474976710655.000000	17.064785	632	0.000000
281474976710655.000000	15.628048	633	0.000000
281474976710655.000000	16.108912	634	0.000000
281474976710655.000000	14.653797	635	0.000000
281474976710655.000000	14.658618	636	0.000000
281474976710655.000000	16.427504	637	0.000000
281474976710655.000000	16.151899	638	0.000000
281474976710655.000000	16.820667	639	0.000000
281474976710655.000000	16.042683	640	0.000000
281474976710655.000000	15.840315	641	0.000000
281474976710655.000000	15.939034	642	0.000000
281474976710655.000000	14.678693	643	0.000000
281474976710655.000000	14.635449	644	0.000000
281474976710655.000000	16.096079	645	0.000000
281474976710655.000000	15.352873	646	0.000000
281474976710655.000000	16.989525	647	0.000000
281474976710655.000000	16.140745	648	0.000000
281474976710655.000000	15.600183	649	0.000000
281474976710655.000000	15.624921	650	0.000000
281474976710655.000000	15.023159	651	0.000000
281474976710655.000000	14.244291	652	0.000000
281474976710655.000000	16.287064	653	0.000000
281474976710655.000000	15.927514	654	0.000000
281474976710655.000000	15.596962	655	0.000000
281474976710655.000000	15.982638	656	0.000000
281474976710655.000000	15.699391	657	0.000000
281474976710655.000000	15.185961	658	0.000000
281474976710655.000000	14.641119	659	0.000000
281474976710655.000000	15.015038	660	0.000000
281474976710655.000000	15.317550	661	0.000000
281474976710655.000000	15.417365	662	0.000000
281474976710655.000000	15.358356	663	0.000000
281474976710655.000000	15.709722	664	0.000000
281474976710655.000000	14.973645	665	0.000000
281474976710655.000000	14.189826	666	0.000000
281474976710655.000000	14.655449	667	0.000000
281474976710655.000000	14.753949	668	0.000000
281474976710655.000000	15.674801	669	0.000000
281474976710655.000000	15.654815	670	0.000000
281474976710655.000000	15.358025	671	0.000000
281474976710655.000000	15.656479	672	0.000000
281474976710655.000000	14.679692	673	0.000000
281474976710655.000000	14.954899	674	0.000000
281474976710655.000000	15.283167	675	0.000000
281474976710655.000000	15.008865	676	0.000000
281474976710655.000000	15.158825	677	0.000000
281474976710655.000000	14.665726	678	0.000000
281474976710655.000000	14.349275	679	0.000000
281474976710655.000000	14.590854	680	0.000000
281474976710655.000000	14.888679	681	0.000000
281474976710655.000000	14.842424	682	0.000000
281474976710655.000000	15.672281	683	0.000000
281474976710655.000000	15.113579	684	0.000000
281474976710655.000000	14.994784	685	0.000000
281474976710655.000000	14.444381	686	0.000000
281474976710655.000000	14.191199	687	0.000000
281474976710655.000000	14.334423	688	0.000000
281474976710655.000000	15.370296	689	0.000000
281474976710655.000000	14.788771	690	0.000000
281474976710655.000000	14.509033	691	0.000000
281474976710655.000000	14.566886	692	0.000000
281474976710655.000000	13.807629	693	0.000000
281474976710655.000000	14.186710	694	0.000000
281474976710655.000000	14.910131	695	0.000000
281474976710655.000000	14.220919	696	0.000000
281474976710655.000000	14.456932	697	0.000000
281474976710655.000000	14.857401	698	0.000000
281474976710655.000000	14.526156	699	0.000000
281474976710655.000000	14.143587	700	0.000000
281474976710655.000000	14.532274	701	0.000000
281474976710655.000000	13.978333	702	0.000000
281474976710655.000000	14.466955	703	0.000000
281474976710655.000000	14.439445	704	0.000000
281474976710655.000000	13.895331	705	0.000000
281474976710655.000000	14.106073	706	0.000000
281474976710655.000000	13.975724	707	0.000000
281474976710655.000000	13.531051	708	0.000000
281474976710655.000000	13.870606	709	0.000000
281474976710655.000000	13.952028	710	0.000000
281474976710655.000000	14.376516	711	0.000000
281474976710655.000000	14.156844	712	0.000000
281474976710655.000000	13.893246	713	0.000000
281474976710655.000000	13.872062	714	0.000000
281474976710655.000000	14.157394	715	0.000000
281474976710655.000000	14.196965	716	0.000000
281474976710655.000000	14.280965	717	0.000000
281474976710655.000000	14.388626	718	0.000000
281474976710655.000000	14.094335	719	0.000000
281474976710655.000000	14.292961	720	0.000000
281474976710655.000000	13.814779	721	0.000000
281474976710655.000000	13.806189	722	0.000000
281474976710655.000000	13.884773	723	0.000000
281474976710655.000000	13.948919	724	0.000000
281474976710655.000000	14.337618	725	0.000000
281474976710655.000000	14.221888	726	0.000000
281474976710655.000000	14.126073	727	0.000000
281474976710655.000000	14.212325	728	0.000000
281474976710655.000000	14.194568	729	0.000000
281474976710655.000000	13.402095	730	0.000000
281474976710655.000000	13.811125	731	0.000000
281474976710655.000000	13.812454	732	0.000000
281474976710655.000000	14.183454	733	0.000000
281474976710655.000000	13.860584	734	0.000000
281474976710655.000000	14.024873	735	0.000000
281474976710655.000000	13.958919	736	0.000000
281474976710655.000000	13.758672	737	0.000000
281474976710655.000000	13.442360	738	0.000000
281474976710655.000000	13.854548	739	0.000000
281474976710655.000000	13.842132	740	0.000000
281474976710655.000000	13.878195	741	0.000000
281474976710655.000000	12.828269	742	0.000000
281474976710655.000000	13.904096	743	0.000000
281474976710655.000000	13.255641	744	0.000000
281474976710655.000000	14.152240	745	0.000000
281474976710655.000000	13.645748	746	0.000000
281474976710655.000000	13.132573	747	0.000000
281474976710655.000000	13.369216	748	0.000000
281474976710655.000000	13.236606	749	0.000000
281474976710655.000000	13.779899	750	0.000000
281474976710655.000000	14.330419	751	0.000000
281474976710655.000000	14.048631	752	0.000000
281474976710655.000000	13.663465	753	0.000000
281474976710655.000000	12.494864	754	0.000000
281474976710655.000000	13.047219	755	0.000000
281474976710655.000000	13.599092	756	0.000000
281474976710655.000000	13.552923	757	0.000000
281474976710655.000000	13.458054	758	0.000000
281474976710655.000000	13.277075	759	0.000000
281474976710655.000000	12.631617	760	0.000000
281474976710655.000000	13.280930	761	0.000000
281474976710655.000000	12.845089	762	0.000000
281474976710655.000000	13.230195	763	0.000000
281474976710655.000000	13.427386	764	0.000000
281474976710655.000000	13.018707	765	0.000000
281474976710655.000000	13.047668	766	0.000000
281474976710655.000000	13.366154	767	0.000000
281474976710655.000000	12.765143	768	0.000000
281474976710655.000000	13.287873	769	0.000000
281474976710655.000000	13.245253	770	0.000000
281474976710655.000000	13.367768	771	0.000000
281474976710655.000000	12.643266	772	0.000000
281474976710655.000000	12.749004	773	0.000000
281474976710655.000000	12.482252	774	0.000000
281474976710655.000000	12.880215	775	0.000000
281474976710655.000000	12.925915	776	0.000000
281474976710655.000000	13.217368	777	0.000000
281474976710655.000000	12.517689	778	0.000000
281474976710655.000000	12.576229	779	0.000000
281474976710655.000000	12.725628	780	0.000000
281474976710655.000000	13.163853	781	0.000000
281474976710655.000000	12.582098	782	0.000000
281474976710655.000000	12.770995	783	0.000000
281474976710655.000000	12.516149	784	0.000000
281474976710655.000000	12.802295	785	0.000000
