num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2241	2384.057401	34.137399	-0.799130	0.400430	7.846942
2243	2386.137711	34.116508	-0.820502	0.400271	7.771657
2245	2388.219788	34.126835	-0.829662	0.401135	7.537422
2247	2390.300102	34.269945	-0.843802	0.397457	7.993772
2249	2392.382235	34.594684	-0.863116	0.402282	7.623005
2251	2394.467849	34.623092	-1.103868	0.396046	7.626683
2253	2396.554450	35.970807	-0.886784	0.395858	8.033699
2255	2398.636353	35.735787	-0.896847	0.398864	8.349091
2257	2400.723002	35.327639	2.193952	0.379431	8.109921
2259	2402.807833	35.913747	1.618900	0.378392	8.537870
2261	2404.890425	37.213017	-0.908895	0.400433	8.795021
2263	2406.976923	36.962403	-0.895542	0.404562	8.852400
2265	2409.063697	37.307062	-0.908999	0.404394	8.426887
2267	2411.149413	37.635548	-0.913828	0.404442	9.290802
2269	2413.233973	37.338929	-5.075563	0.430335	9.156690
2271	2415.320823	38.098031	1.925225	0.380722	8.903714
2273	2417.406499	38.234564	2.209238	0.378476	9.785704
2275	2419.492489	38.540176	1.885769	0.377245	9.641206
2277	2421.576859	39.281490	-0.970245	0.403632	9.617721
2279	2423.663557	39.473201	-1.004721	0.401709	9.640333
2281	2425.747962	39.907042	-0.969601	0.403598	10.458802
2283	2427.835107	40.050378	-0.969712	0.404565	10.396174
2285	2429.922462	40.754913	-1.007936	0.399189	10.016913
2287	2432.008658	40.662770	-1.126010	0.397483	10.924263
2289	2434.093099	40.778179	2.957679	0.393146	10.930829
2291	2436.180580	41.301873	2.556610	0.387315	10.989481
2293	2438.267544	41.441431	1.866333	0.388059	10.494810
2295	2440.353028	41.891012	-1.130140	0.396659	11.095423
2297	2442.438581	42.378737	-1.043858	0.402555	11.706389
2299	2444.523250	42.787686	-1.084560	0.397352	11.554463
2301	2446.610087	42.881245	1.922061	0.388599	11.298706
2303	2448.693844	43.550458	-1.202538	0.398362	12.017746
2305	2450.778490	43.558529	-1.101515	0.396628	11.710496
2307	2452.863743	43.702649	-1.165639	0.396776	12.421804
2309	2454.946937	44.027882	2.660386	0.391898	12.173772
2311	2457.031959	44.159468	-1.185620	0.396026	12.347826
2313	2459.117130	44.588647	-1.139047	0.401421	12.708656
2315	2461.201250	44.927022	-1.139463	0.396525	12.600958
2317	2463.283843	46.301705	-1.293504	0.395088	12.808316
2319	2465.369457	45.306331	-1.151880	0.401359	12.987270
2321	2467.452143	47.113915	-3.766053	0.419140	13.104261
2323	2469.534988	46.935841	-1.317801	0.394526	12.868386
2325	2471.619303	46.230201	-1.201863	0.397625	12.558432
2327	2473.703147	46.263066	-1.365773	0.396409	14.092517
2329	2475.785186	47.830866	4.053155	0.380779	13.243877
2331	2477.869087	46.869378	-1.257096	0.404078	13.200028
2333	2479.953420	47.008536	-1.236898	0.404155	13.684592
2335	2482.037403	47.255523	-1.272088	0.399611	14.569936
2337	2484.121530	47.393545	2.407078	0.383624	14.366368
2339	2486.204779	47.502410	-1.436613	0.396990	14.017722
2341	2488.289447	48.678927	-1.446221	0.396872	14.650178
2343	2490.373733	48.045157	-1.285127	0.403229	15.274759
2345	2492.459334	47.605068	-1.503517	0.401299	14.333235
2347	2494.543450	48.393447	-1.304561	0.403408	14.806253
2349	2496.627942	48.393819	-1.504233	0.400458	15.346974
2351	2498.713385	48.565111	-1.558551	0.400262	15.543139
2353	2500.799496	49.054584	-1.336341	0.397594	15.458296
2355	2502.882344	50.582811	-1.530687	0.391945	15.047628
2357	2504.968917	49.210484	-1.598026	0.398872	15.076667
2359	2507.053375	49.686358	-1.395280	0.396805	15.109925
2361	2509.139074	49.852300	-1.438608	0.402005	14.675223
2363	2511.223967	50.035281	-1.405732	0.401493	16.089257
2365	2513.308418	50.362068	-1.440436	0.395971	15.459518
2367	2515.394057	51.567528	-1.631921	0.388079	15.896764
2369	2517.478746	50.274822	-1.680439	0.397908	16.711445
2371	2519.563031	51.675070	-1.486699	0.393362	16.028762
