time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
2612.166251	26.832296	0.014619	1.835384	154
2613.210194	25.900671	0.014619	1.771671	155
2614.248320	26.159592	0.014603	1.791340	156
2615.295267	25.619202	0.014594	1.755487	157
2616.331830	27.275721	0.014624	1.865159	158
2617.380400	25.944477	0.014600	1.777035	159
2618.414817	26.692596	0.014595	1.828890	160
2619.465118	26.581059	0.014631	1.816795	161
2620.500819	27.396221	0.014591	1.877555	162
2621.548555	26.070042	0.014600	1.785628	163
2622.583105	27.225014	0.014588	1.866315	164
2623.633772	27.017542	0.014595	1.851119	165
2624.669706	27.807764	0.014598	1.904886	166
2625.712545	26.939426	0.014633	1.841034	167
2626.752621	27.712290	0.014574	1.901428	168
2627.795409	27.316000	0.014589	1.872352	169
2628.836611	27.820141	0.014636	1.900759	170
2629.884777	27.448172	0.014575	1.883214	171
2630.922602	28.600319	0.014613	1.957188	172
2631.965008	28.009878	0.014586	1.920372	173
2633.005465	28.283958	0.014617	1.934959	174
2634.053636	28.632444	0.014591	1.962381	175
2635.089110	29.248198	0.014590	2.004661	176
2636.135571	28.309513	0.014590	1.940387	177
2637.171764	29.156641	0.014592	1.998107	178
2638.220327	28.896156	0.014586	1.981120	179
2639.253818	29.816391	0.014590	2.043610	180
2640.306107	28.422562	0.014625	1.943395	181
2641.332251	29.955475	0.014628	2.047874	182
2642.398501	28.508867	0.014580	1.955292	183
2643.415506	30.602247	0.014594	2.096939	184
2644.482546	28.478842	0.014598	1.950923	185
2645.496770	30.699434	0.014555	2.109151	186
2646.566989	28.616930	0.014589	1.961528	187
2647.578420	31.006317	0.014562	2.129270	188
2648.654134	28.275047	0.014574	1.940065	189
2649.660645	30.903866	0.014592	2.117886	190
2650.738415	29.146151	0.014593	1.997237	191
2651.744845	31.832022	0.014627	2.176239	192
2652.819129	28.645348	0.014582	1.964396	193
2653.830283	30.978666	0.014550	2.129066	194
2654.904551	29.437342	0.014593	2.017170	195
2655.919087	31.589056	0.014582	2.166306	196
2656.986447	29.012262	0.014586	1.989034	197
2658.000938	31.583509	0.014674	2.152324	198
2659.070869	29.361071	0.014597	2.011497	199
2660.084797	31.481783	0.014554	2.163065	200
2661.153278	29.745600	0.014630	2.033147	201
2662.168809	31.970032	0.014587	2.191625	202
2663.237258	29.218012	0.014628	1.997423	203
2664.253150	32.040226	0.014592	2.195755	204
2665.321855	29.945084	0.014595	2.051728	205
2666.337236	32.332985	0.014581	2.217530	206
2667.407070	29.912706	0.014590	2.050200	207
2668.419403	33.090698	0.014578	2.269883	208
2669.491412	30.431910	0.014584	2.086641	209
2670.507587	32.899544	0.014575	2.257203	210
2671.577421	29.291967	0.014588	2.008009	211
2672.585871	32.965481	0.014592	2.259082	212
2673.658290	30.883612	0.014549	2.122680	213
2674.670211	33.259766	0.014576	2.281811	214
2675.738648	30.857674	0.014575	2.117141	215
2676.757587	33.186157	0.014600	2.273080	216
2677.825613	31.542374	0.014581	2.163203	217
2678.842385	33.229698	0.014581	2.278966	218
2679.904315	31.553410	0.014564	2.166564	219
2680.928129	33.012806	0.014584	2.263623	220
2681.986929	31.742661	0.014584	2.176483	221
