crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	6.085512	4976	0.000000
281474976710655.000000	6.337178	4977	5272527872.000000
281474976710655.000000	5.241469	4978	5273611776.000000
281474976710655.000000	5.755870	4979	5274603520.000000
281474976710655.000000	5.449457	4980	5275698688.000000
281474976710655.000000	4.683291	4981	5276695040.000000
281474976710655.000000	6.067769	4982	5277778944.000000
281474976710655.000000	5.607805	4983	5278782464.000000
281474976710655.000000	5.977725	4984	5279858688.000000
281474976710655.000000	6.413560	4985	5280859648.000000
281474976710655.000000	5.684531	4986	5281946112.000000
281474976710655.000000	5.537488	4987	5282941952.000000
281474976710655.000000	6.040444	4988	5284029952.000000
281474976710655.000000	5.342896	4989	5285030912.000000
281474976710655.000000	6.535814	4990	5286110720.000000
281474976710655.000000	6.356911	4991	5287114240.000000
281474976710655.000000	6.096365	4992	5288190976.000000
281474976710655.000000	6.231964	4993	5289193472.000000
281474976710655.000000	6.241358	4994	5290277888.000000
281474976710655.000000	6.121366	4995	5291278336.000000
281474976710655.000000	6.218167	4996	5292359680.000000
281474976710655.000000	6.072831	4997	5293364224.000000
281474976710655.000000	6.762410	4998	5294441472.000000
281474976710655.000000	6.912463	4999	5295447552.000000
281474976710655.000000	6.540695	5000	5296523264.000000
281474976710655.000000	6.660780	5001	5297531904.000000
281474976710655.000000	6.687445	5002	5298600448.000000
281474976710655.000000	6.875641	5003	5299619840.000000
281474976710655.000000	6.511765	5004	5300685312.000000
281474976710655.000000	6.537225	5005	5301706752.000000
281474976710655.000000	7.223606	5006	5302766592.000000
281474976710655.000000	7.137769	5007	5303793152.000000
281474976710655.000000	7.185136	5008	5304847360.000000
281474976710655.000000	7.238282	5009	5305877504.000000
281474976710655.000000	7.246119	5010	5306927104.000000
281474976710655.000000	6.994327	5011	5307962368.000000
281474976710655.000000	7.107336	5012	5309011968.000000
281474976710655.000000	6.846000	5013	5310047744.000000
281474976710655.000000	7.440105	5014	5311095808.000000
281474976710655.000000	7.612361	5015	5312132608.000000
